map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Raze; ;377;28;18;6; ; ; ;5; ;Young and Beautiful;
L;Raze; ; ; ; ; ; ; ; ; ; ;Young and Beautiful;
L;Raze; ;269;22;12;3; ;175;13%;7;2;Vandal Only;
W;Jett; ;260;18;13;4; ;154;36%;4;3;Vandal Only;
W;Jett; ;136;11;20;6; ;90;13%;6;6;Vandal Only;
L;Raze; ;240;18;15;6; ;147;17%;4;3;Vandal Only;
W;Raze; ;252;20;14;7; ;160;13%;2;5;Finest;
L;Jett; ;191;13;16;1; ;110;14%;1;2;Finest;
L;Raze; ;232;18;17;11; ;158;14%;6;2;Finest;
L;Jett; ;259;22;19;1; ;204;37%;4;2;Finest;
W;Raze; ;176;15;17;3; ;118;9%;3;6;Finest;
W;Raze; ;297;20;11;5; ;186;17%;6;3;Finest;
L;Raze; ;170;11;17;8; ;122;11%;2;5;Finest;
L;Jett; ;240;16;14;4; ;156;24%;5;4;Finest;
W;Jett; ;330;23;12;4; ;180;16%;6;2;Finest;
W;Jett; ;256;17;16;3; ;143;20%;7;2;Finest;
L;Jett; ;179;14;15;8; ;169;17%;4;4;Finest;
W;Jett; ;253;16;11;2; ;164;16%;3;3;Finest;
W;Jett; ;339;28;11;6; ;191;15%;4;1;Finest;
L;Jett; ;181;10;15;3; ;110;19%;2;2;Finest;
L;Jett; ;178;10;15;5; ;120;18%;3;4;Finest;
W;Jett; ;276;23;13;3; ;154;13%;5;4;Finest;
W;Jett; ;177;12;13;3; ;114;21%;4;1;Finest;
W;Jett; ;239;18;12;3; ;140;23%;3;1;Finest;
W;Jett; ;252;20;14;2; ;180;21%;4;3;Finest;
L;Jett; ;126;6;13;2; ;77;43%;2;2;Finest;
L;Jett; ;147;7;14;2; ;62;12%;1;3;Finest;
L;Jett; ;89;6;21;2; ;59;4%;1;4;Finest;
W;Raze; ;222;16;7;3; ;126;13%;2;2;Finest;
W;Raze; ;305;18;6;7; ;179;22%;3;0;Finest;
W;Jett; ;165;18;25;7; ;116;18%;3;2;Finest;
W;Raze; ;281;15;7;2; ;134;15%;3;2;Finest;
W;Raze; ;261;23;13;3; ;151;26%;2;4;Finest;
L;Raze; ;182;16;16;4; ;119;14%;1;1;Finest;
W;Raze; ;344;27;9;4; ;233;21%;2;1;Finest;
W;Raze; ;270;18;11;8; ;154;21%;3;0;Finest;
L;Raze; ;255;14;14;3; ;179;20%;2;1;Finest;
W;Raze; ;311;21;8;4; ;182;14%;6;2;Finest;
W;Raze; ;295;20;11;10; ;193;20%;4;1;Finest;
W;Raze; ;251;21;12;2; ;167;15%;2;0;Finest;
L;Raze; ;330;32;17;5; ;197;16%;3;2;Finest;
L;Raze; ;170;11;15;4; ;103;20%;3;5;Finest;
L;Jett; ;268;21;17;4; ;157;14%;4;2;Finest;
W;Raze; ;147;12;16;4; ;86;20%;3;4;Finest;
W;Jett; ;283;18;8;3; ;142;21%;3;2;Finest;
W;Jett; ;283;19;7;3; ;161;11%;7;2;Finest;
W;Jett; ;237;14;7;2; ;132;30%;3;2;Finest;
