map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Omen; ;249;22;15;5; ;133;20%;3;2;9z Team;
W;Omen; ;191;19;14;2; ;109;26%;3;1;9z Team;
W;Omen; ;148;9;8;7; ;164;24%;1;2;9z Team;
L;Omen; ;165;13;16;6; ;110;17%;3;1;9z Team;
W;Omen; ;162;14;14;4; ;110;24%;0;1;9z Team;
L;Omen; ;214;15;16;4; ;131;14%;3;0;9z Team;
L;Omen; ;177;10;15;2; ;119;26%;0;2;9z Team;
L;Omen; ;220;15;16;8; ;137;26%;1;2;9z Team;
W;Omen; ;158;12;14;8; ;103;12%;0;2;9z Team;
W;Omen; ;137;11;11;3; ;80;30%;2;1;9z Team;
W;Omen; ;208;20;17;5; ;132;24%;2;2;9z Team;
L;Omen; ;118;7;17;3; ;79;17%;1;4;9z Team;
L;Omen; ;144;11;18;7; ;86;17%;2;3;9z Team;
L;Omen; ;121;7;14;6; ;69;3%;0;2;9z Team;
W;Omen; ;235;13;8;10; ;155;26%;2;0;9z Team;
L;Omen; ;203;13;13;6; ;192;18%;0;1;9z Team;
L;Omen; ;201;15;16;5; ;129;14%;2;0;9z Team;
W;Omen; ;142;11;16;6; ;99;18%;3;4;9z Team;
W;Omen; ;206;14;10;4; ;126;15%;2;1;9z Team;
W;Omen; ;211;12;13;2; ;189;14%;2;1;9z Team;
L;Omen; ;230;27;27;16; ;145;14%;4;5;9z Team;
L;Omen; ;164;15;18;7; ;98;19%;3;0;9z Team;
L;Omen; ;129;10;16;8; ;91;16%;1;4;9z Team;
W;Omen; ;163;17;20;1; ;103;21%;3;2;9z Team;
W;Omen; ;228;21;12;1; ;111;15%;2;3;9z Team;
W;Omen; ;189;16;15;8; ;113;15%;3;2;9z Team;
W;Omen; ;219;16;12;4; ;144;29%;2;2;9z Team;
W;Omen; ;190;14;12;7; ;108;25%;1;1;9z Team;
W;Omen; ;180;17;14;4; ;115;33%;2;3;9z Team;
W;Omen; ;180;17;14;4; ;115;33%;2;3;9z Team;
W;Omen; ;257;22;16;8; ;153;19%;1;2;9z Team;
L;Omen; ;195;14;15;2; ;120;18%;3;3;9z Team;
W;Omen; ;244;18;14;7; ;141;17%;2;3;9z Team;
L;Omen; ;117;4;16;3; ;85;19%;0;2;9z Team;
L;Omen; ;108;7;15;3; ;80;23%;1;3;9z Team;
W;Omen; ;268;14;8;3; ;187;32%;1;3;9z Team;
W;Omen; ;244;15;9;5; ;160;17%;2;2;9z Team;
L;Omen; ;235;14;16;5; ;148;23%;0;1;9z Team;
L;Omen; ;220;10;12;1; ;139;30%;1;0;9z Team;
L;Reyna; ;250;17;15;2; ;168;23%;2;1;9z Team;
L;Breach; ;172;11;16;5; ;106;24%;1;1;9z Team;
L;Breach; ;187;9;15;4; ;124;16%;2;5;9z Team;
L;Omen; ;150;10;15;4; ;101;10%;0;3;9z Team;
L;Omen; ;138;10;18;7; ;94;20%;2;3;9z Team;
W;Omen; ;206;14;10;5; ;116;25%;0;0;9z Team;
W;Omen; ;166;11;10;8; ;90;2%;1;1;9z Team;
W;Omen; ;185;13;12;6; ;125;31%;0;1;9z Team;
L;Omen; ;249;16;16;7; ;167;15%;0;2;9z Team;
W;Omen; ;202;12;9;3; ;107;15%;1;0;9z Team;
L;Omen; ;201;13;19;9; ;115;15%;0;2;9z Team;
L;Omen; ;191;12;17;7; ;115;24%;2;0;9z Team;
L;Omen; ;180;16;14;5; ;115;14%;2;1;9z Team;
L;Omen; ;158;15;14;4; ;85;14%;1;2;9z Team;
W;Omen; ;162;10;8;6; ;93;19%;1;0;9z Team;
W;Omen; ;170;10;11;5; ;111;29%;0;1;9z Team;
W;Omen; ;104;8;18;1; ;63;24%;2;5;9z Team;
L;Omen; ;126;11;16;3; ;69;22%;2;2;9z Team;
L;Omen; ;159;6;14;4; ;94;14%;0;0;9z Team;
L;Omen;1.07;185;17;14;9;78%;123;37%;0;0;Malvinas Gaming;
L;Omen;1.01;177;15;15;5;57%;118;20%;2;2;Malvinas Gaming;
