map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;Sage; ;171;15;17;4; ; ; ;2; ;PartyParrots;
L;Sage; ;225;19;18;8; ; ; ;2; ;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
W;Sage; ;171;13;12;13; ; ; ;2; ;PartyParrots;
W;Sage; ;165;14;11;5; ; ; ;0; ;PartyParrots;
W;Sage; ;185;14;14;5; ; ; ;2; ;PartyParrots;
L;Sage; ;184;13;16;6; ; ; ;0; ;PartyParrots;
W;Sage; ;178;15;16;6; ; ; ;2; ;PartyParrots;
W;Sage; ;190;17;15;10; ; ; ;2; ;PartyParrots;
W;Sage; ;194;20;16;9; ; ; ;1; ;PartyParrots;
W;Sage; ;286;21;12;7; ; ; ;4; ;PartyParrots;
L;Sage; ;191;14;18;5; ; ; ;4; ;PartyParrots;
W;Sage; ;200;18;17;7; ; ; ;0; ;PartyParrots;
L;None;0;0;0;0;0;0;0;0;0;0;PartyParrots;
L;Sage; ;211;13;13;7; ; ; ;2; ;PartyParrots;
W;Sage; ;225;14;11;2; ; ; ;4; ;PartyParrots;
W;Sage; ;171;11;11;8; ; ; ;0; ;PartyParrots;
W;Sage; ;181;14;12;6; ; ; ;0; ;PartyParrots;
W;Sage; ;166;12;10;14; ; ; ;0; ;PartyParrots;
W;Sage; ;137;8;10;8; ; ; ;1; ;PartyParrots;
W;Sage; ;218;19;14;5; ; ; ;3; ;PartyParrots;
L;Sage; ;225;19;16;9; ; ; ;1; ;PartyParrots;
W;Sage; ;233;18;15;12; ; ; ;1; ;PartyParrots;
W;Sage; ;216;16;14;4; ; ; ;2; ;PartyParrots;
W;Sage; ;157;15;19;5; ; ; ;1; ;PartyParrots;
L;Sage; ;125;12;17;7; ; ; ;1; ;PartyParrots;
W;Sage; ;190;15;19;11; ; ; ;2; ;PartyParrots;
W;Sage; ;202;17;14;5; ; ; ;1; ;PartyParrots;
W;Sage; ;214;18;11;9; ; ; ;0; ;PartyParrots;
W;Sage; ;306;20;6;7; ; ; ;0; ;PartyParrots;
W;Sage; ;185;10;6;5; ; ; ;2; ;PartyParrots;
W;Sage; ;170;10;10;12; ; ; ;1; ;PartyParrots;
L;Sage; ;134;11;17;8; ; ; ;0; ;PartyParrots;
W;Sage; ;143;10;18;9; ; ; ;3; ;PartyParrots;
W;Sage; ;160;14;18;7; ; ; ;2; ;PartyParrots;
L;Sage; ;141;15;15;3; ; ; ;1; ;PartyParrots;
W;Sage; ;165;13;19;12; ; ; ;2; ;PartyParrots;
L;Sage; ;301;16;17;1; ; ; ;3; ;PartyParrots;
L;Sage; ;223;18;16;11; ; ; ;0; ;PartyParrots;
W;Sage; ;157;13;18;10; ; ; ;3; ;PartyParrots;
