map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Brimstone; ;97;6;18;6; ;63; ;1; ;Thailand Attitude;
W;Omen; ;232;16;20;11; ;170; ;3; ;Thailand Attitude;
W;Omen; ;260;21;11;7; ;145; ;2; ;Thailand Attitude;
L;Omen; ;133;9;16;7; ;89; ;2; ;Thailand Attitude;
L;Omen; ;183;14;20;6; ;101; ;2; ;Thailand Attitude;
L;Omen; ;174;10;15;2; ;97;30%;2;1;MiTH.Attitude;
L;Omen; ;105;4;15;4; ;72;20%;0;4;MiTH.Attitude;
W;Omen; ;139;7;17;7; ;94;17%;4;1;MiTH.Attitude;
W;Brimstone; ;207;15;17;7; ;119;14%;3;3;MiTH.Attitude;
L;None;0;0;0;0;0;0;0;0;0;0;MiTH.Attitude;
W;Omen; ;176;11;15;5; ;89;25%;2;5;MiTH.Attitude;
W;Omen; ;180;12;10;4; ;85;18%;1;2;MiTH.Attitude;
L;Omen; ;198;13;18;6; ;116;21%;1;3;MiTH.Attitude;
W;Omen; ;202;16;16;8; ;137;10%;2;3;MiTH.Attitude;
W;Brimstone; ;129;13;21;6; ;71;11%;1;10;MiTH.Attitude;
L;Omen; ;115;10;19;1; ;63;19%;1;4;MiTH.Attitude;
L;Omen; ;173;9;14;3; ;113;17%;2;1;MiTH.Attitude;
L;Omen; ;153;12;15;5; ;96;14%;2;6;MiTH.Attitude;
W;Brimstone; ;181;15;8;3; ;99;22%;2;1;MiTH.Attitude;
L;Omen; ;178;12;19;1; ;105;12%;4;2;MiTH.Attitude;
W;Omen; ;160;13;12;5; ;106;17%;2;3;MiTH.Attitude;
L;Omen; ;225;14;15;4; ;126;10%;1;0;MiTH.Attitude;
W;Omen; ;132;8;8;6; ;87;29%;1;0;MiTH.Attitude;
L;Omen; ;181;14;17;1; ;93;15%;0;2;MiTH.Attitude;
W;Omen; ;163;10;4;4; ;90;28%;1;0;MiTH.Attitude;
L;Brimstone; ;101;6;14;3; ;58;5%;0;3;MiTH.Attitude;
W;Brimstone; ;210;13;10;3; ;137;18%;1;0;MiTH.Attitude;
W;Omen; ;124;9;15;4; ;66;15%;2;3;MiTH.Attitude;
W;Brimstone; ;122;6;11;4; ;141;17%;1;2;MiTH.Attitude;
L;Omen; ;120;14;18;3; ;123;19%;2;2;MiTH.Attitude;
W;Omen; ;210;14;12;5; ;124;16%;0;3;MiTH.Attitude;
L;Brimstone; ;213;16;16;6; ;137;19%;5;1;MiTH.Attitude;
L;Omen; ;133;8;14;2; ;62;25%;1;1;MiTH.Attitude;
W;Omen; ;197;20;19;2; ;113;12%;2;2;MiTH.Attitude;
W;Omen; ;304;20;8;3; ;178;15%;0;0;MiTH.Attitude;
W;Omen; ;189;10;8;6; ;99;17%;3;3;MiTH.Attitude;
W;Omen; ;193;16;16;6; ;111;14%;1;2;MiTH.Attitude;
L;Omen; ;162;11;17;6; ;92;7%;2;0;MiTH.Attitude;
L;Brimstone; ;174;8;15;3; ;112;12%;1;1;MiTH.Attitude;
W;Omen; ;148;12;17;7; ;79;23%;1;3;MiTH.Attitude;
L;Brimstone; ;88;6;18;1; ;54;30%;2;4;MiTH.Attitude;
