map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;None;0;0;0;0;0;0;0;0;0;0;Team BRNWOWZK1;
W;None;0;0;0;0;0;0;0;0;0;0;Team BRNWOWZK1;
L;None;0;0;0;0;0;0;0;0;0;0;Team BRNWOWZK1;
L;None;0;0;0;0;0;0;0;0;0;0;Coquinha 2L;
W;None;0;0;0;0;0;0;0;0;0;0;Coquinha 2L;
L;None;0;0;0;0;0;0;0;0;0;0;Coquinha 2L;
W;None;0;0;0;0;0;0;0;0;0;0;Team Calango;
L;Reyna; ;235;10;13;5; ; ; ;0; ;Team Calango;
L;Raze; ;342;25;19;5; ; ; ;5; ;Team Calango;
L;Sage; ;199;18;19;7; ; ; ;4; ;BADARANTS;
W;Sage; ;283;19;11;10; ; ; ;2; ;BADARANTS;
L;Sage; ;244;14;13;7; ; ; ;1; ;BADARANTS;
L;Omen; ;114;8;17;10; ; ; ;1; ;LOVEBUG;
W;Jett; ;195;17;14;5; ;126;16%;3;3;DELIRAWOW;
L;Jett; ;204;16;15;2; ;125;17%;1;4;DELIRAWOW;
L;Jett; ;348;23;15;1; ;193;24%;3;1;DELIRAWOW;
L;Jett; ;205;14;16;2; ;129;20%;3;1;ZAM+4;
L;Jett; ;118;9;17;5; ;73;20%;1;3;ZAM+4;
W;Raze; ;243;16;9;7; ;160;28%;6;3;DELIRAWOW;
W;Raze; ;246;15;14;6; ;142;11%;3;4;DELIRAWOW;
W;Raze; ;265;18;11;3; ;171;13%;0;0;DELIRAWOW;
W;Raze; ;171;12;12;5; ;115;12%;1;1;DELIRAWOW;
W;Raze; ;263;19;17;7; ;139;23%;2;3;DELIRAWOW;
W;Raze; ;280;14;8;8; ;168;21%;0;0;DELIRAWOW;
L;Raze; ;271;23;14;6; ;153;15%;0;2;DELIRAWOW;
W;Raze; ;293;18;9;5; ;176;18%;2;2;DELIRAWOW;
W;Raze; ;277;19;8;5; ;172;15%;1;0;DELIRAWOW;
W;Raze; ;142;9;16;8; ;109;14%;1;3;DELIRAWOW;
W;Raze; ;286;21;15;6; ;186;22%;3;1;DELIRAWOW;
L;Raze; ;236;16;17;4; ;147;24%;1;4;DELIRAWOW;
W;Raze; ;301;17;9;5; ;168;17%;1;2;DELIRAWOW;
L;Raze; ;122;6;17;5; ;97;18%;2;2;DELIRAWOW;
L;Raze; ;289;22;14;2; ;178;19%;1;1;DELIRAWOW;
L;Raze; ;245;16;16;7; ;148;12%;0;1;DELIRAWOW;
L;Raze; ;176;10;15;5; ;127;19%;0;2;DELIRAWOW;
L;Raze; ;228;15;18;9; ;149;12%;1;3;DELIRAWOW;
W;Raze; ;236;12;10;8; ;147;11%;2;2;DELIRAWOW;
W;Raze; ;213;13;10;6; ;133;6%;2;1;DELIRAWOW;
L;Raze; ;154;6;13;6; ;117;20%;2;0;DELIRAWOW;
L;Raze; ;183;15;20;3; ;103;13%;0;3;DELIRAWOW;
W;Raze; ;375;25;8;4; ;203;29%;5;1;DELIRAWOW;
L;Raze; ;195;19;22;9; ;132;11%;3;6;DELIRAWOW;
W;Raze; ;161;8;8;6; ;112;14%;2;1;DELIRAWOW;
L;Raze; ;362;21;13;4; ;217;14%;2;1;DELIRAWOW;
L;Raze; ;268;23;18;4; ;216;15%;2;3;DELIRAWOW;
W;Raze; ;294;20;17;6; ;186;10%;6;1;DELIRAWOW;
L;Raze; ;209;14;14;1; ;123;18%;1;3;DELIRAWOW;
L;Raze; ;286;27;18;5; ;171;14%;5;4;DELIRAWOW;
L;Raze; ;206;14;13;6; ;152;13%;1;0;DELIRAWOW;
L;Raze; ;196;11;16;7; ;118;26%;2;2;DELIRAWOW;
W;Sova; ;172;13;14;12; ;105;31%;1;0;DELIRAWOW;
W;Sova; ;195;25;18;12; ;123;19%;0;2;DELIRAWOW;
L;Sova; ;106;6;16;3; ;80;21%;1;0;DELIRAWOW;
L;Jett; ;200;13;12;2; ;188;24%;1;2;DELIRAWOW;
L;Jett;1.19;278;16;14;3;71%;171;45%;3;0;DELIRAWOW;
L;Jett;0.93;228;16;15;2;76%;138;29%;3;3;DELIRAWOW;
L;Jett;0.88;176;14;18;4;67%;114;12%;1;4;Stars Horizon;
L;Jett;0.57;160;10;16;3;50%;103;23%;1;5;Stars Horizon;
L;Sage;0.84;143;10;16;4;71%;93;11%;2;2;Predestinados;
W;Raze;1.03;200;12;9;2;72%;141;13%;2;2;Predestinados;
W;Jett;1.07;223;13;13;8;71%;152;37%;2;5;Predestinados;
W;Sage; ;97;6;16;8; ; ; ;0; ;Predestinados;
W;Raze; ;210;15;13;6; ; ; ;4; ;Predestinados;
W;Raze; ;250;21;13;6; ; ; ;5; ;Predestinados;
L;Raze;0.57;127;7;18;7;59%;86;13%;3;4;Predestinados;
W;Jett;1.07;257;18;17;5;59%;164;13%;3;5;Predestinados;
W;Sage;1.13;160;11;7;2;88%;85;14%;1;1;Predestinados;
