map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Jett; ;221;15;10;5; ;133;16%;4;2;Alter Ego;
W;None;0;0;0;0;0;0;0;0;0;0;Alter Ego;
W;Jett; ;254;27;22;5; ;145;24%;3;4;Alter Ego;
W;Jett; ;370;30;12;4; ;234;26%;4;3;Alter Ego;
L;Jett; ;115;6;15;1; ;82;27%;2;2;Alter Ego;
W;Jett; ;232;12;10;6; ;149;24%;1;1;Alter Ego;
W;Jett; ;271;21;15;5; ;184;23%;5;2;Alter Ego;
W;Jett; ;248;16;15;4; ;133;27%;4;4;Alter Ego;
W;Jett; ;341;18;7;3; ;204;30%;4;4;Alter Ego;
W;Jett; ;218;16;17;5; ;142;16%;3;3;Alter Ego;
W;Jett; ;312;20;10;4; ;181;31%;5;3;Alter Ego;
W;Jett; ;150;11;17;3; ;79;13%;1;3;Alter Ego;
W;Jett; ;278;21;15;2; ;188;25%;6;6;Alter Ego;
W;Jett; ;298;22;11;2; ;171;30%;2;5;Alter Ego;
L;Jett; ;158;8;18;3; ;113;26%;3;2;Alter Ego;
W;Jett; ;173;14;12;3; ;98;29%;2;5;Alter Ego;
W;Jett; ;247;19;16;0; ;154;28%;6;6;Alter Ego;
W;Jett; ;286;23;13;4; ;222;21%;8;2;Alter Ego;
W;Jett; ;363;18;8;3; ;200;25%;4;1;Alter Ego;
W;Jett; ;221;14;9;4; ;141;33%;2;1;Alter Ego;
W;Jett; ;274;24;14;3; ;166;25%;4;2;Alter Ego;
W;Jett; ;269;18;15;2; ;162;26%;6;3;Alter Ego;
W;Jett; ;150;12;15;4; ;91;25%;2;2;Alter Ego;
L;Jett; ;242;24;25;8; ;151;32%;4;2;Alter Ego;
L;Jett; ;199;11;16;2; ;128;21%;2;2;Alter Ego;
W;Jett; ;314;21;15;3; ;185;18%;11;1;Alter Ego;
W;Jett; ;223;13;13;4; ;126;28%;5;1;Alter Ego;
L;Jett; ;183;16;17;3; ;129;17%;2;3;Alter Ego;
W;Jett; ;278;24;17;4; ;157;31%;3;1;Alter Ego;
W;Jett; ;189;16;22;4; ;124;20%;3;7;Alter Ego;
W;Jett; ;295;19;17;7; ;207;33%;3;2;Alter Ego;
W;Jett; ;340;21;11;3; ;173;23%;6;0;Alter Ego;
W;Jett; ;344;26;15;6; ;224;43%;6;1;Alter Ego;
W;Jett; ;260;19;16;6; ;178;24%;3;3;Alter Ego;
W;Jett; ;460;30;14;6; ;231;24%;6;3;Alter Ego;
W;Jett; ;310;24;14;8; ;183;22%;3;0;Alter Ego;
W;Jett; ;296;21;8;2; ;167;33%;0;1;Alter Ego;
L;Jett; ;301;16;19;7; ;163;22%;3;3;Alter Ego;
W;Jett; ;273;23;17;4; ;171;19%;6;1;Alter Ego;
L;Jett; ;277;22;19;6; ;189;24%;6;5;Alter Ego;
W;Reyna; ;236;18;10;3; ;151;19%;4;2;Alter Ego;
W;Reyna; ;284;21;10;7; ;151;24%;5;1;Alter Ego;
L;Reyna; ;287;22;18;4; ;170;18%;5;3;Alter Ego;
W;Raze; ;371;18;9;6; ;217;22%;4;2;Alter Ego;
L;Jett; ;205;17;17;4; ;134;16%;3;5;Alter Ego;
W;Raze; ;180;15;15;5; ;115;21%;3;2;Alter Ego;
W;Reyna; ;276;15;11;5; ;144;22%;2;0;Alter Ego;
L;Raze; ;217;16;18;5; ;153;18%;4;2;Alter Ego;
W;Raze; ;368;24;12;4; ;223;17%;4;1;Alter Ego;
W;Jett; ;252;18;14;7; ;154;15%;2;3;Alter Ego;
L;Raze; ;255;17;15;6; ;158;15%;2;4;Alter Ego;
L;Jett; ;222;18;16;5; ;134;17%;3;7;Alter Ego;
W;Raze; ;316;25;12;3; ;187;18%;3;3;Alter Ego;
W;Reyna; ;256;19;16;3; ;151;26%;4;2;Alter Ego;
W;Jett; ;263;21;20;2; ;163;20%;5;5;Alter Ego;
