map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Reyna; ;224;18;21;5; ; ; ;3; ;Echo 8;
W;Sova; ;152;8;14;3; ; ; ;1; ;Echo 8;
L;Sova; ;164;9;15;2; ; ; ;0; ;Echo 8;
L;Sova; ;200;17;16;5; ; ; ;3; ;Echo 8;
L;None;0;0;0;0;0;0;0;0;0;0;Echo 8;
L;None;0;0;0;0;0;0;0;0;0;0;Destined;
L;None;0;0;0;0;0;0;0;0;0;0;Destined;
W;Sova; ;216;11;8;10; ; ; ;1; ;Echo 8;
W;None;0;0;0;0;0;0;0;0;0;0;Echo 8;
W;None;0;0;0;0;0;0;0;0;0;0;Echo 8;
W;None;0;0;0;0;0;0;0;0;0;0;Echo 8;
L;Sova; ;163;9;17;10; ; ; ;1; ;Echo 8;
L;Sova; ;196;15;13;13; ; ; ;0; ;Echo 8;
L;Sova; ;160;10;14;4; ; ; ;1; ;Echo 8;
W;Sova; ;189;14;9;6; ; ; ;0; ;Echo 8;
L;Reyna; ;151;9;17;9; ; ; ;1; ;Echo 8;
L;Sova; ;152;8;17;6; ; ; ;1; ;Echo 8;
L;Sova; ;206;12;17;12; ; ; ;2; ;Echo 8;
L;Sage; ;136;9;16;10; ; ; ;0; ;Echo 8;
L;Sage; ;76;5;18;5; ; ; ;1; ;Echo 8;
W;Sage; ;146;13;9;6; ; ; ;2; ;Echo 8;
W;Sova; ;214;14;11;9; ; ; ;1; ;Echo 8;
W;Sova; ;214;14;11;6; ; ; ;2; ;Echo 8;
L;Sova; ;226;18;15;4; ; ; ;2; ;Echo 8;
L;Sova; ;113;7;15;5; ; ; ;0; ;Echo 8;
L;Sova; ;162;10;16;5; ; ; ;0; ;Echo 8;
L;Sova; ;226;11;15;5; ; ; ;0; ;Echo 8;
L;Sova; ;119;8;16;16; ; ; ;1; ;Echo 8;
L;Sova; ;140;5;13;9; ; ; ;0; ;Echo 8;
W;Sova; ;172;11;9;9; ; ; ;1; ;Echo 8;
W;Sova; ;280;19;9;6; ; ; ;3; ;Echo 8;
L;Sova; ; ; ; ; ; ; ; ; ; ;Echo 8;
L;Sova; ;167;12;13;11; ; ; ;2; ;Echo 8;
L;Sova; ;119;8;16;6; ;86;13%;0;0;Pretty Boyz;
L;Sova; ;123;6;14;6; ;86;13%;0;0;Pretty Boyz;
W;Sova; ;211;16;12;8; ;128;15%;4;2;Pretty Boyz;
W;Sova; ;268;14;3;7; ;164;30%;2;0;Pretty Boyz;
L;Sova; ;190;11;18;12; ;112;13%;2;2;Pretty Boyz;
