map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;160;10;15;2; ;89;12%;2;4;InnerVoice;
L;Jett; ;212;15;19;3; ;114;23%;3;3;InnerVoice;
L;Jett; ;247;14;16;7; ;150;22%;5;4;InnerVoice;
L;Jett; ;151;9;14;1; ;95;20%;2;4;InnerVoice;
W;Sage; ;269;21;13;13; ;156;31%;4;2;InnerVoice;
W;Sage; ;222;16;14;5; ;132;19%;3;5;InnerVoice;
L;Jett; ;335;27;14;2; ;197;19%;8;3;InnerVoice;
L;Sage; ;176;11;15;7; ;105;6%;1;0;InnerVoice;
W;Jett; ;266;19;15;5; ;172;20%;3;1;InnerVoice;
W;Sage; ;213;20;19;6; ;140;19%;2;0;InnerVoice;
L;Breach; ;185;15;17;9; ;120;14%;1;2;InnerVoice;
L;Jett; ;101;7;16;2; ;59;15%;1;7;InnerVoice;
W;Reyna; ;219;18;13;2; ;122;27%;1;3;InnerVoice;
W;None;0;0;0;0;0;0;0;0;0;0;InnerVoice;
L;Sage; ;198;14;16;7; ;130;19%;3;1;InnerVoice;
L;Sage; ;210;14;18;10; ;129;24%;2;1;InnerVoice;
W;Phoenix; ;284;21;15;5; ;176;25%;5;4;InnerVoice;
L;Jett; ;222;13;17;4; ;140;15%;4;7;Team 600;
W;Jett; ;399;28;13;1; ;241;25%;4;3;Team 600;
L;Sage; ;139;9;15;5; ;90;15%;1;3;Team 600;
L;Reyna; ;210;17;16;5; ;153;26%;2;4;Team 600;
W;Jett; ;283;14;13;6; ;147;8%;3;2;Team 600;
L;Raze; ;224;15;21;6; ;136;12%;2;5;Team 600;
L;Jett; ;220;17;19;4; ;118;15%;6;7;Team 600;
L;Jett; ;123;8;18;3; ;82;23%;3;7;Team 600;
W;Raze; ;298;29;26;13; ;198;19%;4;8;Team 600;
L;Raze; ;207;9;17;6; ;144;21%;3;4;Team 600;
W;Raze;1.31;296;19;13;4;82%;166;22%;3;2;Team 600;
W;Raze;1.17;268;21;18;7;79%;165;20%;5;1;Team 600;
L;Raze;0.75;183;11;18;8;62%;118;13%;3;2;Team 600;
W;Raze;0.78;176;12;17;4;52%;101;14%;5;6;Team 600;
W;Raze;1.40;276;17;11;3;82%;158;30%;6;3;Team 600;
W;Raze;1.38;330;24;14;3;85%;202;10%;1;0;Team 600;
L;Raze;0.59;120;8;19;3;64%;89;14%;1;3;Team 600;
L;Raze;0.89;248;18;20;3;57%;148;15%;3;7;Team 600;
L;Raze;0.84;225;13;17;1;56%;145;24%;2;4;Team 600;
L;Raze;1.16;270;19;17;6;67%;187;25%;3;4;Team 600;
L;Raze;0.64;186;9;13;3;63%;105;29%;2;6;Team 600;
L;Raze;0.83;176;12;18;3;52%;130;23%;2;3;Team 600;
W;Raze;0.96;223;18;18;3;70%;128;21%;2;5;Team 600;
L;Raze;0.24;112;6;16;0;38%;58;22%;1;4;Team 600;
W;Reyna;1.34;251;15;10;7;88%;181;31%;1;1;UwU;
W;Raze;1.20;247;13;10;6;88%;131;8%;4;3;UwU;
W;Reyna;0.65;155;8;16;8;63%;117;25%;4;3;UwU;
W;Sage;1.19;164;12;7;4;78%;88;14%;3;4;UwU;
L;Sage;0.44;136;6;14;2;71%;101;20%;2;1;UwU;
W;Raze;1.14;218;20;13;4;67%;147;16%;1;2;UwU;
W;Sage;0.63;167;12;20;8;67%;102;22%;5;6;UwU;
L;Reyna;1.04;239;18;18;6;67%;147;20%;1;1;UwU;
L;Reyna;0.91;199;11;15;3;56%;135;23%;2;3;UwU;
L;Sage;0.74;162;13;18;4;73%;105;25%;2;2;UwU;
L;Sage;0.38;135;7;15;2;73%;87;39%;0;4;UwU;
W;Viper;1.26;263;16;12;9;83%;186;26%;1;2;UwU;
W;Viper;0.96;202;13;12;4;78%;149;31%;1;2;UwU;
W;Sage;0.85;160;10;10;5;65%;108;28%;2;3;UwU;
W;Viper;1.19;232;18;13;8;79%;135;26%;0;2;UwU;
L;Viper;0.66;118;6;15;5;59%;87;22%;2;2;UwU;
L;Sage;0.57;147;12;22;3;58%;101;19%;2;3;UwU;
L;Reyna;0.75;185;15;19;2;57%;130;29%;2;4;UwU;
W;Viper;1.21;164;12;10;6;72%;110;28%;4;1;UwU;
W;Sage;1.32;305;19;11;7;94%;193;30%;6;1;UwU;
W;Omen;1.11;166;13;11;8;85%;114;18%;2;0;UwU;
W;Viper;0.93;157;14;15;7;67%;114;32%;2;2;UwU;
L;Sage;0.59;104;7;14;0;41%;75;24%;0;4;UwU;
W;Omen;1.22;217;23;16;2;75%;130;26%;3;3;UwU;
L;Astra;0.67;185;14;19;7;68%;103;17%;2;4;UwU;
W;Viper;1.02;182;14;14;8;76%;98;30%;3;3;UwU;
W;Viper;0.69;139;8;15;6;76%;101;27%;1;0;UwU;
L;Astra;0.93;209;13;14;5;59%;139;27%;1;2;UwU;
L;Astra;0.61;165;10;19;8;59%;95;12%;3;4;UwU;
W;Sage;1.12;206;14;12;9;79%;122;15%;1;2;UwU;
