map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Exceptis;
L;None;0;0;0;0;0;0;0;0;0;0;Exceptis;
L;None;0;0;0;0;0;0;0;0;0;0;Exceptis;
W;None;0;0;0;0;0;0;0;0;0;0;Exceptis;
W;None;0;0;0;0;0;0;0;0;0;0;Exceptis;
L;Omen; ;282;22;15;6; ; ; ;1; ;InetGamer;
L;Omen; ;229;14;18;3; ; ; ;3; ;InetGamer;
L;Omen; ;215;12;16;3; ; ; ;2; ;InetGamer;
L;Omen; ;42;2;12;1; ;37;22%;0;2;Project SW;
W;Omen; ;177;19;21;4; ;114;29%;0;3;Project SW;
L;Omen; ;184;17;15;5; ;113;42%;1;1;Project SW;
W;None;0;0;0;0;0;0;0;0;0;0;Project SW;
W;Omen; ;142;12;8;2; ;84;38%;0;2;Project SW;
L;Omen; ;201;9;13;2; ;137;31%;1;1;Project SW;
W;Omen; ;168;13;13;1; ;92;28%;2;1;Project SW;
W;Omen; ;226;14;10;5; ;122;20%;2;1;Project SW;
L;Omen; ;195;13;18;2; ;163;29%;2;1;Project SW;
L;Omen; ;111;7;13;2; ;70;32%;0;2;Project SW;
L;Omen; ;151;12;16;5; ;112;41%;2;1;Project SW;
W;Omen; ;150;13;17;10; ;95;29%;1;3;Project SW;
L;Breach; ;132;11;15;4; ;80;28%;0;1;Project SW;
L;Omen; ;156;13;18;2; ;93;38%;2;2;Project SW;
L;Reyna; ;184;13;12;4; ;118;28%;4;3;Ambush;
W;Jett; ;208;22;18;3; ;118;13%;2;3;Ambush;
L;Reyna; ;193;14;14;4; ;121;24%;4;2;Ambush;
W;Omen; ;194;16;12;7; ;130;32%;0;2;Project SW;
L;Omen; ;152;12;18;8; ;111;31%;1;1;Project SW;
W;Omen; ;206;17;8;6; ;121;34%;2;0;Project SW;
L;Omen; ;101;7;17;2; ;76;35%;0;1;Project SW;
W;Reyna; ;208;16;14;5; ;113;22%;4;2;Destined;
W;Jett; ;155;14;16;3; ;92;25%;4;1;Destined;
L;Reyna; ;180;14;16;4; ;122;22%;3;3;Destined;
W;Reyna; ;128;8;9;2; ;144;39%;1;0;Destined;
W;Reyna; ;224;18;13;6; ;124;28%;2;2;Destined;
W;Reyna; ;157;11;10;4; ;89;13%;4;1;Destined;
L;Reyna; ;116;12;16;1; ;82;35%;0;4;Destined;
W;Jett; ;218;15;10;6; ;153;30%;2;3;Destined;
L;None;0;0;0;0;0;0;0;0;0;0;Destined;
W;Jett; ;156;10;11;5; ;86;8%;2;1;Destined;
W;Jett; ;282;21;7;2; ;176;25%;3;1;Destined;
W;Jett; ;211;16;14;2; ;132;24%;4;4;Destined;
L;Jett; ;158;9;16;2; ;87;17%;2;4;Destined;
L;Jett; ;158;9;16;2; ;87;17%;2;4;Destined;
