map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;351;29;16;5; ; ; ;3; ;REJECT;
L;Raze; ;221;19;18;6; ; ; ;4; ;REJECT;
W;Jett; ;451;29;11;1; ;228; ;4; ;REJECT;
W;Jett; ;265;19;10;4; ;155; ;0; ;REJECT;
L;Jett; ;292;22;17;3; ;176; ;5; ;REJECT;
L;Jett; ;232;15;15;6; ;149; ;2; ;REJECT;
W;Jett; ;282;22;14;5; ;163; ;2; ;REJECT;
W;Jett; ;416;24;8;2; ;236; ;5; ;REJECT;
W;Jett; ;238;17;9;2; ;141; ;0; ;REJECT;
L;Jett; ;235;21;23;4; ;158; ;2; ;REJECT;
L;Jett; ;87;3;14;1; ;61; ;1; ;REJECT;
W;Jett; ;270;22;11;4; ;162; ;1; ;REJECT;
L;Jett; ;186;17;22;2; ;105;25%;4;4;REJECT;
W;Jett; ;349;27;15;3; ;207;22%;3;2;REJECT;
W;Raze; ;284;22;15;10; ;178;21%;5;5;REJECT;
W;Raze; ;384;18;6;4; ;246;10%;2;0;REJECT;
L;Jett; ;215;17;19;2; ;133;17%;3;8;REJECT;
L;Jett; ;238;21;17;2; ;146;39%;0;5;REJECT;
W;Jett; ;228;19;15;3; ;141;25%;2;3;REJECT;
W;Raze; ;369;28;12;5; ;213;23%;7;2;REJECT;
L;Jett; ;306;20;14;1; ;190;24%;3;2;REJECT;
W;Jett; ;174;14;17;5; ;99;25%;3;4;REJECT;
W;Raze; ;260;20;19;7; ;154;16%;3;6;REJECT;
W;Jett; ;303;21;17;4; ;183;17%;4;1;REJECT;
W;Phoenix; ;266;22;14;5; ;161;33%;4;1;REJECT;
L;Jett; ;288;26;20;4; ;166;25%;3;3;REJECT;
L;Jett; ;204;16;18;0; ;111;18%;0;3;REJECT;
L;Jett; ;156;10;13;1; ;75;9%;3;2;REJECT;
L;None;0;0;0;0;0;0;0;0;0;0;REJECT;
W;Jett; ;313;18;11;4; ;189;13%;3;0;REJECT;
L;Jett; ;222;19;17;2; ;143;24%;5;6;REJECT;
L;Jett; ;333;26;18;9; ;201;32%;6;2;REJECT;
L;Jett; ;285;19;18;5; ;173;25%;3;2;REJECT;
L;Jett; ;269;21;14;6; ;174;25%;4;3;REJECT;
L;Raze; ;172;9;14;2; ;108;7%;3;0;REJECT;
W;Raze; ;247;19;15;2; ;163;14%;2;0;REJECT;
L;Raze; ;152;10;15;0; ;74;12%;1;3;REJECT;
W;Jett; ;193;11;11;2; ;118;22%;1;1;REJECT;
L;Jett; ;216;17;18;5; ;117;20%;2;3;REJECT;
W;Jett; ;200;16;13;4; ;124;18%;2;3;REJECT;
L;Jett; ;204;17;16;3; ;119;14%;0;4;REJECT;
L;Jett; ;208;11;15;3; ;132;14%;2;4;REJECT;
W;Jett; ;234;14;5;0; ;151;28%;1;1;REJECT;
W;Jett; ;368;26;10;7; ;212;11%;3;2;REJECT;
W;Jett; ;185;13;14;5; ;125;23%;1;3;REJECT;
W;Jett; ;367;24;13;6; ;201;18%;5;1;REJECT;
W;Jett; ;320;24;10;0; ;150;26%;4;1;REJECT;
L;Jett; ;211;21;19;6; ;134;16%;4;3;REJECT;
L;Jett; ;221;17;19;5; ;150;14%;3;0;REJECT;
W;Jett; ;204;16;18;5; ;117;16%;5;1;REJECT;
W;Jett; ;195;13;13;4; ;125;9%;2;4;REJECT;
L;Reyna; ;267;19;14;1; ;167;31%;1;2;REJECT;
L;Omen; ;113;7;18;13; ;79;17%;0;0;REJECT;
W;Jett; ;269;16;13;9; ;163;20%;3;1;REJECT;
W;Raze; ;331;16;8;5; ;194;7%;3;2;REJECT;
W;Jett; ;378;27;14;4; ;233;17%;5;3;REJECT;
W;Jett; ;196;16;13;6; ;140;18%;1;0;REJECT;
W;Jett; ;291;24;15;4; ;164;23%;1;2;REJECT;
W;Reyna; ;318;20;8;1; ;199;32%;3;1;REJECT;
W;Jett; ;282;26;17;1; ;202;24%;3;2;REJECT;
L;Jett; ;243;20;18;5; ;134;26%;2;4;REJECT;
L;Jett; ;270;21;16;3; ;153;40%;5;3;REJECT;
L;Jett; ;281;20;14;2; ;178;34%;1;2;REJECT;
W;Jett; ;193;15;14;3; ;122;32%;1;2;REJECT;
L;Jett; ;254;21;19;1; ;196;40%;0;3;REJECT;
W;Jett; ;342;20;7;3; ;203;33%;3;1;REJECT;
W;Jett; ;353;26;14;2; ;192;12%;5;1;REJECT;
W;Raze; ;360;33;17;4; ;216;25%;3;1;REJECT;
W;Jett; ;248;21;17;7; ;140;27%;2;3;REJECT;
W;Jett; ;324;24;10;6; ;179;24%;1;0;REJECT;
L;Jett; ;137;11;14;2; ;72;11%;2;2;REJECT;
