map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Sage; ;233;16;16;6; ;186;18%;1;3;VETERANOS e-Sports;
L;Sova; ;110;4;14;8; ;78;14%;0;4;VETERANOS e-Sports;
L;Sova; ;214;16;17;3; ;124;31%;1;2;VETERANOS e-Sports;
W;Sage; ;245;19;15;4; ;160;27%;4;4;VETERANOS e-Sports;
L;Killjoy; ;176;11;18;7; ;132;17%;3;3;VETERANOS e-Sports;
L;Sova; ;181;15;18;8; ;111;34%;1;2;KPI Gaming;
L;Sage;0.31;90;5;16;1;44%;62;26%;3;3;Einheit;
W;Skye;0.74;187;18;24;8;64%;124;21%;0;3;Einheit;
L;Sage;1.00;227;17;17;8;74%;141;35%;2;2;Einheit;
W;Raze;1.13;281;14;11;4;87%;181;25%;2;3;Einheit;
L;Skye;0.86;200;13;17;9;65%;139;17%;1;1;Einheit;
W;Skye;0.96;176;14;18;16;85%;120;26%;5;0;Einheit;
L;Raze;1.19;238;18;15;3;70%;166;23%;1;1;Einheit;
W;Skye;1.21;225;19;14;6;96%;136;30%;4;2;Einheit;
L;Sage;0.67;128;11;19;9;73%;96;23%;0;4;Einheit;
