map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Jett; ;174;9;5;3; ;94;37%;1;1;Team Liquid;
W;Jett; ;190;11;4;2; ;94;11%;2;1;Team Liquid;
W;Jett; ;164;7;10;5; ;113;19%;3;3;Team Liquid;
W;Jett; ;111;10;12;0; ;65;17%;0;4;Team Liquid;
W;Jett; ;146;13;11;1; ;90;22%;3;3;Team Liquid;
W;Jett; ;238;13;7;2; ;127;3%;2;3;Team Liquid;
L;Jett; ;222;13;14;4; ;192;27%;4;3;Team Liquid;
W;Jett; ;183;14;18;4; ;102;35%;3;7;Team Liquid;
L;Jett; ;206;23;19;2; ;125;27%;4;4;Team Liquid;
W;Jett;1.60;258;16;4;3;94%;160;14%;2;0;Team Liquid;
W;Jett; ;232;12;3;1; ;141;36%;3;0;Team Liquid;
W;Jett; ;210;13;9;3; ;122;28%;3;1;Team Liquid;
W;Jett; ;260;18;11;3; ;167;30%;3;3;Team Liquid;
W;Jett; ;168;9;13;6; ;101;18%;3;3;Team Liquid;
W;Jett; ;295;18;3;0; ;253;27%;3;1;Team Liquid;
W;Jett; ;357;29;21;4; ;220;39%;9;2;Team Liquid;
W;Jett; ;200;11;7;1; ;101;43%;2;1;Team Liquid;
L;Jett;0.97;245;23;18;1;67%;147;22%;7;6;Team Liquid;
L;Jett;0.78;155;11;16;3;43%;119;23%;2;5;Team Liquid;
W;Jett;1.77;281;15;4;0;100%;161;26%;5;0;Team Liquid;
W;Jett;1.14;245;15;10;3;76%;111;25%;3;2;Team Liquid;
W;Jett;1.25;199;13;7;1;87%;119;18%;1;1;Team Liquid;
W;Jett;0.90;184;16;17;2;71%;120;30%;5;5;Team Liquid;
W;Jett;1.35;288;16;10;4;87%;179;23%;5;2;Team Liquid;
W;Jett;1.31;197;13;5;0;81%;120;19%;4;2;Team Liquid;
W;Jett;1.20;202;14;8;1;82%;92;20%;2;2;Team Liquid;
W;Jett;0.93;168;12;9;2;65%;84;12%;5;2;Team Liquid;
W;Jett;1.26;281;21;13;2;73%;152;27%;7;3;Team Liquid;
W;Jett;0.88;239;22;20;3;67%;129;18%;4;1;Team Liquid;
L;Jett;1.12;275;22;17;2;55%;157;17%;6;6;Team Liquid;
W;Jett;1.08;248;14;10;2;69%;127;17%;5;3;Team Liquid;
W;Jett;1.35;309;21;13;3;83%;175;33%;6;4;Team Liquid;
W;Jett;1.34;311;16;8;0;86%;168;22%;4;1;Team Liquid;
W;Jett;1.11;233;19;15;6;71%;136;20%;6;5;Team Liquid;
L;Jett;0.63;151;11;20;6;63%;94;26%;3;6;Team Liquid;
W;Jett;1.08;219;24;19;3;68%;142;23%;4;2;Team Liquid;
W;Jett;1.36;342;25;13;2;84%;160;19%;7;3;Team Liquid;
L;Jett;1.07;244;20;17;1;65%;131;18%;6;4;Team Liquid;
W;Jett;0.84;231;18;18;2;52%;126;24%;7;8;Team Liquid;
L;Jett;0.49;114;7;17;3;47%;78;31%;3;2;Team Liquid;
L;Jett;0.61;180;9;16;6;59%;129;21%;2;8;Team Liquid;
L;Jett;0.29;90;5;19;1;42%;54;42%;2;5;Team Liquid;
W;Jett;1.20;271;21;14;1;76%;163;24%;5;2;Team Liquid;
W;Jett;1.25;256;18;13;6;84%;158;33%;4;3;Team Liquid;
W;Killjoy;1.34;224;15;9;4;70%;138;10%;5;2;Team Liquid;
W;Jett;0.94;282;17;14;6;67%;154;24%;4;7;Team Liquid;
W;Killjoy;1.11;162;7;6;6;85%;102;11%;1;3;Team Liquid;
W;Jett;1.15;236;14;11;2;81%;118;27%;6;3;Team Liquid;
L;Killjoy;0.49;204;11;17;2;50%;117;28%;3;5;Team Liquid;
W;Killjoy;0.85;167;12;12;0;65%;91;19%;3;4;Team Liquid;
W;Jett;1.28;267;21;13;2;68%;148;18%;3;3;Team Liquid;
L;Jett;0.45;147;9;18;4;45%;97;24%;1;5;Team Liquid;
W;Jett;1.29;290;21;13;2;75%;147;22%;5;3;Team Liquid;
W;Jett;0.68;150;14;24;3;63%;92;17%;6;10;Team Liquid;
L;Jett;1.43;338;31;19;1;75%;189;28%;8;3;Team Liquid;
L;Killjoy;0.64;201;10;17;6;59%;144;21%;1;3;Team Liquid;
W;Jett;1.38;248;13;6;3;80%;131;8%;3;2;Team Liquid;
W;Jett;1.06;237;20;14;3;73%;135;20%;3;6;Team Liquid;
W;Jett;1.40;306;24;11;3;76%;166;20%;6;6;Team Liquid;
W;Killjoy;1.63;272;17;7;7;94%;176;25%;6;1;Team Liquid;
L;Jett;0.99;195;15;15;5;57%;120;22%;3;6;Team Liquid;
L;Jett;0.66;118;11;17;1;52%;67;28%;1;5;Team Liquid;
W;Sova;1.08;242;23;18;6;75%;150;18%;2;4;Team Liquid;
W;Omen;1.35;240;17;13;10;76%;148;22%;5;1;Team Liquid;
L;Omen;0.91;197;15;15;4;63%;126;25%;1;2;Team Liquid;
W;Sova;1.40;282;18;9;5;83%;171;25%;5;0;Team Liquid;
W;Omen;0.88;161;13;14;4;73%;97;17%;3;5;Team Liquid;
L;Sova;1.10;198;16;15;7;75%;144;29%;3;2;Team Liquid;
W;Sova;1.19;189;16;12;9;91%;118;34%;5;0;Team Liquid;
L;Omen; ; ;20;19;6; ; ; ; ; ;Team Liquid;
W;Omen;0.86;181;15;19;5;73%;104;27%;6;3;Team Liquid;
W;Omen;1.00;209;19;19;11;77%;120;17%;6;4;Team Liquid;
L;Omen;1.10;236;18;15;1;82%;139;31%;3;3;Team Liquid;
L;Omen;1.18;281;21;17;5;73%;171;34%;4;2;Team Liquid;
W;Omen;1.32;218;19;12;9;87%;122;14%;3;3;Team Liquid;
W;Sova;1.18;209;18;15;9;73%;124;15%;5;3;Team Liquid;
L;Sova;0.56;173;10;15;3;59%;110;21%;2;3;Team Liquid;
L;Omen;0.52;155;9;16;7;44%;99;17%;1;6;Team Liquid;
W;Omen;1.33;297;31;19;6;82%;180;31%;5;1;Team Liquid;
L;Omen;0.58;135;9;15;2;60%;82;38%;3;3;Team Liquid;
W;Sova;1.17;205;16;14;6;74%;124;34%;3;2;Team Liquid;
L;Omen;1.06;165;15;15;7;67%;92;19%;4;6;Team Liquid;
W;Sova;0.77;166;14;17;6;65%;90;12%;3;1;Team Liquid;
W;Jett;1.21;311;21;13;1;72%;161;21%;3;3;Team Liquid;
L;Jett;0.81;214;16;18;2;65%;130;26%;4;2;Team Liquid;
W;Jett;0.87;186;16;14;1;74%;101;9%;2;6;Team Liquid;
W;Jett;0.92;181;13;13;4;68%;100;5%;2;2;Team Liquid;
L;Jett;0.84;199;17;17;2;65%;104;25%;5;6;Team Liquid;
W;Jett;0.85;163;11;14;4;60%;112;23%;2;3;Team Liquid;
L;Omen;0.77;164;15;19;6;67%;89;20%;5;5;Team Liquid;
W;Omen;1.71;270;17;4;5;93%;147;14%;4;1;Team Liquid;
W;Jett;1.71;304;20;7;1;100%;174;31%;3;1;Team Liquid;
W;Jett;1.01;197;14;15;4;60%;111;12%;2;4;Team Liquid;
W;Jett;0.78;211;16;17;4;70%;116;20%;3;1;Team Liquid;
W;Omen;1.21;208;18;14;5;71%;131;27%;3;2;Team Liquid;
L;Jett;0.47;164;8;16;3;44%;98;24%;4;5;Team Liquid;
L;Jett;0.48;124;11;26;6;63%;93;26%;4;6;Team Liquid;
