map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Cypher; ;194;13;12;1; ;151;41%;0;2;Sicko Mode;
W;Cypher; ;144;10;16;4; ;79;60%;2;1;Sicko Mode;
L;Cypher; ;223;18;15;2; ;139;41%;1;1;Sicko Mode;
W;Cypher; ;228;21;18;6; ;144;24%;0;0;Sicko Mode;
W;Cypher; ;229;13;8;2; ;136;14%;1;0;Sicko Mode;
L;Cypher; ;106;6;14;4; ;76;50%;0;1;Sicko Mode;
L;Cypher; ;139;8;16;4; ;91;54%;1;2;Sicko Mode;
W;Killjoy; ;176;10;11;4; ;115;15%;2;0;Movistar Riders;
W;Cypher; ;279;19;11;4; ;178;43%;2;2;Movistar Riders;
W;Cypher; ;289;17;9;4; ;167;42%;3;0;Movistar Riders;
L;Cypher; ;243;22;19;4; ;154;31%;2;3;Movistar Riders;
W;Cypher; ;321;25;16;7; ;211;32%;3;3;Movistar Riders;
W;Killjoy; ;347;23;9;3; ;188;25%;0;0;Movistar Riders;
L;Cypher; ;176;14;20;10; ;108;26%;0;2;Movistar Riders;
W;Cypher; ;201;17;14;6; ;133;41%;2;3;Movistar Riders;
W;Cypher; ;147;13;21;6; ;98;19%;3;4;Movistar Riders;
W;Cypher; ;244;19;13;6; ;146;32%;3;0;Movistar Riders;
W;Killjoy; ;213;17;20;5; ;146;24%;4;4;Movistar Riders;
W;Cypher; ;262;20;11;4; ;160;40%;1;1;Movistar Riders;
W;Cypher; ;274;20;16;5; ;157;28%;2;1;Movistar Riders;
L;Killjoy; ;184;11;15;5; ;121;22%;0;4;Movistar Riders;
L;Cypher; ;151;11;17;7; ;86;11%;1;3;Movistar Riders;
L;Reyna; ;188;12;17;7; ;120;30%;1;3;Movistar Riders;
L;Reyna; ;166;11;16;1; ;96;43%;3;3;Movistar Riders;
W;Cypher; ;167;17;13;2; ;103;37%;2;1;Movistar Riders;
L;Cypher; ;157;10;18;4; ;100;42%;1;2;Movistar Riders;
W;Cypher; ;270;22;15;1; ;169;22%;3;1;Movistar Riders;
L;Cypher; ;129;8;16;2; ;98;22%;1;3;Movistar Riders;
L;Cypher; ;287;18;14;2; ;167;28%;3;0;Movistar Riders;
