map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Cypher; ;225;20;14;6; ;149;29%;1;4;Penguin Sledding;
L;Cypher; ;189;19;22;6; ;118;27%;2;6;Penguin Sledding;
L;Cypher; ;204;14;15;2; ;120;28%;2;2;Penguin Sledding;
W;Cypher; ;250;14;8;3; ;137;20%;3;1;Penguin Sledding;
W;Cypher; ;199;13;10;6; ;122;20%;0;0;Penguin Sledding;
W;Cypher; ;161;11;11;4; ;151;21%;1;4;Penguin Sledding;
W;Cypher; ;180;11;9;2; ;102;22%;0;0;Penguin Sledding;
W;Cypher; ;209;18;16;6; ;142;31%;2;1;Penguin Sledding;
L;Cypher; ;109;8;17;3; ;66;16%;2;3;Penguin Sledding;
L;Cypher; ;192;13;18;3; ;124;20%;1;3;Penguin Sledding;
L;Reyna; ;303;20;18;3; ;175;28%;1;4;Penguin Sledding;
W;Cypher; ;178;11;6;6; ;118;33%;1;2;Phoenix1;
W;Killjoy; ;191;15;11;2; ;107;12%;1;1;Phoenix1;
L;Cypher; ;161;11;15;3; ;115;24%;2;2;Phoenix1;
W;Cypher; ;122;9;14;3; ;84;14%;0;1;Phoenix1;
W;Cypher; ;249;15;6;4; ;144;28%;3;0;Phoenix1;
W;Killjoy; ;192;12;11;3; ;130;27%;1;1;Phoenix1;
W;Cypher; ;246;21;16;4; ;150;47%;2;2;Phoenix1;
W;Killjoy; ;232;19;11;2; ;141;22%;3;0;Phoenix1;
W;Killjoy; ;244;21;17;3; ;152;23%;1;2;Phoenix1;
W;Killjoy; ;132;11;16;7; ;89;14%;2;3;Phoenix1;
W;Cypher; ;150;16;22;8; ;99;21%;2;3;Phoenix1;
L;Cypher; ;211;18;21;5; ;125;26%;3;3;Phoenix1;
W;Killjoy; ;180;13;13;5; ;121;19%;2;0;Phoenix1;
W;Cypher; ;248;24;21;2; ;132;36%;0;2;Phoenix1;
L;Cypher; ;230;18;17;10; ;149;30%;2;2;Phoenix1;
W;Killjoy; ;174;11;11;4; ;107;14%;0;3;Phoenix1;
L;Killjoy; ;143;9;17;3; ;73;28%;0;6;Phoenix1;
L;Killjoy; ;160;9;14;0; ;98;22%;1;3;Phoenix1;
L;Cypher; ;264;22;16;3; ;154;43%;6;0;ex-Phoenix1;
W;Killjoy; ;250;19;17;1; ;135;24%;4;2;ex-Phoenix1;
L;Killjoy; ;201;14;14;2; ;134;26%;2;1;ex-Phoenix1;
