map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;233;20;19;4; ;134;36%;5;4;GodLike Esports;
W;Jett; ;290;23;11;3; ;170;30%;3;3;GodLike Esports;
L;Jett; ;290;23;12;1; ;172;31%;5;5;GodLike Esports;
L;Jett; ;197;15;16;1; ;113;48%;4;5;GodLike Esports;
L;Jett; ;201;15;18;1; ;124;36%;7;4;God Particles;
L;Jett; ;249;19;16;1; ;142;26%;4;4;God Particles;
W;Jett; ;270;22;11;2; ;182;35%;4;2;GodLike Esports;
W;Jett; ;203;12;7;2; ;106;38%;3;3;GodLike Esports;
L;Jett; ;92;5;15;2; ;67;19%;0;5;GodLike Esports;
L;Jett; ;259;15;12;3; ;231;40%;3;2;GodLike Esports;
L;Jett; ;154;11;18;6; ;111;13%;2;5;GodLike Esports;
L;Jett; ;194;15;15;6; ;125;26%;4;2;GodLike Esports;
L;Jett; ;218;22;21;2; ;144;37%;4;2;GodLike Esports;
W;Jett; ;188;17;22;6; ;128;31%;1;2;GodLike Esports;
W;Jett; ;284;18;10;5; ;171;28%;4;1;GodLike Esports;
W;Jett; ;210;20;12;1; ;115;34%;4;4;GodLike Esports;
W;Jett; ;276;19;8;2; ;163;29%;8;1;GodLike Esports;
W;Jett; ;277;20;15;2; ;134;36%;3;2;GodLike Esports;
W;Jett; ;204;21;22;4; ;169;36%;7;6;GodLike Esports;
L;Jett;0.54;111;6;16;4;60%;71;8%;2;4;F1LS Esports;
W;Sage;0.99;205;11;11;1;81%;126;31%;2;2;F1LS Esports;
W;Sage;1.41;230;11;6;5;86%;124;29%;3;0;F1LS Esports;
L;Sage;0.54;150;8;17;9;67%;94;26%;2;2;F1LS Esports;
W;Jett;1.34;253;18;11;3;74%;162;30%;4;3;F1LS Esports;
L;Jett;0.64;149;10;18;4;67%;94;23%;3;1;F1LS Esports;
W;Jett;1.64;317;21;8;4;71%;195;40%;5;2;F1LS Esports;
L;Jett;0.86;183;13;16;3;59%;122;30%;4;4;F1LS Esports;
L;Jett;1.36;220;21;11;1;77%;122;24%;8;0;F1LS Esports;
L;Jett;0.97;213;22;21;4;57%;131;37%;3;2;F1LS Esports;
L;Jett;0.97;232;19;17;3;61%;125;24%;5;3;F1LS Esports;
W;Jett;1.43;300;25;14;4;90%;155;16%;4;2;F1LS Esports;
W;Jett;1.15;197;17;12;0;71%;102;34%;1;3;F1LS Esports;
L;Sage;0.73;164;11;14;3;58%;103;45%;1;4;F1LS Esports;
L;Jett;0.79;216;14;15;1;61%;101;26%;2;2;F1LS Esports;
L;Jett;0.64;140;8;13;1;50%;93;22%;0;1;F1LS Esports;
L;Sage;0.79;173;13;20;7;59%;119;14%;1;2;F1LS Esports;
L;Jett;1.04;259;21;17;1;59%;157;35%;5;6;F1LS Esports;
L;Sage;0.73;151;14;21;6;54%;106;28%;3;7;F1LS Esports;
W;Jett;1.22;280;21;16;4;68%;170;32%;3;3;F1LS Esports;
L;Jett;0.77;204;13;13;2;53%;126;33%;1;4;F1LS Esports;
L;Jett;0.81;151;12;18;1;45%;90;27%;3;5;F1LS Esports;
W;Jett;1.19;232;16;11;1;88%;157;29%;4;1;F1LS Esports;
W;Jett;1.33;263;21;13;1;68%;152;38%;7;5;F1LS Esports;
W;Jett;1.60;340;20;8;1;75%;218;44%;4;5;F1LS Esports;
W;Jett;1.18;311;35;25;4;78%;183;45%;11;4;F1LS Esports;
