map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;Sage; ;243;16;16;5; ; ; ;3; ;HypHypHyp;
L;Sage; ;221;15;19;13; ; ; ;1; ;HypHypHyp;
W;Sage; ;0;0;0;0; ; ; ;0; ;HypHypHyp;
W;Sage; ;0;0;0;0; ; ; ;0; ;HypHypHyp;
W;Sage; ;295;24;18;6; ; ; ;2; ;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;Sage; ;225;18;18;10; ; ; ;3; ;HypHypHyp;
W;None;0;0;0;0;0;0;0;0;0;0;HypHypHyp;
L;Sage; ;209;18;20;2; ; ; ;2; ;HypHypHyp;
L;Sage; ;205;15;18;5; ; ; ;3; ;HypHypHyp;
W;Sage; ;132;11;8;10; ; ; ;1; ;HypHypHyp;
W;Sage; ;208;17;16;8; ; ; ;2; ;HypHypHyp;
W;Sage; ;226;19;13;6; ; ; ;2; ;HypHypHyp;
W;Sage; ;196;15;12;5; ; ; ;1; ;HypHypHyp;
W;Sage; ;261;16;12;6; ; ; ;5; ;HypHypHyp;
W;Sage; ;263;19;12;8; ; ; ;4; ;HypHypHyp;
W;Sage; ;228;13;5;1; ; ; ;3; ;HypHypHyp;
L;Sage; ;204;15;16;8; ; ; ;4; ;HypHypHyp;
W;Sage; ;266;21;10;5; ; ; ;4; ;HypHypHyp;
W;Sage; ;233;15;16;3; ; ; ;4; ;HypHypHyp;
W;Sage; ;194;14;14;6; ; ; ;4; ;HypHypHyp;
W;Sage; ;237;17;12;10; ; ; ;2; ;PiP PiP PiP;
L;Sage; ;171;15;19;6; ; ; ;1; ;PiP PiP PiP;
L;Sage; ;269;14;15;1; ; ; ;1; ;Prodigy;
L;Sova; ;176;14;18;5; ; ; ;1; ;Prodigy;
L;Sage; ;255;11;13;0; ; ; ;2; ;Prodigy;
L;Sage; ;250;20;18;4; ; ; ;6; ;Prodigy;
W;Sage; ;293;22;16;6; ; ; ;2; ;Prodigy;
W;Sage; ;210;17;17;6; ; ; ;5; ;Prodigy;
L;Sage; ;202;14;17;10; ; ; ;1; ;Prodigy;
L;Sage; ;94;7;17;8; ; ; ;0; ;Prodigy;
L;Sage; ;167;13;16;7; ;92;18%;0;0;Inferno;
