map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Sage; ;166;7;13;3; ; ; ;0; ;Carpet Cleaners;
W;Omen; ;131;10;17;9; ;79;19%;3;2;SUMN FC;
L;Omen; ;123;9;18;1; ;66;43%;1;3;SUMN FC;
W;Omen; ;233;15;8;8; ;115;13%;0;0;SUMN FC;
W;Brimstone; ;192;20;19;2; ;115;24%;6;3;SUMN FC;
W;Brimstone; ;130;9;10;1; ;70;19%;1;3;SUMN FC;
W;Omen; ;238;19;14;9; ;151;18%;2;0;SUMN FC;
W;Brimstone; ;194;20;17;5; ;119;24%;2;2;SUMN FC;
W;Omen; ;146;10;11;6; ;101;28%;0;2;SUMN FC;
L;Brimstone; ;261;18;18;4; ;161;17%;1;3;SUMN FC;
L;Omen; ;191;16;17;5; ;106;32%;1;3;SUMN FC;
W;Omen; ;231;17;8;6; ;127;23%;2;1;SUMN FC;
W;Omen; ;179;14;15;4; ;114;26%;0;1;SUMN FC;
L;None;0;0;0;0;0;0;0;0;0;0;SUMN FC;
W;Omen; ;281;22;11;4; ;168;32%;2;1;SUMN FC;
L;Omen; ;209;19;19;6; ;127;31%;2;2;SUMN FC;
W;Omen; ;185;12;12;10; ;106;19%;3;0;SUMN FC;
W;Brimstone; ;273;24;17;3; ;181;33%;2;0;SUMN FC;
W;Brimstone; ;266;20;6;1; ;162;27%;2;0;SUMN FC;
W;Omen; ;297;22;14;7; ;183;33%;2;2;SUMN FC;
W;Omen; ;150;10;13;7; ;81;33%;1;2;SUMN FC;
L;Omen; ;145;14;13;3; ;93;30%;1;0;SUMN FC;
W;Brimstone; ;132;10;12;3; ;84;30%;1;0;SUMN FC;
W;Omen; ;166;15;14;8; ;106;30%;4;2;SUMN FC;
L;None;0;0;0;0;0;0;0;0;0;0;SUMN FC;
W;Omen; ;110;9;17;5; ;76;16%;3;3;SUMN FC;
W;Omen; ;196;11;6;2; ;77;29%;2;1;SUMN FC;
W;Omen; ;154;9;8;4; ;93;47%;5;2;SUMN FC;
W;Omen; ;223;15;13;4; ;132;18%;2;0;SUMN FC;
W;Omen; ;123;9;15;7; ;91;24%;0;2;SUMN FC;
W;Omen; ;122;10;15;5; ;83;24%;1;1;SUMN FC;
W;Omen; ;248;20;17;3; ;124;17%;1;4;SUMN FC;
W;Omen; ;286;24;14;6; ;184;26%;5;0;SUMN FC;
W;Viper; ;298;19;5;4; ;203;30%;4;1;SUMN FC;
W;Omen; ;159;12;9;5; ;97;29%;2;1;SUMN FC;
L;Omen; ;192;11;13;4; ;172;27%;2;1;SUMN FC;
W;Omen; ;255;19;11;4; ;155;20%;5;1;SUMN FC;
W;Viper; ;281;21;9;2; ;179;24%;2;1;SUMN FC;
L;Omen; ;67;2;14;3; ;39;50%;0;1;SUMN FC;
W;Viper; ;167;12;12;5; ;100;31%;1;2;SUMN FC;
L;Omen; ;69;5;16;2; ;46;38%;0;4;SUMN FC;
L;Viper; ;160;15;16;4; ;101;27%;1;3;SUMN FC;
W;Omen; ;312;24;8;4; ;209;26%;5;2;SUMN FC;
W;Omen; ;187;10;10;10; ;110;15%;1;1;SUMN FC;
W;Viper; ;212;16;11;4; ;134;31%;1;1;SUMN FC;
L;Viper; ;103;7;14;3; ;64;39%;1;0;SUMN FC;
W;Omen; ;214;20;15;4; ;163;22%;4;1;SUMN FC;
L;Omen; ;227;17;17;6; ;133;23%;1;3;SUMN FC;
L;Omen; ;150;9;16;6; ;89;26%;1;1;SUMN FC;
