map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Raze; ;211;13;22;8; ; ; ;4; ;FishkaVTom;
W;Raze; ;343;28;21;6; ; ; ;7; ;FishkaVTom;
L;Raze; ;149;10;15;4; ; ; ;1; ;FishkaVTom;
W;Raze; ;226;16;16;10; ; ; ;3; ;FishkaVTom;
L;Reyna; ;219;17;16;10; ; ; ;1; ;FishkaVTom;
W;Raze; ;167;10;14;4; ; ; ;2; ;FishkaVTom;
L;Raze; ;166;12;14;7; ; ; ;3; ;FishkaVTom;
W;Brimstone; ;276;18;9;3; ; ; ;2; ;FishkaVTom;
W;Brimstone; ;159;13;15;4; ; ; ;0; ;FishkaVTom;
L;Brimstone; ;158;11;18;7; ; ; ;1; ;FishkaVTom;
W;Omen; ;258;19;14;6; ; ; ;3; ;FishkaVTom;
L;Omen; ;203;17;19;7; ; ; ;4; ;FishkaVTom;
W;Omen; ;241;22;14;3; ; ; ;7; ;FishkaVTom;
L;Brimstone; ;143;10;15;5; ; ; ;2; ;FishkaVTom;
W;Brimstone; ;224;15;9;5; ; ; ;1; ;FishkaVTom;
W;Brimstone; ;151;11;14;8; ; ; ;2; ;FishkaVTom;
W;Omen; ;157;10;8;6; ; ; ;2; ;FishkaVTom;
W;Omen; ;291;28;17;7; ;170;34%;7;1;FishkaVTom;
L;Omen; ;96;5;18;3; ;69;22%;0;3;FishkaVTom;
W;Omen; ;257;17;11;3; ;148;26%;1;0;FishkaVTom;
W;Omen; ;146;12;18;4; ;96;18%;0;0;FishkaVTom;
W;Omen; ;256;21;15;7; ;145;37%;3;2;FishkaVTom;
W;Raze; ;198;12;15;8; ;117;9%;1;2;FishkaVTom;
L;Raze; ;162;7;14;1; ;95;9%;1;6;FishkaVTom;
L;Raze; ;233;18;17;4; ;141;11%;5;4;FishkaVTom;
W;Omen; ;250;26;19;8; ;153;31%;5;2;FishkaVTom;
L;Omen; ;180;12;16;6; ;111;26%;2;0;FishkaVTom;
W;Omen; ;297;22;11;1; ;195;26%;3;0;FishkaVTom;
L;Omen; ;252;22;17;5; ;157;39%;2;5;FishkaVTom;
W;Omen; ;171;14;13;3; ;117;21%;1;3;FishkaVTom;
W;Omen; ;205;13;14;8; ;127;32%;2;3;FishkaVTom;
W;Omen; ;279;19;11;3; ;174;25%;4;4;FishkaVTom;
L;Omen; ;262;18;17;6; ;167;27%;2;4;FishkaVTom;
L;Omen; ;169;10;14;3; ;115;27%;0;2;FishkaVTom;
W;Omen; ;298;21;11;5; ;170;29%;3;1;FishkaVTom;
