map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;178;14;22;2; ;110;8%;3;4;BlackBird Ignis;
W;Jett; ;195;18;15;1; ;128;31%;5;4;BlackBird Ignis;
L;Jett; ;129;6;15;3; ;83;11%;2;3;BlackBird Ignis;
W;Reyna; ;295;16;10;7; ;164;14%;7;2;BlackBird Ignis;
L;Raze; ;271;19;15;4; ;163;11%;6;4;BlackBird Ignis;
W;Reyna; ;277;20;10;1; ;146;22%;6;0;BlackBird Ignis;
W;Reyna; ;162;12;14;9; ;115;41%;0;6;BlackBird Ignis;
W;Jett; ;186;15;12;1; ;104;14%;5;1;BlackBird Ignis;
W;Jett; ;233;20;16;2; ;143;30%;5;0;BlackBird Ignis;
L;Jett; ;165;10;16;2; ;105;7%;3;4;BlackBird Ignis;
L;Raze; ;164;10;16;2; ;109;14%;1;2;BlackBird Ignis;
L;Jett; ;163;16;18;3; ;84;26%;4;3;BlackBird Ignis;
L;Jett; ;151;8;15;1; ;103;17%;3;4;BlackBird Ignis;
W;Jett; ;331;18;9;3; ;185;22%;6;0;BlackBird Ignis;
L;Jett; ;259;18;16;1; ;154;36%;6;4;BlackBird Ignis;
W;Jett; ;216;20;19;3; ;122;20%;3;9;BlackBird Ignis;
W;Jett; ;239;14;13;3; ;132;14%;8;2;BlackBird Ignis;
L;Jett; ;171;16;18;3; ;96;21%;4;5;BlackBird Ignis;
W;Jett; ;351;24;12;2; ;181;17%;6;2;BlackBird Ignis;
L;Jett; ;117;7;14;0; ;64;27%;1;4;BlackBird Ignis;
W;Jett; ;252;22;16;6; ;149;12%;5;2;BlackBird Ignis;
L;Jett; ;135;7;17;4; ;94;26%;0;4;BlackBird Ignis;
W;Jett; ;195;14;19;5; ;128;12%;6;7;BlackBird Ignis;
W;Jett; ;237;18;14;4; ;135;25%;6;2;BlackBird Ignis;
L;Jett; ;167;9;15;0; ;122;44%;0;8;BlackBird Ignis;
L;Jett; ;145;10;18;4; ;99;21%;3;8;BlackBird Ignis;
W;Jett; ;266;19;12;3; ;125;19%;5;3;BlackBird Ignis;
W;Jett; ;150;10;14;6; ;99;18%;1;3;BlackBird Ignis;
L;Jett; ;188;10;15;6; ;121;20%;4;2;BlackBird Ignis;
L;Jett; ;146;12;20;4; ;85;17%;2;7;BlackBird Ignis;
W;Jett; ;240;16;13;4; ;123;32%;2;2;BlackBird Ignis;
W;Jett; ;298;21;12;3; ;163;18%;6;5;BlackBird Ignis;
W;Jett; ;225;22;18;3; ;142;24%;6;4;BlackBird Ignis;
W;Jett; ;276;25;18;1; ;168;28%;3;3;BlackBird Ignis;
W;Jett; ;169;15;21;2; ;94;14%;4;5;BlackBird Ignis;
W;Jett; ;177;20;20;2; ;96;14%;4;7;BlackBird Ignis;
W;Jett; ;206;16;16;7; ;131;8%;2;4;BlackBird Ignis;
L;Jett; ;97;4;14;1; ;74;28%;1;6;BlackBird Ignis;
L;Jett; ;194;9;14;3; ;106;22%;4;2;BlackBird Ignis;
L;Jett; ;165;14;22;5; ;99;19%;5;5;BlackBird Ignis;
W;Jett; ;252;17;10;1; ;166;18%;7;3;BlackBird Ignis;
L;Jett; ;110;6;14;1; ;65;20%;0;3;BlackBird Ignis;
L;Jett; ;200;9;13;4; ;130;27%;4;3;BlackBird Ignis;
L;Jett; ;137;7;16;4; ;90;15%;3;4;BlackBird Ignis;
L;Sage; ;124;9;16;3; ;70;15%;2;6;BlackBird Ignis;
L;Jett; ;161;11;20;5; ;102;21%;4;5;BlackBird Ignis;
W;Jett; ;193;16;15;2; ;115;15%;7;2;BlackBird Ignis;
W;Jett; ;219;10;9;3; ;118;18%;4;0;BlackBird Ignis;
L;Raze; ;101;5;15;1; ;63;4%;3;7;BlackBird Ignis;
L;Jett; ;204;10;15;1; ;118;17%;3;5;BlackBird Ignis;
W;Jett; ;203;14;18;6; ;127;24%;1;2;BlackBird Ignis;
L;Raze; ;176;13;16;6; ;120;16%;3;4;BlackBird Ignis;
L;Raze; ;96;4;15;4; ;131;11%;2;7;BlackBird Ignis;
W;Jett; ;171;13;15;4; ;101;13%;2;3;BlackBird Ignis;
L;Jett; ;145;12;17;2; ;94;14%;3;3;BlackBird Ignis;
L;Raze; ;205;10;15;5; ;119;19%;3;2;BlackBird Ignis;
W;Jett; ;172;18;26;7; ;112;16%;2;7;BlackBird Ignis;
L;Jett; ;252;17;17;5; ;160;20%;4;2;BlackBird Ignis;
L;Jett;0.63;128;8;19;9;68%;74;17%;4;2;BlackBird Ignis;
W;Omen;0.77;129;10;14;4;65%;74;29%;0;0;BlackBird Ignis;
