map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;94;5;15;2; ;60;13%;1;3;Nebula;
W;Jett; ;299;21;13;4; ;196;18%;3;5;Nebula;
L;Jett; ;288;17;13;2; ;183;29%;2;3;Nebula;
W;Jett; ;157;14;12;1; ;89;42%;1;4;Nebula;
L;Jett; ;124;6;13;0; ;76;23%;2;5;Nebula;
L;Jett; ;223;10;12;3; ;198;25%;0;2;Nebula;
W;Jett; ;147;13;16;3; ;97;27%;4;6;Nebula;
W;Phoenix; ;329;24;12;5; ;220;26%;6;2;Nebula;
L;Jett; ;194;17;22;1; ;118;22%;5;8;Nebula;
W;Phoenix; ;309;26;15;6; ;182;31%;6;5;Nebula;
L;Phoenix; ;263;18;15;3; ;168;16%;5;3;Nebula;
L;Jett; ;234;18;15;1; ;125;23%;3;1;Nebula;
L;Jett; ;221;14;17;6; ;145;30%;4;2;Nebula;
W;Jett; ;166;15;19;2; ;82;15%;3;7;Straight Outta The Zoo;
L;Jett; ;257;22;20;5; ;159;21%;6;5;Straight Outta The Zoo;
W;Jett; ;305;22;21;9; ;188;19%;4;5;Straight Outta The Zoo;
L;Jett; ;295;20;15;3; ;183;14%;5;2;Straight Outta The Zoo;
W;Jett; ;349;30;20;7; ;207;22%;8;6;Straight Outta The Zoo;
W;Jett; ;289;18;13;3; ;176;19%;5;3;Straight Outta The Zoo;
W;Jett; ;224;17;16;5; ;128;23%;5;2;Straight Outta The Zoo;
L;Jett; ;201;8;14;3; ;96;14%;3;1;Straight Outta The Zoo;
L;Jett; ;219;9;13;0; ;123;31%;0;1;Straight Outta The Zoo;
L;Jett; ;181;14;20;5; ;108;16%;3;7;Straight Outta The Zoo;
W;Jett; ;249;13;9;3; ;141;23%;7;2;Straight Outta The Zoo;
L;Jett; ;185;15;17;4; ;123;29%;2;7;Straight Outta The Zoo;
W;None;0;0;0;0;0;0;0;0;0;0;Straight Outta The Zoo;
L;None;0;0;0;0;0;0;0;0;0;0;Straight Outta The Zoo;
W;Jett; ;375;21;12;3; ;233;24%;6;2;Straight Outta The Zoo;
W;Phoenix; ;246;14;8;5; ;131;20%;3;0;Straight Outta The Zoo;
W;Jett; ;327;29;20;6; ;179;28%;10;2;Straight Outta The Zoo;
W;Jett; ;295;20;16;4; ;173;27%;8;3;Straight Outta The Zoo;
L;Jett; ;209;12;18;2; ;129;24%;4;4;Straight Outta The Zoo;
W;Jett; ;170;13;16;2; ;92;4%;4;3;Straight Outta The Zoo;
L;Jett; ;160;12;18;1; ;103;24%;1;4;Straight Outta The Zoo;
W;Jett; ;299;21;14;0; ;176;30%;6;3;Straight Outta The Zoo;
L;Jett; ;164;11;16;2; ;113;10%;4;6;Straight Outta The Zoo;
L;Jett; ;163;11;17;2; ;102;25%;2;6;Straight Outta The Zoo;
W;Jett; ;209;19;23;3; ;147;17%;3;5;Straight Outta The Zoo;
W;Jett; ;270;23;19;3; ;138;14%;6;4;Straight Outta The Zoo;
W;Jett;1.20;294;22;17;6;77%;174;22%;4;3;Straight Outta The Zoo;
L;Jett;0.56;153;13;23;5;57%;100;22%;1;6;Straight Outta The Zoo;
L;Phoenix;0.72;191;11;16;6;56%;121;25%;1;5;Straight Outta The Zoo;
L;Phoenix;0.21;81;2;15;3;33%;61;19%;0;3;Straight Outta The Zoo;
L;Jett;0.94;268;17;16;5;63%;167;37%;1;5;Straight Outta The Zoo;
L;Jett;0.23;107;5;20;7;65%;77;6%;1;11;Straight Outta The Zoo;
W;Jett;1.06;273;13;14;7;75%;170;19%;3;4;Straight Outta The Zoo;
L;Jett;0.85;282;19;19;5;70%;164;25%;4;4;Straight Outta The Zoo;
L;Jett;0.41;140;8;17;4;50%;97;33%;1;5;Straight Outta The Zoo;
L;Jett;0.85;248;14;16;4;71%;149;35%;6;4;Straight Outta The Zoo;
W;Jett;1.49;313;18;9;7;89%;178;19%;3;1;Straight Outta The Zoo;
W;Phoenix;1.39;266;15;10;8;76%;157;19%;3;1;Straight Outta The Zoo;
L;Jett;0.40;100;5;19;5;48%;68;15%;3;5;Straight Outta The Zoo;
W;Jett;1.02;285;30;25;3;77%;159;28%;6;5;Straight Outta The Zoo;
W;Jett;1.24;295;27;20;3;73%;175;23%;8;3;Straight Outta The Zoo;
W;None;0;0;0;0;0;0;0;0;0;0;Straight Outta The Zoo;
L;Jett;0.91;207;15;17;5;62%;135;25%;2;3;Straight Outta The Zoo;
L;Jett;0.83;238;15;19;5;62%;148;23%;6;7;Straight Outta The Zoo;
L;Jett;0.68;150;9;13;1;44%;108;33%;1;4;Straight Outta The Zoo;
