map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
L;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Omen; ; ;8;13;2; ; ; ; ; ;Gamelanders Blue;
W;Brimstone; ; ;11;11;5; ; ; ; ; ;Gamelanders Blue;
W;Brimstone; ;83;6;8;4; ; ; ;0; ;Gamelanders Blue;
W;Sage; ;129;8;11;10; ; ; ;1; ;Gamelanders Blue;
W;Sage; ;211;18;16;7; ; ; ;1; ;Gamelanders Blue;
W;Omen; ;124;9;10;4; ; ; ;0; ;Gamelanders Blue;
W;Sage; ;129;9;10;9; ; ; ;1; ;Gamelanders Blue;
W;Sage; ;146;11;8;9; ;79;23%;1;3;Gamelanders Blue;
W;Sage; ;152;12;9;4; ;82;14%;3;3;Gamelanders Blue;
L;Omen; ;142;22;27;11; ;94;23%;3;3;Gamelanders Blue;
L;Omen; ;151;18;21;9; ;95;16%;1;3;Gamelanders Blue;
W;Omen; ;203;17;19;5; ;124;30%;3;0;Gamelanders Blue;
W;Omen; ;163;16;20;8; ;108;36%;1;1;Gamelanders Blue;
W;Omen; ;119;10;17;4; ;81;13%;0;0;Gamelanders Blue;
W;Sage; ;115;11;15;9; ;71;10%;2;0;Gamelanders Blue;
L;Omen; ;96;9;17;9; ;67;21%;1;1;Gamelanders Blue;
W;Omen; ;212;16;10;10; ;167;28%;1;1;Gamelanders Blue;
W;Sage; ;177;14;13;12; ;112;18%;1;1;Gamelanders Blue;
W;Omen; ;103;7;13;8; ;65;11%;0;1;Gamelanders Blue;
W;Omen; ;108;8;11;8; ;62;12%;0;2;Gamelanders Blue;
L;Omen; ;138;10;12;1; ;91;40%;2;2;Gamelanders Blue;
L;Omen; ;114;7;14;4; ;76;24%;1;3;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Omen; ;166;15;13;8; ;99;34%;0;0;Gamelanders Blue;
W;Omen; ;137;11;10;6; ;84;17%;0;2;Gamelanders Blue;
W;Sage; ;243;20;13;5; ;145;14%;3;0;Gamelanders Blue;
W;Omen; ;105;8;19;9; ;64;27%;1;5;Gamelanders Blue;
W;Omen; ;189;18;12;9; ;126;21%;1;1;Gamelanders Blue;
L;Omen; ;34;3;13;1; ;16;14%;1;2;Gamelanders Blue;
W;Omen; ;148;11;10;6; ;64;9%;2;2;Gamelanders Blue;
W;Omen; ;160;10;6;2; ;102;40%;1;1;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Omen; ;104;7;14;8; ;70;15%;1;0;Gamelanders Blue;
