map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
L;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
L;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;Sova; ;175;11;19;9; ;130;27%;0;1;INFINITY;
W;Sova; ;277;18;15;10; ;182;27%;3;2;INFINITY;
W;Omen; ;232;16;11;4; ;147;23%;2;0;INFINITY;
W;Sova; ;205;18;17;10; ;141;21%;1;2;INFINITY;
W;Sova; ;155;9;8;8; ;83;14%;2;2;INFINITY;
L;Sova; ;257;23;18;4; ;180;23%;5;1;INFINITY;
W;Sova; ;233;14;13;12; ;158;10%;2;1;INFINITY;
L;Sova; ;189;9;14;1; ;111;14%;0;2;INFINITY;
W;Omen; ;218;16;11;2; ;143;33%;3;1;INFINITY;
L;Sova; ;147;7;16;6; ;81;19%;1;0;INFINITY;
W;Omen; ;243;14;8;3; ;173;24%;1;2;INFINITY;
W;Sova; ;216;18;16;5; ;123;18%;1;2;INFINITY;
W;Sova; ;198;14;9;5; ;128;48%;1;1;INFINITY;
W;Sova; ;283;17;11;10; ;170;17%;0;2;INFINITY;
L;Sova; ;206;16;18;5; ;145;33%;2;2;INFINITY;
L;Omen; ;168;12;19;6; ;104;13%;2;3;INFINITY;
W;Sova; ;152;10;12;6; ;105;26%;1;1;INFINITY;
W;Sova; ;265;14;5;5; ;165;20%;2;0;INFINITY;
W;Sova; ;229;14;13;9; ;159;33%;2;2;INFINITY;
L;Omen; ;145;8;17;8; ;105;20%;2;4;INFINITY;
W;Sova; ;245;13;6;7; ;126;13%;2;1;INFINITY;
W;Omen; ;201;15;14;3; ;114;41%;1;1;INFINITY;
