map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Reyna; ;147;12;17;5; ;82;26%;0;3;Kingsmen;
L;Breach; ;176;12;16;9; ;114;33%;1;0;Kingsmen;
L;Breach; ;89;5;14;3; ;63;31%;0;2;Kingsmen;
L;Breach; ;167;11;18;9; ;87;32%;0;2;Kingsmen;
W;Breach; ;199;16;12;8; ;159;20%;0;2;Kingsmen;
W;Reyna; ;239;17;12;8; ;155;27%;5;0;Kingsmen;
L;Breach; ;146;11;17;9; ;85;34%;0;1;Kingsmen;
L;Breach; ;296;22;16;9; ;160;19%;1;0;Kingsmen;
L;Breach; ;147;11;17;4; ;105;32%;2;1;Kingsmen;
L;Breach; ;161;9;15;3; ;88;25%;0;2;Kingsmen;
L;Phoenix; ;144;10;17;6; ;94;24%;2;5;Kingsmen;
W;Breach; ;228;21;17;9; ;150;28%;0;3;Kingsmen;
L;Breach; ;125;9;17;2; ;86;22%;3;4;Kingsmen;
L;Breach; ;166;7;12;1; ;103;33%;0;1;Kingsmen;
W;Sova; ;179;14;17;6; ;122;27%;4;4;Kingsmen;
W;Sova; ;223;16;7;9; ;140;28%;2;1;Kingsmen;
W;Sova; ;211;12;8;11; ;136;17%;0;0;Kingsmen;
W;Breach; ;283;22;17;9; ;172;23%;3;1;Kingsmen;
W;Breach; ;141;6;9;14; ;81;13%;1;3;Kingsmen;
W;Sova; ;161;8;4;5; ;111;19%;2;0;Kingsmen;
L;Breach; ;189;16;16;10; ;117;28%;1;3;Kingsmen;
W;Sova; ;210;15;7;2; ;106;37%;3;1;Kingsmen;
W;Sova; ;341;24;9;11; ;213;32%;1;0;Kingsmen;
L;Sova; ;217;13;17;6; ;151;41%;1;2;Kingsmen;
W;Sova; ;316;19;8;4; ;180;27%;2;0;Kingsmen;
L;Breach; ;114;9;21;13; ;79;25%;0;3;Kingsmen;
W;Sova; ;208;14;13;6; ;133;50%;2;0;Kingsmen;
W;Raze; ;272;21;19;5; ;145;22%;4;3;Kingsmen;
W;Sova; ;285;16;4;2; ;164;56%;2;0;Kingsmen;
W;Sova; ;269;23;17;7; ;158;41%;1;0;Kingsmen;
L;Sova; ;207;13;14;5; ;133;37%;0;2;Kingsmen;
L;Breach; ;224;19;14;10; ;144;41%;0;3;Kingsmen;
L;Breach; ;98;6;18;11; ;51;21%;0;4;Kingsmen;
W;Sova; ;299;21;7;3; ;187;21%;2;1;Kingsmen;
W;Sova; ;148;12;15;11; ;106;18%;1;0;Kingsmen;
W;Sova; ;220;19;13;6; ;137;38%;2;1;Kingsmen;
W;Sova; ;153;14;14;4; ;95;24%;1;0;Kingsmen;
L;Sova; ;200;18;21;4; ;121;24%;1;0;Kingsmen;
L;Sova; ;176;11;15;3; ;102;31%;0;2;Kingsmen;
L;Sova; ;143;7;15;1; ;91;29%;0;1;Kingsmen;
