map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Jett; ;168;12;11;4; ;85;28%;1;2;Reality Rift;
L;Jett; ;219;21;19;1; ;135;35%;3;2;Reality Rift;
W;Jett; ;319;19;9;4; ;171;29%;1;0;Reality Rift;
W;Jett; ;247;15;13;6; ;149;26%;3;1;Reality Rift;
W;Jett; ;232;18;13;5; ;136;26%;1;5;Reality Rift;
W;Jett; ;293;17;9;3; ;153;20%;2;0;Reality Rift;
L;Jett; ;213;17;15;2; ;107;21%;3;2;Reality Rift;
L;Jett; ;257;23;18;5; ;168;30%;4;2;Reality Rift;
L;Jett; ;132;15;23;3; ;85;16%;3;10;Reality Rift;
W;Jett; ;273;20;13;3; ;147;23%;5;3;Reality Rift;
L;Jett; ;282;19;16;2; ;156;17%;3;3;Reality Rift;
W;Jett; ;391;24;3;3; ;284;34%;6;0;Reality Rift;
W;Jett; ;213;14;7;2; ;149;43%;3;4;Reality Rift;
W;Jett; ;425;24;11;4; ;256;36%;5;1;Reality Rift;
W;Jett; ;159;13;14;4; ;101;33%;4;3;Reality Rift;
W;Jett; ;210;14;12;3; ;151;27%;2;0;Reality Rift;
L;Jett; ;253;20;14;4; ;148;16%;3;4;Reality Rift;
W;Jett; ;290;20;15;10; ;164;27%;4;2;Reality Rift;
W;Sova; ;128;9;9;8; ;75;23%;1;2;Reality Rift;
W;Jett; ;253;21;10;1; ;152;29%;3;2;Reality Rift;
L;Jett; ;155;10;14;1; ;83;15%;2;3;Reality Rift;
W;Jett; ;229;22;16;4; ;176;19%;2;5;Reality Rift;
W;Jett; ;247;18;22;7; ;159;13%;4;0;Reality Rift;
L;Jett; ;258;16;18;3; ;174;28%;4;2;Reality Rift;
L;Jett; ;237;16;16;3; ;157;33%;6;2;Reality Rift;
L;Jett; ;245;23;23;4; ;133;22%;7;2;Reality Rift;
L;Jett; ;123;8;14;3; ;81;38%;0;4;Reality Rift;
W;Sova;1.09;168;12;12;12;90%;125;22%;1;2;Reality Rift;
L;Sova;0.55;142;8;16;6;67%;79;25%;1;2;Reality Rift;
W;Sova;1.24;233;16;14;15;71%;170;38%;3;1;Reality Rift;
W;Jett; ;363;27;15;3; ;209;25%;7;2;Reality Rift;
