map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Breach; ;193;17;15;10; ; ; ;4; ;FABRIKEN;
W;None;0;0;0;0;0;0;0;0;0;0;FABRIKEN;
W;None;0;0;0;0;0;0;0;0;0;0;FABRIKEN;
W;None;0;0;0;0;0;0;0;0;0;0;FABRIKEN;
W;None;0;0;0;0;0;0;0;0;0;0;FABRIKEN;
L;Breach; ;178;13;15;5; ; ; ;0; ;FABRIKEN;
L;Breach; ;197;14;16;4; ; ; ;3; ;FABRIKEN;
W;Breach; ;179;15;8;7; ; ; ;2; ;FABRIKEN;
W;Sova; ;303;16;7;4; ; ; ;6; ;FABRIKEN;
L;Sova; ;151;11;13;9; ; ; ;3; ;FABRIKEN;
W;Sova; ;320;26;10;4; ; ; ;3; ;FABRIKEN;
L;Sova; ;198;19;18;5; ; ; ;1; ;FABRIKEN;
W;Sova; ;315;30;12;9; ; ; ;4; ;FABRIKEN;
L;Sova; ;195;13;14;5; ; ; ;1; ;FABRIKEN;
W;Sage; ;165;12;12;9; ; ; ;1; ;FABRIKEN;
L;Sage; ;176;14;14;4; ; ; ;2; ;FABRIKEN;
L;Sage; ;186;17;16;6; ; ; ;1; ;FABRIKEN;
W;Sage; ;145;13;13;7; ; ; ;2; ;FABRIKEN;
W;Sage; ;231;19;15;7; ; ; ;3; ;FABRIKEN;
W;Sage; ;265;21;13;5; ; ; ;6; ;FABRIKEN;
L;Sage; ;201;17;14;2; ; ; ;3; ;FABRIKEN;
L;Sage; ;84;6;16;5; ; ; ;0; ;FABRIKEN;
W;Breach; ;192;15;10;7; ; ; ;0; ;FABRIKEN;
W;Breach; ;232;18;15;9; ; ; ;5; ;FABRIKEN;
W;Breach; ;324;19;9;4; ; ; ;7; ;FABRIKEN;
W;Sage; ;245;20;10;5; ; ; ;4; ;FABRIKEN;
L;Breach; ;153;14;19;7; ; ; ;0; ;FABRIKEN;
W;Breach; ;198;11;8;7; ; ; ;4; ;FABRIKEN;
W;Breach; ;289;18;6;4; ; ; ;1; ;FABRIKEN;
W;Breach; ;236;15;6;5; ; ; ;1; ;FABRIKEN;
W;Breach; ;198;17;11;8; ; ; ;1; ;FABRIKEN;
L;Breach; ;217;20;15;11; ; ; ;3; ;FABRIKEN;
L;Sage; ;189;13;17;5; ; ; ;2; ;FABRIKEN;
W;None;0;0;0;0;0;0;0;0;0;0;Simplicity Gaming;
L;Sage; ;108;6;14;1; ; ; ;0; ;Simplicity Gaming;
L;Jett; ;144;13;19;1; ; ; ;2; ;Simplicity Gaming;
L;Jett; ;129;10;13;2; ; ; ;0; ;Simplicity Gaming;
L;Phoenix; ;276;22;15;3; ; ; ;2; ;Simplicity Gaming;
W;Breach; ;175;12;12;12; ; ; ;2; ;FABRIKEN;
W;Breach; ;274;19;9;9; ; ; ;3; ;FABRIKEN;
L;Breach; ;195;15;15;6; ; ; ;2; ;FABRIKEN;
W;Breach; ;135;9;10;4; ; ; ;0; ;FABRIKEN;
W;Breach; ;282;21;14;12; ; ; ;2; ;FABRIKEN;
L;Breach; ;157;14;18;6; ; ; ;3; ;FABRIKEN;
W;Breach; ;248;17;7;4; ; ; ;4; ;FABRIKEN;
W;Breach; ;183;13;12;6; ; ; ;3; ;FABRIKEN;
W;Breach; ;225;18;11;5; ; ; ;0; ;FABRIKEN;
W;Breach; ;215;16;13;9; ; ; ;2; ;FABRIKEN;
W;Breach; ;204;17;11;7; ; ; ;2; ;FABRIKEN;
L;Breach; ;100;5;17;7; ; ; ;1; ;FABRIKEN;
L;Breach; ;221;15;15;5; ; ; ;3; ;FABRIKEN;
W;Breach; ;197;17;11;6; ; ; ;2; ;FABRIKEN;
L;Breach; ;107;6;15;3; ; ; ;0; ;FABRIKEN;
L;Breach; ;60;3;15;3; ; ; ;1; ;FABRIKEN;
W;Breach; ;259;18;8;8; ; ; ;6; ;FABRIKEN;
W;Breach; ;235;17;9;7; ; ; ;1; ;FABRIKEN;
W;Breach; ;296;28;15;10; ; ; ;3; ;FABRIKEN;
W;Breach; ;160;15;14;12; ; ; ;3; ;FABRIKEN;
L;Breach; ;157;9;17;7; ; ; ;3; ;FABRIKEN;
L;Breach; ;163;9;14;8; ; ; ;2; ;FABRIKEN;
L;Breach; ;198;17;20;6; ; ; ;3; ;FABRIKEN;
W;Breach; ;253;19;13;7; ; ; ;3; ;FABRIKEN;
W;Breach; ;249;25;17;12; ; ; ;2; ;FABRIKEN;
W;Breach; ;111;9;10;7; ; ; ;1; ;FABRIKEN;
L;Breach; ;297;25;15;10; ; ; ;5; ;FABRIKEN;
L;Breach; ;227;23;16;4; ; ; ;2; ;FABRIKEN;
W;Sage; ;265;20;14;6; ; ; ;5; ;FABRIKEN;
W;Breach; ;179;12;5;3; ;96;22%;1;1;ZyppanGoKill;
L;Breach; ;168;16;23;8; ;90;9%;1;1;ZyppanGoKill;
W;Breach; ;159;13;18;5; ;105;27%;1;0;ZyppanGoKill;
L;Breach; ;178;14;16;9; ;124;25%;2;2;FunPlus Phoenix;
W;Breach; ;171;17;18;12; ;105;21%;4;1;FunPlus Phoenix;
W;Breach; ;104;9;14;8; ;65;22%;0;1;FunPlus Phoenix;
W;Sage; ;228;19;14;2; ;130;31%;5;1;FunPlus Phoenix;
L;Breach; ;155;10;16;7; ;90;31%;0;2;FunPlus Phoenix;
W;Sage; ;144;10;4;4; ;78;38%;0;0;FunPlus Phoenix;
W;Breach; ;152;13;13;6; ;97;27%;0;2;FunPlus Phoenix;
W;Breach; ;243;15;6;3; ;141;16%;1;0;FunPlus Phoenix;
L;Sage; ;184;17;13;3; ;156;15%;1;2;FunPlus Phoenix;
