map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Omen; ;127;13;20;7; ;91;26%;0;1;Crew Esports;
W;Raze; ;175;14;15;6; ;113;16%;4;3;Crew Esports;
L;Omen; ;244;19;15;4; ;198;27%;1;4;Crew Esports;
L;Raze; ;223;13;19;8; ;149;8%;2;1;Crew Esports;
L;Raze; ;189;15;20;4; ;164;17%;1;1;Crew Esports;
L;Raze; ;269;19;18;3; ;165;20%;3;0;Crew Esports;
L;Raze; ;108;5;15;4; ;73;15%;0;3;Crew Esports;
L;Raze; ;199;12;16;6; ;124;12%;4;2;Crew Esports;
L;Raze; ;201;14;17;3; ;120;15%;1;2;PARA LAZIM;
L;Raze; ;290;21;16;3; ;175;14%;3;1;CANAVARLAR;
W;Raze; ;278;22;14;8; ;183;12%;2;1;CANAVARLAR;
L;Raze; ;192;10;15;6; ;112;9%;2;4;CANAVARLAR;
