map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
W;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
W;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
W;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;Sage; ;172;11;15;4; ; ; ;0; ;Team ANGE1;
L;Sage; ;106;8;18;4; ; ; ;1; ;Team ANGE1;
L;Sage; ;166;13;17;7; ; ; ;0; ;Team ANGE1;
W;Sage; ;156;12;15;12; ; ; ;2; ;Team ANGE1;
W;Sage; ;186;10;16;10; ; ; ;1; ;Team ANGE1;
L;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
W;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
W;None;0;0;0;0;0;0;0;0;0;0;SuperStars;
L;Sage; ;177;10;15;9; ; ; ;1; ;Team ANGE1;
W;Sage; ;310;30;13;5; ; ; ;3; ;Team ANGE1;
W;Sage; ;203;17;13;6; ; ; ;0; ;Team ANGE1;
W;Sage; ;208;15;6;9; ; ; ;1; ;Team ANGE1;
L;Sage; ;173;9;18;10; ; ; ;0; ;Team ANGE1;
W;Sage; ;226;18;10;3; ; ; ;2; ;Team ANGE1;
L;Sage; ;162;9;15;6; ; ; ;0; ;Team ANGE1;
W;Sage; ;153;10;17;7; ; ; ;2; ;Team ANGE1;
W;Sage; ;172;14;10;3; ; ; ;1; ;SuperStars;
W;Sage; ;267;14;9;7; ; ; ;2; ;SuperStars;
L;Sage; ;178;14;15;9; ; ; ;1; ;SuperStars;
L;Sage; ;111;6;17;10; ; ; ;1; ;SuperStars;
L;Sage; ;191;14;18;6; ;111;15%;0;0;ex-Giants Gaming;
L;Sage; ;162;12;18;2; ;96;23%;2;2;ex-Giants Gaming;
W;Sage; ;247;21;17;4; ;168;18%;1;1;ex-Giants Gaming;
L;Sage; ;178;10;15;3; ;115;26%;3;2;ex-Giants Gaming;
L;Sage; ;175;7;13;2; ;96;21%;0;0;ex-Giants Gaming;
W;Sage; ;194;18;8;3; ;130;15%;1;1;ex-Giants Gaming;
L;Sage; ;135;6;13;1; ;67;18%;0;1;ex-Giants Gaming;
W;Sage; ;213;18;13;5; ;115;27%;1;0;ex-Giants Gaming;
L;Sage; ;183;21;24;7; ;110;10%;1;2;ex-Giants Gaming;
L;Sage; ;172;17;23;8; ;139;12%;2;6;ex-Giants Gaming;
L;Sage; ;194;13;18;7; ;106;16%;0;1;ex-Giants Gaming;
L;Sage; ;237;20;17;9; ;130;21%;4;1;ex-Giants Gaming;
L;Killjoy; ;237;18;14;5; ;147;8%;1;0;ex-Giants Gaming;
W;Killjoy; ;141;8;14;6; ;95;7%;1;0;ex-Giants Gaming;
L;Sage; ;197;12;14;2; ;113;13%;3;2;ex-Giants Gaming;
W;Sage; ;213;13;11;8; ;152;26%;2;1;ex-Giants Gaming;
W;Sage; ;126;8;5;1; ;87;19%;0;1;ex-Giants Gaming;
W;Breach; ;171;12;9;4; ;112;15%;3;0;ex-Giants Gaming;
W;Breach; ;233;16;11;6; ;139;34%;1;1;ex-Giants Gaming;
W;Breach; ;119;8;12;12; ;84;24%;2;2;ex-Giants Gaming;
W;Breach; ;112;8;11;4; ;69;20%;0;0;ex-Giants Gaming;
L;Breach; ;179;11;15;1; ;110;26%;0;1;ex-Giants Gaming;
W;Breach; ;299;18;7;9; ;159;14%;4;0;ex-Giants Gaming;
W;Breach; ;247;26;17;11; ;139;12%;4;1;ex-Giants Gaming;
W;Breach; ;154;13;17;8; ;89;21%;0;2;ex-Giants Gaming;
W;Breach; ;142;10;4;10; ;102;17%;1;1;ex-Giants Gaming;
W;Breach; ;247;18;9;7; ;138;14%;2;3;ex-Giants Gaming;
L;Breach; ;181;15;17;5; ;108;19%;1;2;ex-Giants Gaming;
L;Sage; ;294;27;16;4; ;186;26%;2;3;ex-Giants Gaming;
L;Breach; ;211;9;13;1; ;113;29%;1;1;ex-Giants Gaming;
L;Breach; ;149;10;12;5; ;83;12%;0;0;ex-Giants Gaming;
L;Breach; ;148;16;16;5; ;91;16%;0;3;ex-Giants Gaming;
W;Breach; ;267;19;15;11; ;150;9%;2;0;ex-Giants Gaming;
W;Breach; ;194;18;15;13; ;129;18%;1;1;ex-Giants Gaming;
W;Breach; ;219;18;15;9; ;147;27%;2;3;ex-Giants Gaming;
W;Breach; ;201;15;13;13; ;122;15%;6;2;ex-Giants Gaming;
L;Breach; ;158;13;17;9; ;109;30%;1;1;ex-Giants Gaming;
L;Breach; ;159;13;19;11; ;91;8%;0;4;ex-Giants Gaming;
W;Breach; ;249;22;12;8; ;134;16%;3;1;ex-Giants Gaming;
W;Breach; ;141;10;6;8; ;72;7%;1;1;ex-Giants Gaming;
L;Breach; ;126;12;21;10; ;77;10%;2;2;ex-Giants Gaming;
W;Breach; ;61;3;8;6; ;35;30%;1;2;ex-Giants Gaming;
W;Breach; ;143;12;13;12; ;85;11%;1;0;ex-Giants Gaming;
L;Breach; ;147;9;15;7; ;98;21%;1;4;ex-Giants Gaming;
W;Breach; ;150;11;11;5; ;98;12%;3;0;ex-Giants Gaming;
W;Breach; ;206;16;10;10; ;147;20%;2;2;ex-Giants Gaming;
L;Breach; ;216;18;14;5; ;132;10%;1;2;ex-Giants Gaming;
L;Breach; ;149;8;13;1; ;85;12%;1;1;ex-Giants Gaming;
W;Breach; ;192;17;13;6; ;110;13%;3;2;ex-Giants Gaming;
W;Breach; ;211;21;16;8; ;134;21%;2;0;ex-Giants Gaming;
W;Breach; ;216;15;9;8; ;122;15%;1;2;ex-Giants Gaming;
W;Breach; ;125;7;15;9; ;89;10%;0;2;ex-Giants Gaming;
W;Breach; ;237;14;11;7; ;158;24%;2;0;ex-Giants Gaming;
W;Breach; ;230;13;6;10; ;155;21%;1;0;ex-Giants Gaming;
W;Breach; ;255;17;10;8; ;135;14%;5;1;ex-Giants Gaming;
L;Breach; ;121;8;17;5; ;77;5%;1;2;ex-Giants Gaming;
L;Breach; ;166;13;17;2; ;93;19%;1;3;ex-Giants Gaming;
W;Breach; ;162;11;11;3; ;71;13%;1;0;ex-Giants Gaming;
W;Breach; ;218;16;20;12; ;131;27%;2;2;ex-Giants Gaming;
W;Breach; ;233;17;13;11; ;145;19%;2;1;ex-Giants Gaming;
W;Breach; ;177;13;13;13; ;109;7%;1;1;ex-Giants Gaming;
W;Breach; ;213;13;9;8; ;142;18%;2;1;ex-Giants Gaming;
W;Breach; ;99;8;12;7; ;52;14%;2;1;ex-Giants Gaming;
W;Breach; ;240;15;10;9; ;147;24%;3;1;ex-Giants Gaming;
L;Breach; ;299;23;16;13; ;162;9%;0;1;ex-Giants Gaming;
W;Breach; ;141;7;6;7; ;85;22%;0;4;ex-Giants Gaming;
W;Breach; ;199;13;14;9; ;112;15%;4;3;ex-Giants Gaming;
L;Breach; ;340;26;15;7; ;185;22%;6;0;ex-Giants Gaming;
W;Breach; ;231;20;16;9; ;135;26%;3;3;ex-Giants Gaming;
W;Breach; ;140;11;8;7; ;136;11%;1;0;ex-Giants Gaming;
W;Breach; ;309;22;11;10; ;282;21%;3;1;ex-Giants Gaming;
W;Breach; ;219;16;14;11; ;165;23%;3;1;ex-Giants Gaming;
W;Breach; ;198;14;11;9; ;120;20%;2;1;ex-Giants Gaming;
W;Breach; ;232;18;11;7; ;123;14%;1;3;ex-Giants Gaming;
W;Breach; ;266;17;12;7; ;133;12%;2;4;ex-Giants Gaming;
W;Breach; ;268;21;10;6; ;148;23%;2;0;ex-Giants Gaming;
L;Breach; ;144;11;19;3; ;74;27%;0;2;ex-Giants Gaming;
L;Breach; ;125;8;15;7; ;78;29%;2;2;ex-Giants Gaming;
L;Breach; ;261;22;19;9; ;170;20%;3;2;ex-Giants Gaming;
W;Breach; ;178;11;11;9; ;104;23%;0;0;ex-Giants Gaming;
W;Breach; ;287;22;16;12; ;163;16%;2;1;ex-Giants Gaming;
W;Sage; ;205;17;15;5; ;103;11%;3;3;ex-Giants Gaming;
W;Breach; ;142;12;17;7; ;88;16%;1;0;ex-Giants Gaming;
L;Breach; ;174;12;14;7; ;116;22%;2;2;ex-Giants Gaming;
L;Breach; ;196;14;16;2; ;175;22%;3;1;ex-Giants Gaming;
W;Sage; ;226;12;4;6; ;122;22%;1;0;SuperStars;
L;Breach; ;342;29;16;8; ;191;19%;2;0;SuperStars;
W;Breach; ;239;17;9;15; ;148;29%;1;1;SuperStars;
W;Sage; ;250;14;7;6; ;135;10%;1;2;SuperStars;
W;Breach; ;190;10;12;12; ;158;20%;1;0;SuperStars;
L;Breach; ;288;19;18;14; ;179;16%;4;0;SuperStars;
W;Breach; ;183;13;15;10; ;118;17%;1;1;SuperStars;
L;Breach; ;174;13;12;6; ;96;16%;0;0;SuperStars;
W;Breach; ;324;20;6;3; ;146;24%;4;2;19esports;
W;Breach; ;291;19;8;6; ;141;12%;4;2;19esports;
L;Breach; ;145;10;19;9; ;92;14%;0;1;19esports;
W;Breach; ;237;18;11;11; ;128;14%;2;0;19esports;
L;Breach; ;145;8;12;4; ;64;15%;3;1;19esports;
L;Breach; ;170;12;15;13; ;118;21%;3;2;19esports;
L;Sage; ;184;8;12;2; ;121;15%;0;1;19esports;
W;Sage; ;249;19;9;13; ;178;13%;2;3;19esports;
W;Sage; ;160;9;4;8; ;111;21%;1;1;19esports;
L;Sage;0.87;135;10;17;8;71%;81;15%;1;3;19esports;
L;Sage;0.74;119;9;17;7;70%;84;21%;1;1;19esports;
W;Sage;1.67;298;20;8;7;83%;193;21%;1;0;19esports;
W;Breach;1.54;219;12;4;11;93%;129;15%;0;1;19esports;
W;Sage;1.39;227;18;12;9;86%;134;17%;1;0;19esports;
W;Sage;1.07;225;17;15;8;86%;131;22%;1;3;19esports;
L;Sage;0.95;171;11;14;8;72%;105;16%;1;2;19esports;
L;Sage;0.81;122;10;16;12;73%;66;4%;1;2;19esports;
W;Sage;1.80;347;24;10;2;68%;215;22%;4;0;19esports;
W;Sage; ; ;15;9;5; ; ; ; ; ;19esports;
L;Sage;0.74;250;11;13;4;69%;117;16%;0;2;19esports;
L;Sage;1.07;219;27;23;8;74%;136;17%;1;1;19esports;
W;Kayo;1.49;264;21;13;8;90%;152;18%;1;0;19esports;
W;Skye;0.91;146;10;9;2;81%;87;10%;0;1;19esports;
W;Sage;1.27;279;24;16;5;70%;161;17%;1;1;19esports;
W;None;0;0;0;0;0;0;0;0;0;0;19esports;
W;Kayo;1.08;211;13;11;10;82%;123;15%;0;1;19esports;
W;Kayo;0.93;170;14;19;15;88%;119;20%;1;3;19esports;
L;Kayo;0.76;215;14;18;7;75%;139;14%;3;1;19esports;
W;Kayo;0.96;178;13;16;11;78%;97;14%;4;2;19esports;
W;Kayo;1.08;210;20;14;8;83%;143;14%;1;2;19esports;
L;Sage;1.07;267;25;18;7;77%;169;18%;4;2;19esports;
W;Skye;1.35;269;23;13;6;83%;167;17%;1;0;19esports;
L;Kayo;0.58;157;8;15;4;50%;107;17%;1;2;19esports;
W;Sage;0.81;149;13;16;2;75%;106;27%;2;0;19esports;
L;Kayo;0.76;115;9;18;10;65%;80;17%;3;1;19esports;
L;Skye;0.66;125;8;17;3;50%;79;17%;1;1;19esports;
L;Skye;0.77;168;12;17;11;67%;101;19%;0;1;Morumbi;
L;Sage;1.09;219;18;15;5;71%;141;17%;1;4;Morumbi;
W;Sage;1.15;193;19;15;8;77%;129;15%;4;3;Case Esports;
