map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Seeker Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Seeker Esports;
L;Reyna; ;167;8;13;3; ; ; ;1; ;Seeker Esports;
L;Reyna; ;112;5;13;5; ; ; ;1; ;Seeker Esports;
W;Omen; ;248;19;15;3; ;141;26%;3;3;Destined;
W;Omen; ;251;25;16;1; ;143;34%;1;2;Destined;
L;Omen; ;147;11;20;3; ;86;15%;3;2;Destined;
W;Omen; ;133;9;9;7; ;86;18%;3;1;Destined;
W;Omen; ;216;15;10;7; ;127;20%;5;2;Destined;
W;Omen; ;233;16;14;6; ;155;29%;2;1;Destined;
L;Omen; ;196;16;16;6; ;110;14%;1;3;Destined;
W;Omen; ;223;17;13;10; ;138;17%;2;1;Destined;
W;Omen; ;204;14;7;7; ;85;16%;2;0;Destined;
L;Omen; ;174;15;19;8; ;120;20%;2;1;Destined;
L;Omen; ;233;19;13;4; ;140;35%;1;2;Destined;
L;Omen; ;154;13;15;7; ;104;31%;0;1;Destined;
W;Omen; ;229;15;11;3; ;128;19%;3;1;Destined;
W;Omen; ;152;10;12;6; ;99;34%;1;2;Destined;
W;Omen; ;186;17;12;2; ;135;26%;0;0;Destined;
L;Omen; ;91;5;16;3; ;56;14%;0;1;Destined;
L;Omen; ;91;5;16;3; ;56;14%;0;1;Destined;
L;Omen; ;164;10;14;3; ;95;19%;0;2;Destined;
L;Omen; ;120;8;17;5; ;84;33%;3;3;Destined;
W;Phoenix; ;164;13;14;4; ;105;21%;2;5;Knights;
W;Jett; ;208;14;12;3; ;119;15%;3;2;Knights;
W;Phoenix; ;206;15;11;6; ;126;27%;1;1;Knights;
W;Jett; ;206;14;10;1; ;116;15%;6;4;Knights;
L;Phoenix; ;181;12;15;3; ;95;12%;1;1;Knights;
L;Jett; ;215;16;15;6; ;143;25%;5;4;Knights;
L;Phoenix; ;132;10;14;3; ;84;19%;2;2;Knights;
L;Phoenix; ;165;11;15;5; ;88;33%;2;4;Knights;
L;Phoenix; ;204;15;14;3; ;141;29%;1;3;Knights;
W;Jett; ;301;16;6;2; ;150;26%;6;0;Knights;
W;Phoenix; ;137;14;26;8; ;80;12%;3;5;Knights;
W;Phoenix; ;180;16;15;3; ;118;24%;0;2;Knights;
W;Phoenix; ;238;16;13;5; ;144;27%;2;0;Knights;
W;Phoenix; ;263;18;11;4; ;172;31%;2;1;Knights;
