map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;L'institut;
W;None;0;0;0;0;0;0;0;0;0;0;L'institut;
W;None;0;0;0;0;0;0;0;0;0;0;L'institut;
W;None;0;0;0;0;0;0;0;0;0;0;L'institut;
L;None;0;0;0;0;0;0;0;0;0;0;L'institut;
L;None;0;0;0;0;0;0;0;0;0;0;L'institut;
L;None;0;0;0;0;0;0;0;0;0;0;L'institut;
L;None;0;0;0;0;0;0;0;0;0;0;L'institut;
W;None;0;0;0;0;0;0;0;0;0;0;StartedFromCS;
L;Cypher; ; ;7;13;3; ; ; ; ; ;StartedFromCS;
L;Cypher; ; ;16;17;6; ; ; ; ; ;StartedFromCS;
W;None;0;0;0;0;0;0;0;0;0;0;StartedFromCS;
W;None;0;0;0;0;0;0;0;0;0;0;StartedFromCS;
W;None;0;0;0;0;0;0;0;0;0;0;Team Mickalow;
L;None;0;0;0;0;0;0;0;0;0;0;Team Mickalow;
W;Cypher; ;188;17;12;3; ; ; ;1; ;StartedFromCS;
W;Cypher; ;106;7;7;4; ; ; ;1; ;StartedFromCS;
W;Cypher; ;125;11;13;5; ; ; ;1; ;StartedFromCS;
W;Cypher; ;242;19;15;6; ; ; ;1; ;StartedFromCS;
W;Cypher; ;193;15;15;10; ; ; ;3; ;StartedFromCS;
L;Cypher; ;186;14;22;8; ; ; ;3; ;StartedFromCS;
W;None;0;0;0;0;0;0;0;0;0;0;StartedFromCS;
W;Cypher; ;204;17;18;6; ; ; ;0; ;StartedFromCS;
L;Cypher; ;145;9;15;2; ; ; ;1; ;StartedFromCS;
W;Omen; ;267;22;17;4; ; ; ;2; ;StartedFromCS;
L;Omen; ;219;20;16;0; ; ; ;4; ;StartedFromCS;
L;Cypher; ;131;12;19;6; ; ; ;0; ;StartedFromCS;
W;Cypher; ;165;12;16;5; ; ; ;2; ;StartedFromCS;
W;Cypher; ;190;12;10;4; ; ; ;2; ;StartedFromCS;
W;Cypher; ;269;20;15;7; ; ; ;1; ;StartedFromCS;
W;Cypher; ;189;15;15;7; ; ; ;2; ;StartedFromCS;
L;Cypher; ;99;5;15;1; ; ; ;0; ;StartedFromCS;
W;Cypher; ;194;16;10;6; ; ; ;0; ;StartedFromCS;
L;Cypher; ;121;9;17;1; ; ; ;1; ;StartedFromCS;
L;Cypher; ;172;13;18;2; ; ; ;1; ;StartedFromCS;
L;Cypher; ;199;16;18;5; ; ; ;2; ;StartedFromCS;
L;Cypher; ;144;8;17;6; ;102;23%;1;3;StartedFromCS;
W;Breach; ;122;12;15;1; ;81;20%;2;4;Team France;
L;Raze; ;206;16;16;4; ;137;30%;3;5;L'institut;
W;Raze; ;195;14;12;4; ;122;16%;2;1;L'institut;
L;Raze; ;252;20;17;7; ;166;13%;3;1;L'institut;
W;Sova; ;70;3;13;8; ;61;14%;0;4;L'institut;
W;Sova; ;321;23;16;5; ;206;25%;3;1;L'institut;
L;Sova; ;108;4;15;2; ;72;14%;0;1;L'institut;
W;Sova; ;302;30;22;12; ;207;19%;2;0;L'institut;
L;Raze; ;146;6;12;3; ;99;20%;1;0;L'institut;
L;Sova; ;193;14;20;4; ;126;18%;5;2;L'institut;
W;Sova; ;222;14;11;7; ;125;15%;1;0;Sangal Esports;
W;Sova; ;234;12;9;10; ;130;33%;1;0;Sangal Esports;
W;Sova; ;176;11;6;5; ;109;14%;0;1;Sangal Esports;
W;Sova; ;147;7;8;13; ;94;28%;0;0;Sangal Esports;
L;Sova; ;227;13;12;3; ;135;10%;1;1;Sangal Esports;
L;Raze; ;134;8;19;5; ;83;7%;0;4;Sangal Esports;
