map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Phoenix; ;74;5;15;2; ;50;27%;1;0;Most Prolific;
L;Breach; ;113;4;15;4; ;69;21%;1;1;Most Prolific;
W;Raze; ;323;28;16;6; ;219;26%;3;0;Spotlight;
L;Reyna; ;212;17;16;4; ;132;37%;2;3;Spotlight;
L;Reyna; ;135;11;20;9; ;88;23%;1;3;Spotlight;
W;Phoenix; ;273;34;22;15; ;184;34%;6;3;Spotlight;
L;Raze; ;258;25;21;4; ;161;22%;6;2;Spotlight;
L;Phoenix; ;230;12;13;4; ;146;17%;2;1;Spotlight;
W;Raze; ;387;32;13;4; ;226;21%;5;0;Spotlight;
L;Raze; ;224;14;16;2; ;142;13%;2;0;Spotlight;
L;Phoenix; ;139;10;17;5; ;100;25%;1;2;Spotlight;
W;Raze; ;254;21;13;4; ;173;24%;2;1;Spotlight;
L;Phoenix; ;189;9;13;2; ;111;32%;1;3;Spotlight;
L;Phoenix; ;190;15;19;2; ;122;26%;5;3;Spotlight;
W;Reyna; ;270;21;11;5; ;148;39%;2;0;PUGSTARS;
W;Reyna; ;162;12;12;5; ;103;24%;3;2;PUGSTARS;
W;Reyna; ;233;19;15;10; ;152;31%;1;4;Spotlight;
L;Reyna; ;228;16;17;1; ;138;36%;3;1;Spotlight;
L;Raze; ;189;12;17;2; ;115;30%;2;5;Spotlight;
L;Raze;0.94;219;17;17;3;68%;141;28%;2;2;Icons;
L;Reyna;0.58;199;10;16;2;47%;140;34%;2;5;Icons;
L;Reyna;0.77;165;12;19;6;65%;112;38%;2;4;ARBIES;
L;Reyna;0.71;197;11;18;6;67%;121;21%;1;2;ARBIES;
L;Phoenix;0.83;216;11;15;3;71%;129;27%;3;2;Rock Bottom;
L;Sage;1.13;298;21;15;0;78%;150;32%;4;0;Rock Bottom;
L;Reyna;0.86;215;13;14;5;65%;135;32%;2;3;Good Fellas;
L;Kayo;0.94;196;15;15;6;75%;96;23%;0;1;Good Fellas;
L;Kayo;0.44;116;5;15;0;40%;88;36%;0;0;Good Fellas;
L;Kayo;0.69;148;8;15;5;65%;87;16%;2;0;Good Fellas;
