map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Phoenix; ;293;23;18;3; ;182;26%;2;3;KaiXin Esports;
W;Phoenix; ;149;11;15;2; ;97;19%;2;2;KaiXin Esports;
W;Phoenix; ;171;12;12;1; ;103;31%;3;0;KaiXin Esports;
L;Phoenix; ;178;13;15;2; ;110;34%;3;3;KaiXin Esports;
W;Cypher; ;202;15;20;4; ;112;15%;4;4;KaiXin Esports;
L;Sage; ;152;10;16;3; ;104;18%;2;0;KaiXin Esports;
L;Phoenix; ;123;6;17;5; ;89;44%;2;5;KaiXin Esports;
L;Cypher; ;120;8;18;3; ;66;16%;0;1;KaiXin Esports;
L;Jett; ;149;8;14;3; ;97;35%;1;0;KaiXin Esports;
L;Reyna; ;157;9;15;4; ;105;30%;1;3;KaiXin Esports;
W;Phoenix; ;236;10;5;4; ;175;32%;3;1;KaiXin Esports;
L;Reyna; ;109;4;15;6; ;85;12%;1;0;KaiXin Esports;
L;Phoenix; ;278;18;16;1; ;220;32%;4;2;KaiXin Esports;
L;Reyna; ;216;13;17;4; ;133;27%;4;2;KaiXin Esports;
L;Phoenix;0.31;140;7;16;1;41%;106;27%;0;7;KaiXin Esports;
W;Phoenix;0.87;139;10;12;3;65%;96;20%;2;3;KaiXin Esports;
W;Sage;1.69;299;21;10;9;95%;168;17%;2;0;KaiXin Esports;
W;Phoenix;1.33;248;13;7;5;73%;141;44%;3;0;KaiXin Esports;
W;Sage;0.97;234;13;10;6;87%;136;28%;3;3;KaiXin Esports;
L;Phoenix;0.20;104;4;16;3;44%;57;18%;1;3;KaiXin Esports;
L;Sage;0.41;110;5;15;2;50%;80;42%;0;0;KaiXin Esports;
L;Sage;1.17;267;24;19;8;73%;162;22%;4;3;KaiXin Esports;
W;Phoenix;1.38;301;21;12;8;81%;170;37%;4;5;KaiXin Esports;
W;Phoenix;0.72;146;10;16;4;68%;91;26%;1;4;KaiXin Esports;
L;Phoenix;0.74;180;15;20;6;64%;107;31%;2;1;KaiXin Esports;
L;Sage;0.61;213;9;15;4;69%;165;42%;1;1;KaiXin Esports;
L;Sage;1.17;256;17;16;10;73%;179;24%;2;0;KaiXin Esports;
L;Phoenix;0.87;219;14;17;6;64%;146;33%;3;4;KaiXin Esports;
W;Phoenix;1.73;358;26;10;0;70%;232;31%;2;2;KaiXin Esports;
W;Killjoy;0.72;120;11;20;4;58%;92;24%;1;3;KaiXin Esports;
L;Killjoy;0.98;242;13;15;7;81%;158;23%;3;4;KaiXin Esports;
W;Sage;1.55;275;24;13;9;91%;180;43%;2;0;KaiXin Esports;
W;Sage;0.94;198;16;18;6;71%;137;21%;5;2;KaiXin Esports;
W;Phoenix;1.21;240;19;15;4;67%;154;25%;5;3;KaiXin Esports;
W;Jett;1.23;258;18;12;2;75%;149;29%;4;2;KaiXin Esports;
L;Raze;0.84;198;12;15;3;63%;127;26%;3;0;KaiXin Esports;
W;Phoenix;1.19;239;18;13;5;80%;140;41%;2;3;KaiXin Esports;
L;Raze;0.57;166;6;13;4;60%;105;12%;0;1;KaiXin Esports;
W;Sage;0.84;191;12;16;8;74%;109;39%;2;5;KaiXin Esports;
L;Phoenix;0.60;193;7;13;5;71%;139;37%;3;0;KaiXin Esports;
L;Reyna;0.77;171;13;20;5;57%;112;41%;2;4;KaiXin Esports;
W;Phoenix;1.13;230;18;16;8;63%;134;25%;2;3;KaiXin Esports;
