map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Phoenix; ;303;15;9;5; ; ; ;4; ;Control;
W;Phoenix; ;277;16;9;2; ; ; ;4; ;Control;
W;Jett; ;232;18;14;1; ; ; ;6; ;Control;
L;Phoenix; ;146;8;17;5; ; ; ;0; ;Control;
L;Jett; ;124;7;18;3; ; ; ;0; ;Control;
W;Phoenix; ;247;15;17;8; ; ; ;4; ;Control;
L;Reyna; ;316;27;19;7; ; ; ;6; ;Control;
W;Phoenix; ;239;18;18;1; ; ; ;4; ;Control;
L;Phoenix; ;183;12;18;4; ; ; ;2; ;Control;
W;Reyna; ;250;21;16;9; ; ; ;2; ;Control;
L;Reyna; ;269;15;15;6; ; ; ;3; ;Control;
W;Breach; ;246;20;19;11; ;156;17%;3;1;Avant;
W;Phoenix; ;188;12;11;1; ;90;10%;2;2;Avant;
W;Breach; ;231;17;12;6; ;122;10%;1;4;Avant;
W;Breach; ;180;13;20;9; ;129;15%;2;3;Avant;
L;Breach; ;128;6;14;3; ;83;6%;1;2;Avant;
L;Raze; ;84;4;15;0; ;53;9%;0;2;Avant;
L;Phoenix; ;149;7;14;3; ;100;11%;0;3;Avant;
W;Reyna; ;201;16;17;8; ;133;13%;1;3;Avant;
W;Breach; ;150;11;19;9; ;91;11%;2;1;Avant;
L;Breach; ;126;7;14;0; ;90;21%;1;3;Avant;
L;Reyna; ;143;12;20;6; ;74;19%;1;3;Avant;
L;Breach; ;162;12;16;6; ;100;26%;0;2;Avant;
W;Breach; ;161;16;21;11; ;104;14%;0;2;Avant;
W;Phoenix; ;163;8;11;12; ;121;10%;3;0;Avant;
W;Phoenix; ;346;21;11;4; ;201;21%;2;2;Avant;
W;Breach; ;208;19;16;7; ;126;23%;4;0;Avant;
L;Phoenix; ;229;16;16;6; ;154;19%;2;4;Avant;
L;Breach; ;189;15;15;9; ;113;13%;2;1;Avant;
W;Phoenix; ;194;16;16;4; ;115;19%;2;2;Avant;
L;Phoenix; ;230;21;21;7; ;155;19%;2;1;Avant;
W;Phoenix; ;206;16;14;7; ;127;22%;2;2;Avant;
W;Breach; ;195;13;12;9; ;124;18%;3;2;Avant;
W;Phoenix; ;237;18;16;6; ;139;14%;4;3;Avant;
W;Breach; ;265;22;13;9; ;165;16%;5;1;Avant;
L;Breach; ;176;11;16;9; ;117;25%;0;1;Avant;
L;Breach; ;92;4;18;7; ;65;10%;1;0;Avant;
L;Phoenix; ;181;10;17;7; ;115;7%;1;2;Avant;
W;Raze; ;192;14;17;12; ;143;8%;1;0;Avant;
L;Raze; ;352;19;15;3; ;191;15%;3;0;Avant;
L;Reyna; ;210;14;18;6; ;133;12%;5;1;Avant;
L;Breach; ;203;17;20;7; ;104;11%;2;2;Avant;
L;Breach; ;127;8;19;7; ;85;6%;3;1;Avant;
W;Phoenix; ;197;8;12;10; ;112;6%;6;1;Avant;
W;Phoenix; ;192;17;12;3; ;120;23%;1;1;Avant;
L;Phoenix; ;160;11;16;4; ;99;17%;1;4;Avant;
W;Raze; ;273;20;16;9; ;182;13%;2;1;Avant;
W;Reyna; ;267;17;10;4; ;166;19%;6;2;Avant;
L;Breach; ;136;10;17;10; ;92;20%;2;1;Avant;
W;Raze; ;238;17;13;3; ;135;31%;2;1;Avant;
W;Breach; ;230;15;10;6; ;161;19%;0;0;Avant;
L;Reyna; ;197;15;18;7; ;119;14%;1;2;Avant;
W;Reyna; ;227;20;20;7; ;143;18%;8;4;Avant;
L;Reyna; ;289;28;21;10; ;228;16%;8;3;Avant;
L;Breach; ;167;14;16;6; ;149;16%;0;2;Avant;
L;Sage; ;72;5;19;4; ;49;4%;0;5;Funcrew;
L;Reyna; ;124;7;16;10; ;69;10%;3;4;Funcrew;
L;Reyna;1.00;273;24;25;12;75%;177;17%;5;4;Team Bliss;
W;Phoenix;1.06;252;19;16;6;91%;161;16%;3;1;Team Bliss;
W;Raze;0.92;242;18;17;6;68%;149;6%;2;5;Team Bliss;
