map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;None;0;0;0;0;0;0;0;0;0;0;together we are terrific;
L;None;0;0;0;0;0;0;0;0;0;0;together we are terrific;
W;None;0;0;0;0;0;0;0;0;0;0;together we are terrific;
L;None;0;0;0;0;0;0;0;0;0;0;Team Aceu;
W;None;0;0;0;0;0;0;0;0;0;0;Team Aceu;
L;None;0;0;0;0;0;0;0;0;0;0;Team Aceu;
W;Cypher; ;228;18;16;15; ; ; ;4; ;Sentinels;
W;Cypher; ;271;20;14;6; ; ; ;2; ;Sentinels;
W;Cypher; ;298;22;13;7; ; ; ;2; ;Sentinels;
W;Cypher; ;229;16;15;7; ; ; ;4; ;Sentinels;
W;Cypher; ;277;19;10;7; ; ; ;4; ;Sentinels;
W;Cypher; ;280;20;15;9; ; ; ;3; ;Sentinels;
L;Cypher; ;216;18;18;7; ; ; ;4; ;Sentinels;
L;Cypher; ;197;15;22;8; ; ; ;5; ;Sentinels;
L;Cypher; ;108;7;16;10; ; ; ;1; ;Sentinels;
W;Cypher; ;131;9;12;8; ; ; ;0; ;Sentinels;
L;Cypher; ;137;9;16;8; ; ; ;2; ;Sentinels;
L;Cypher; ;139;9;14;3; ; ; ;1; ;Sentinels;
W;Cypher; ;245;16;9;6; ; ; ;1; ;Sentinels;
W;Cypher; ;186;12;10;1; ; ; ;0; ;Sentinels;
W;Cypher; ;210;14;7;1; ; ; ;3; ;Sentinels;
W;Cypher; ;186;13;12;4; ; ; ;1; ;Sentinels;
L;Cypher; ;244;19;18;7; ; ; ;2; ;Sentinels;
W;Cypher; ;334;18;4;6; ; ; ;2; ;Sentinels;
W;Cypher; ;260;16;9;5; ; ; ;3; ;Sentinels;
L;Cypher; ;140;12;16;8; ; ; ;1; ;Sentinels;
W;None;0;0;0;0;0;0;0;0;0;0;Sentinels;
W;Cypher; ;281;26;13;5; ; ; ;4; ;Sentinels;
W;Cypher; ;214;18;16;6; ; ; ;2; ;Sentinels;
L;Cypher; ;163;13;20;12; ; ; ;2; ;Sentinels;
W;Cypher; ;172;12;16;6; ; ; ;2; ;Sentinels;
L;Cypher; ;161;13;19;7; ; ; ;1; ;Sentinels;
W;Cypher; ;210;15;10;3; ; ; ;0; ;Sentinels;
W;Cypher; ;256;16;9;5; ; ; ;3; ;Sentinels;
W;Cypher; ;228;9;9;6; ; ; ;2; ;Sentinels;
W;Cypher; ;219;15;9;7; ; ; ;2; ;Sentinels;
W;Cypher; ;183;15;19;9; ; ; ;4; ;Sentinels;
W;Cypher; ;243;16;10;5; ; ; ;1; ;Sentinels;
W;Cypher; ;243;20;14;5; ; ; ;1; ;Sentinels;
W;Cypher; ;143;11;13;13; ; ; ;3; ;Sentinels;
W;Cypher; ;307;25;16;8; ; ; ;5; ;Sentinels;
W;Cypher; ;284;21;14;3; ; ; ;2; ;Sentinels;
L;Cypher; ;234;20;16;4; ; ; ;1; ;Sentinels;
W;Cypher; ;276;21;12;7; ; ; ;2; ;Sentinels;
W;Cypher; ;243;19;14;7; ; ; ;1; ;Sentinels;
W;Cypher; ;197;13;11;10; ; ; ;0; ;Sentinels;
W;Cypher; ;261;17;9;6; ; ; ;1; ;Sentinels;
