map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Cypher; ;114;7;17;6; ; ; ;1; ;NeverEndingStory;
W;Cypher; ;175;15;17;6; ; ; ;2; ;NeverEndingStory;
L;Cypher; ;191;17;19;3; ; ; ;2; ;NeverEndingStory;
L;Brimstone; ;268;20;18;7; ; ; ;4; ;NeverEndingStory;
W;Brimstone; ;201;16;18;4; ; ; ;3; ;NeverEndingStory;
L;Brimstone; ;124;6;14;2; ; ; ;1; ;NeverEndingStory;
L;Omen; ;178;11;17;7; ;114;16%;1;0;Winfinity;
L;Sova; ;167;12;17;7; ;115;18%;2;3;Winfinity;
L;Sova; ;41;1;14;2; ;29;17%;0;2;Winfinity;
L;Breach; ;176;11;17;3; ;156;20%;1;3;Winfinity;
L;Omen; ;146;12;20;3; ;80;11%;2;3;Winfinity;
L;Brimstone; ;284;19;16;2; ;182;33%;3;2;Winfinity;
W;Brimstone; ;148;13;13;3; ;87;21%;1;1;Winfinity;
W;Brimstone; ;172;14;18;5; ;124;23%;1;4;Winfinity;
L;Brimstone; ;141;6;14;2; ;94;25%;0;3;Winfinity;
L;Brimstone; ;189;16;20;10; ;119;18%;4;7;Winfinity;
L;Omen; ;142;6;14;3; ;104;14%;1;1;Winfinity;
L;Brimstone; ;184;9;16;1; ;116;19%;2;2;Winfinity;
L;Breach;1.02;233;13;14;12;82%;136;19%;3;2;Winfinity;
W;Brimstone;0.67;170;12;22;10;56%;103;22%;3;2;Winfinity;
L;Breach;0.97;162;12;15;5;68%;106;24%;3;3;Winfinity;
L;Viper;0.58;134;8;16;7;56%;79;15%;1;2;Winfinity;
L;Brimstone;0.68;172;12;18;2;52%;105;30%;0;3;Winfinity;
