map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Jett; ;294;25;15;1; ;166;12%;6;1;Genesis;
L;Jett; ;262;20;15;1; ;150;34%;2;2;Genesis;
L;Jett; ;250;19;18;4; ;157;22%;4;4;Genesis;
L;Jett; ;169;10;12;3; ;116;18%;1;1;Genesis;
W;Jett; ;272;24;13;0; ;156;27%;4;1;Genesis;
W;Jett; ;171;11;7;1; ;103;23%;4;2;Genesis;
L;Jett; ;172;13;18;2; ;110;14%;4;4;Genesis;
L;Raze; ;241;24;18;1; ;151;18%;4;2;Genesis;
W;Jett; ;301;20;10;3; ;174;23%;2;1;Genesis;
L;Reyna; ;267;19;15;2; ;167;26%;4;1;Genesis;
L;Jett; ;230;16;18;1; ;145;17%;1;2;Genesis;
L;Killjoy; ;221;10;16;3; ;148;23%;4;1;Big Frames;
L;Killjoy; ;303;19;17;6; ;189;14%;6;0;Big Frames;
L;Breach; ;212;25;28;22; ;128;15%;2;1;Big Frames;
L;Reyna; ;104;7;18;3; ;67;20%;0;1;Big Frames;
W;Jett; ;176;13;15;1; ;117;11%;4;5;Big Frames;
W;Jett; ;255;17;13;5; ;143;13%;2;4;Big Frames;
L;Jett; ;254;20;19;5; ;161;22%;4;4;Big Frames;
L;Jett; ;148;9;18;4; ;109;35%;0;4;Big Frames;
L;Jett; ;263;16;16;3; ;163;18%;3;0;Big Frames;
W;Jett; ;230;12;7;5; ;140;26%;5;2;Big Frames;
W;Jett; ;367;28;16;4; ;210;20%;8;4;Big Frames;
L;Jett; ;149;9;15;2; ;83;24%;0;6;Big Frames;
W;Reyna; ;231;17;12;5; ;118;27%;5;1;Big Frames;
W;Jett; ;453;25;11;3; ;230;24%;4;1;Big Frames;
L;Jett; ;150;16;27;4; ;100;21%;3;6;Big Frames;
W;Jett; ;265;20;13;8; ;169;13%;2;3;Big Frames;
W;Jett; ;205;16;19;8; ;136;13%;4;5;Big Frames;
W;Jett; ;282;24;16;5; ;157;14%;3;3;Big Frames;
W;Jett; ;245;16;14;3; ;123;10%;4;2;Big Frames;
L;Jett; ;238;17;20;6; ;151;16%;3;3;Big Frames;
W;Jett; ;165;20;26;2; ;90;22%;6;8;Big Frames;
W;Jett; ;282;19;8;2; ;149;16%;2;2;Big Frames;
L;Jett; ;321;31;20;2; ;199;24%;7;3;Big Frames;
W;Jett; ;368;25;10;3; ;206;18%;8;1;Big Frames;
L;Jett; ;222;17;18;2; ;137;28%;0;4;Big Frames;
L;Jett; ;143;7;17;4; ;95;17%;1;3;Big Frames;
W;Jett; ;178;17;15;5; ;114;14%;5;5;Big Frames;
W;Jett; ;234;16;16;8; ;143;16%;2;5;Big Frames;
L;Jett; ;206;20;23;7; ;144;10%;3;4;Big Frames;
W;Jett; ;330;17;6;5; ;182;32%;4;1;Big Frames;
W;Reyna; ;207;15;19;10; ;152;25%;3;5;Big Frames;
W;Jett; ;185;18;13;2; ;109;17%;0;6;Big Frames;
L;Jett; ;281;28;19;2; ;160;24%;3;3;Big Frames;
L;Jett; ;220;9;13;4; ;197;33%;2;2;Big Frames;
L;Jett; ;184;12;18;1; ;98;39%;1;3;Pug Gods;
L;Jett; ;159;8;16;4; ;98;23%;0;2;Big Frames;
L;Jett; ;118;5;14;2; ;67;5%;0;4;Big Frames;
L;Jett; ;226;16;16;0; ;144;15%;4;4;Big Gains;
W;Jett; ;199;17;11;6; ;133;10%;2;1;Dignitas;
W;Jett; ;278;23;17;5; ;157;27%;5;2;Dignitas;
W;Jett; ;243;15;16;5; ;141;13%;4;5;Dignitas;
W;Jett; ;188;17;15;3; ;107;31%;2;6;Dignitas;
L;Jett; ;248;21;14;1; ;201;15%;3;1;Dignitas;
L;Jett; ;186;14;14;4; ;92;27%;0;4;Dignitas;
W;Jett;1.77;307;22;6;1;100%;181;17%;3;1;rice and meatballs;
W;Jett;1.51;316;23;13;4;84%;159;15%;5;1;rice and meatballs;
L;Jett;0.66;179;11;17;2;50%;107;10%;1;1;rice and meatballs;
L;Jett;1.18;242;18;14;3;57%;168;44%;3;0;rice and meatballs;
