map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Omen; ;189;15;17;6; ;118;24%;3;2;RipNTear;
W;Omen; ;179;12;16;7; ;122;20%;2;1;RipNTear;
W;Phoenix; ;353;26;16;7; ;208;32%;8;2;RipNTear;
L;Omen; ;137;13;20;3; ;89;25%;1;7;RipNTear;
L;Omen; ;201;13;16;4; ;100;24%;3;2;RipNTear;
L;Phoenix; ;124;7;17;4; ;64;29%;0;5;RipNTear;
L;Omen; ;92;6;16;1; ;54;24%;0;5;RipNTear;
L;Jett; ;117;6;15;1; ;82;14%;1;3;bTitans;
W;Omen; ;258;16;7;5; ;137;21%;3;1;RipNTear;
L;Phoenix; ;201;14;19;3; ;135;27%;6;4;RipNTear;
W;Omen; ;193;13;14;4; ;113;15%;2;7;RipNTear;
W;Phoenix; ;218;14;11;4; ;127;25%;2;3;RipNTear;
W;Omen; ;258;17;13;5; ;137;28%;2;0;RipNTear;
W;Breach; ;260;20;12;5; ;197;32%;1;1;PuR eSport;
L;Phoenix; ;233;21;21;2; ;149;25%;8;4;RipNTear;
L;Omen; ;109;5;15;1; ;70;25%;0;6;RipNTear;
W;Phoenix; ;228;15;9;1; ;201;32%;4;4;RipNTear;
W;Omen; ;418;26;11;9; ;212;20%;4;2;RipNTear;
L;Omen; ;159;7;12;3; ;110;35%;1;1;RipNTear;
L;Phoenix; ;191;13;16;5; ;110;17%;3;7;RipNTear;
L;Breach; ;110;6;14;1; ;73;18%;1;3;Big Brain;
L;Cypher; ;225;11;14;3; ;134;18%;1;2;Big Brain;
W;Omen; ;308;19;13;2; ;187;24%;5;1;Kanga Esports;
W;Omen; ;263;21;16;6; ;171;23%;1;2;Kanga Esports;
W;Omen; ;242;14;12;3; ;178;27%;1;2;Kanga Esports;
L;Omen; ;148;8;15;4; ;89;27%;2;1;Kanga Esports;
W;Omen; ;147;10;14;3; ;96;26%;1;7;Kanga Esports;
W;Omen; ;164;10;14;3; ;116;22%;3;1;Kanga Esports;
L;Omen; ;115;6;15;3; ;77;30%;2;1;Kanga Esports;
L;Omen; ;181;9;13;4; ;112;18%;0;3;Kanga Esports;
L;Omen; ;182;13;13;2; ;121;27%;2;1;Kanga Esports;
L;Omen; ;161;11;18;5; ;97;17%;3;3;Kanga Esports;
L;Omen; ;80;3;13;1; ;54;5%;0;2;Kanga Esports;
L;Omen; ;214;11;13;4; ;150;39%;0;1;Kanga Esports;
W;Phoenix; ;219;17;16;4; ;151;23%;1;4;Kanga Esports;
L;Phoenix; ;231;19;24;2; ;145;34%;4;3;Kanga Esports;
L;Reyna; ;105;4;15;2; ;86;26%;1;1;Kanga Esports;
W;Omen; ;148;15;14;5; ;110;26%;1;3;Kanga Esports;
L;Omen; ;177;13;13;3; ;123;14%;0;3;Kanga Esports;
W;Omen; ;301;40;25;2; ;182;27%;3;2;Kanga Esports;
