map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Reyna; ;239;14;4;7; ; ; ;2; ;Bottom Fraggers;
W;None;0;0;0;0;0;0;0;0;0;0;Bottom Fraggers;
W;Reyna; ;257;11;5;12; ; ; ;1; ;Bottom Fraggers;
W;None;0;0;0;0;0;0;0;0;0;0;Bottom Fraggers;
W;None;0;0;0;0;0;0;0;0;0;0;Bottom Fraggers;
W;Reyna; ;392;24;5;2; ; ; ;3; ;Bottom Fraggers;
L;Omen; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
W;Reyna; ;378;22;9;3; ; ; ;5; ;Bottom Fraggers;
W;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
L;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
W;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
W;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
W;None;0;0;0;0;0;0;0;0;0;0;Bottom Fraggers;
L;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
L;Reyna; ; ; ; ; ; ; ; ; ; ;Bottom Fraggers;
W;Reyna; ;234;23;17;4; ; ; ;2; ;Bottom Fraggers;
W;Reyna; ;293;24;12;4; ; ; ;4; ;Bottom Fraggers;
L;Reyna; ;125;5;15;2; ; ; ;1; ;Bottom Fraggers;
W;Sova; ;177;15;19;13; ; ; ;1; ;Fusion Fraggers;
L;Sova; ;235;18;15;5; ; ; ;2; ;Fusion Fraggers;
W;Sova; ;210;15;9;6; ;149;36%;1;0;Fusion Fraggers;
L;Sova; ;196;16;12;3; ;120;12%;1;2;Fusion Fraggers;
W;Breach; ;192;12;6;5; ;133;20%;0;0;Fusion Fraggers;
W;Sova; ;220;23;14;4; ;147;13%;1;1;Fusion Fraggers;
W;Breach; ;263;19;9;6; ;167;26%;0;1;Fusion Fraggers;
W;Sova; ;232;13;6;6; ;201;30%;2;0;Fusion Fraggers;
W;Sova; ;207;21;13;7; ;147;16%;0;3;Fusion Fraggers;
W;Breach; ;150;15;10;3; ;83;23%;0;1;Fusion Fraggers;
W;Sova; ;214;17;12;12; ;124;19%;3;0;Fusion Fraggers;
W;Breach; ;400;22;5;6; ;211;27%;0;1;Fusion Fraggers;
W;Breach; ;336;23;6;8; ;198;25%;3;0;Fusion Fraggers;
W;Sova; ;306;19;6;7; ;195;26%;0;0;Fusion Fraggers;
W;Sova; ;163;13;12;5; ;87;7%;0;0;Fusion Fraggers;
