map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Sova; ;338;19;7;9; ; ; ;2; ;DetonatioN FocusMe;
L;Sage; ;198;15;17;5; ; ; ;4; ;DetonatioN FocusMe;
L;Sova; ;187;15;14;7; ; ; ;2; ;DetonatioN FocusMe;
W;Jett; ;303;26;18;2; ;176;23%;6;2;DetonatioN FocusMe;
L;Jett; ;235;18;19;2; ;110;19%;5;3;DetonatioN FocusMe;
W;Jett; ;126;8;6;2; ;77;15%;1;2;DetonatioN FocusMe;
W;Jett; ;230;23;17;0; ;177;8%;5;3;DetonatioN FocusMe;
L;Jett; ;199;15;17;6; ;114;6%;3;3;DetonatioN FocusMe;
L;Jett; ;183;11;15;4; ;116;12%;4;0;DetonatioN FocusMe;
W;Jett; ;210;19;15;1; ;119;12%;8;3;DetonatioN FocusMe;
L;Jett; ;196;22;22;3; ;105;11%;5;3;DetonatioN FocusMe;
W;Jett; ;135;10;14;1; ;77;26%;3;2;DetonatioN FocusMe;
W;Jett; ;150;12;16;3; ;89;12%;4;2;DetonatioN FocusMe;
W;Jett; ;280;18;8;1; ;152;20%;6;2;DetonatioN FocusMe;
L;Jett; ;220;18;15;3; ;115;11%;2;4;DetonatioN FocusMe;
L;Phoenix; ;329;25;16;2; ;265;28%;3;4;DetonatioN FocusMe;
L;Jett; ;264;18;15;4; ;153;12%;4;0;DetonatioN FocusMe;
L;Jett; ;164;16;20;3; ;102;10%;5;8;DetonatioN FocusMe;
W;Jett; ;373;23;8;0; ;181;5%;7;1;DetonatioN FocusMe;
W;Jett; ;239;19;12;3; ;154;16%;4;4;DetonatioN FocusMe;
L;Jett; ;222;20;14;3; ;138;21%;2;3;DetonatioN FocusMe;
L;Jett; ;184;17;22;6; ;124;18%;4;8;DetonatioN FocusMe;
W;Jett; ;258;18;13;4; ;154;21%;3;3;DetonatioN FocusMe;
L;Jett; ;171;16;23;4; ;97;14%;5;8;DetonatioN FocusMe;
L;Jett; ;347;32;16;3; ;214;20%;10;4;DetonatioN FocusMe;
W;Jett; ;362;21;9;3; ;227;33%;7;1;DetonatioN FocusMe;
W;Jett; ;385;20;10;7; ;218;16%;7;2;DetonatioN FocusMe;
W;Jett; ;415;23;8;3; ;229;25%;6;0;DetonatioN FocusMe;
W;Jett; ;254;15;6;0; ;149;18%;5;2;DetonatioN FocusMe;
W;Jett; ;230;17;16;6; ;140;19%;2;2;DetonatioN FocusMe;
W;Jett; ;245;20;16;7; ;154;20%;5;1;DetonatioN FocusMe;
W;Jett; ;339;28;12;4; ;179;11%;7;0;DetonatioN FocusMe;
L;Jett; ;182;13;16;2; ;115;31%;1;2;DetonatioN FocusMe;
L;Jett; ;214;22;15;2; ;141;31%;3;3;DetonatioN FocusMe;
L;Jett; ;191;14;20;7; ;122;15%;4;2;DetonatioN FocusMe;
L;Jett; ;148;9;18;3; ;88;14%;1;5;DetonatioN FocusMe;
W;Jett; ;267;15;7;4; ;142;10%;5;3;DetonatioN FocusMe;
L;Reyna; ;195;13;19;4; ;119;23%;4;3;DetonatioN FocusMe;
L;Raze; ;244;20;16;4; ;156;10%;2;1;DetonatioN FocusMe;
W;Jett; ;271;22;16;4; ;141;13%;5;3;DetonatioN FocusMe;
L;Jett; ;148;11;17;2; ;84;20%;0;2;DetonatioN FocusMe;
L;Jett; ;195;11;16;6; ;126;13%;6;4;DetonatioN FocusMe;
L;Jett; ;205;17;15;1; ;112;12%;4;1;DetonatioN FocusMe;
L;Jett; ;206;13;17;5; ;135;19%;2;3;DetonatioN FocusMe;
L;Jett; ;205;14;13;1; ;123;34%;2;5;DetonatioN FocusMe;
W;Raze; ;279;21;15;9; ;167;12%;4;4;DetonatioN FocusMe;
W;Jett;1.16;254;22;16;1;63%;144;7%;7;5;DetonatioN FocusMe;
L;Sage;0.45;121;7;17;2;58%;79;17%;2;2;DetonatioN FocusMe;
L;Skye;0.57;110;8;19;3;57%;72;13%;1;1;FENNEL;
W;Kayo;1.19;247;23;16;11;75%;123;13%;2;1;FENNEL;
W;Kayo;1.41;265;19;12;9;85%;157;14%;4;4;FENNEL;
W;Jett;1.09;242;19;15;4;86%;144;8%;4;2;FENNEL;
L;Kayo;0.60;91;7;15;9;60%;40;9%;1;4;FENNEL;
W;Kayo;1.14;212;17;14;16;78%;140;18%;1;2;FENNEL;
W;Jett;1.06;173;12;8;2;76%;103;9%;3;2;FENNEL;
W;Jett;1.34;291;14;8;3;93%;175;15%;4;1;FENNEL;
W;Jett;1.91;416;29;9;1;78%;214;18%;7;2;FENNEL;
W;Sage;1.33;258;19;14;8;70%;173;11%;2;2;FENNEL;
W;Raze;0.98;191;13;16;6;78%;112;7%;4;4;FENNEL;
W;Raze;1.17;253;16;12;7;68%;149;15%;3;4;FENNEL;
W;Jett;1.14;255;17;14;5;74%;144;4%;6;3;FENNEL;
