map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Sova; ;202;18;13;8; ;119;30%;3;0;Orgles5;
L;Raze; ;226;20;15;8; ;157;17%;5;0;Orgles5;
W;Sova; ;221;21;13;3; ;124;22%;3;0;Orgles5;
L;Sova; ;259;23;18;5; ;161;38%;4;3;Orgles5;
W;Sova; ;166;12;10;3; ;123;39%;0;0;Orgles5;
L;Sova; ;177;20;21;7; ;111;25%;2;2;Orgles5;
L;Sova; ;170;14;16;6; ;106;34%;1;1;Luminosity;
W;Sova; ;126;8;11;6; ;82;20%;1;4;Luminosity;
W;Sova; ;158;11;11;5; ;111;19%;1;1;Luminosity;
W;Sova; ;184;15;19;9; ;128;16%;1;4;Luminosity;
W;Omen; ;193;18;19;6; ;93;18%;3;2;Luminosity;
W;Sova; ;164;16;16;9; ;119;30%;3;2;Luminosity;
W;Sova; ;130;7;8;3; ;96;26%;0;3;Luminosity;
L;Sova; ;281;16;12;2; ;174;34%;4;0;Luminosity;
L;Sova; ;152;6;15;7; ;98;14%;4;1;Luminosity;
W;Omen; ;212;15;13;3; ;127;27%;3;1;Luminosity;
L;Sova; ;256;21;16;5; ;156;28%;2;2;Luminosity;
W;Sova; ;265;24;14;6; ;159;18%;2;1;Luminosity;
L;Omen; ;128;10;16;4; ;82;19%;0;0;Luminosity;
L;Sova; ;258;12;14;4; ;166;29%;2;1;Luminosity;
L;Sova; ;186;17;15;6; ;127;25%;1;0;Luminosity;
W;Sova; ;243;20;13;16; ;142;25%;1;1;Luminosity;
W;Omen; ;271;21;14;2; ;157;26%;2;2;Luminosity;
L;Omen; ;93;6;14;3; ;46;13%;1;1;Luminosity;
W;Sova; ;189;13;12;5; ;120;24%;3;3;Luminosity;
W;Sova; ;151;11;15;5; ;92;20%;2;3;Luminosity;
W;Omen; ;145;15;20;6; ;95;16%;3;2;Luminosity;
L;Sova; ;179;21;25;10; ;120;48%;4;1;Luminosity;
W;Sova; ;265;18;12;13; ;170;26%;2;2;Luminosity;
W;Omen; ;166;14;15;8; ;113;24%;1;2;Luminosity;
