map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Sova; ;213;16;20;8; ; ; ;3; ;Wave Esports;
L;Sova; ;199;11;17;3; ; ; ;1; ;Wave Esports;
L;Reyna; ;218;13;15;4; ; ; ;2; ;Wave Esports;
L;Sova; ;235;17;14;5; ;150;27%;4;1;Wave Esports;
W;Sova; ;269;28;16;13; ;170;35%;3;2;Wave Esports;
L;Sova; ;188;11;17;5; ;114;36%;3;2;Wave Esports;
W;Sova; ;231;20;14;8; ;118;17%;2;1;Wave Esports;
L;Reyna; ;122;10;18;1; ;70;20%;0;0;Wave Esports;
W;Sova; ;238;15;8;5; ;147;31%;2;0;Wave Esports;
W;Sova; ;254;25;17;8; ;150;33%;4;2;Wave Esports;
W;Sova; ;252;18;12;9; ;155;38%;4;0;Wave Esports;
W;Phoenix; ;249;17;13;7; ;126;9%;4;3;Wave Esports;
L;Sova; ;218;21;25;12; ;210;33%;5;2;Wave Esports;
L;Sova; ;258;18;17;13; ;168;30%;3;2;Wave Esports;
W;Sova; ;285;20;9;12; ;185;39%;0;0;Wave Esports;
L;Sova; ;177;14;14;9; ;105;55%;1;1;Wave Esports;
W;Sova; ;241;16;9;4; ;150;41%;6;0;Wave Esports;
W;Sova; ;306;23;14;8; ;188;43%;2;2;Wave Esports;
L;Sova; ;236;11;15;6; ;142;78%;2;0;Wave Esports;
W;Phoenix; ;302;20;9;3; ;162;33%;5;4;Wave Esports;
W;Phoenix; ;364;24;11;6; ;215;32%;3;1;Wave Esports;
W;Sova; ;240;19;12;7; ;131;41%;4;1;Wave Esports;
L;Sova; ;136;9;14;6; ;89;36%;0;0;Wave Esports;
W;Sova; ;300;25;12;9; ;150;35%;4;0;Wave Esports;
W;Viper; ;236;16;11;2; ;157;37%;1;1;Wave Esports;
L;Viper; ;218;21;19;4; ;130;23%;3;6;Wave Esports;
L;Sova; ;237;17;17;5; ;156;40%;2;1;Wave Esports;
W;Sova; ;277;18;14;10; ;161;45%;4;1;Wave Esports;
L;Sova; ;182;13;16;3; ;119;54%;2;3;Wave Esports;
L;Viper; ;246;22;18;1; ;177;37%;4;6;Wave Esports;
W;Sova; ;178;16;18;11; ;95;21%;2;1;Wave Esports;
W;Phoenix; ;244;19;15;6; ;165;26%;6;3;Wave Esports;
W;Sova; ;354;26;13;12; ;209;23%;1;1;Wave Esports;
W;Sova; ;274;20;10;5; ;166;33%;2;1;Wave Esports;
W;Sova; ;232;19;12;11; ;149;31%;3;1;Wave Esports;
W;Sova; ;215;14;11;8; ;117;29%;2;0;Wave Esports;
L;Viper; ;261;20;16;3; ;153;25%;6;4;Wave Esports;
W;Phoenix; ;280;23;13;4; ;158;28%;3;3;Wave Esports;
W;Raze; ;284;17;11;5; ;195;35%;3;5;Wave Esports;
W;Raze; ;296;23;17;10; ;177;14%;6;5;Wave Esports;
W;Raze; ;281;18;11;2; ;168;13%;4;0;Wave Esports;
W;Raze; ;331;22;14;2; ;190;28%;4;1;Wave Esports;
L;Raze; ;170;9;13;1; ;103;14%;4;1;Wave Esports;
