map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
L;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Reyna; ; ;21;14;7; ; ; ; ; ;Gamelanders Blue;
W;Reyna; ; ;18;11;5; ; ; ; ; ;Gamelanders Blue;
W;Raze; ;308;20;10;7; ; ; ;4; ;Gamelanders Blue;
W;Omen; ;353;24;9;6; ; ; ;5; ;Gamelanders Blue;
W;Omen; ;292;25;17;8; ; ; ;5; ;Gamelanders Blue;
W;Raze; ;318;19;12;2; ; ; ;5; ;Gamelanders Blue;
W;Omen; ;279;21;13;6; ; ; ;4; ;Gamelanders Blue;
W;Jett; ;285;21;8;2; ;182;18%;2;1;Gamelanders Blue;
W;Omen; ;261;21;14;3; ;150;25%;4;1;Gamelanders Blue;
L;Jett; ;286;43;31;4; ;163;10%;11;6;Gamelanders Blue;
L;Jett; ;220;23;24;3; ;144;20%;5;6;Gamelanders Blue;
W;Raze; ;255;21;16;7; ;171;6%;3;2;Gamelanders Blue;
W;Jett; ;308;34;20;4; ;225;15%;7;4;Gamelanders Blue;
W;Jett; ;236;20;17;5; ;128;6%;3;2;Gamelanders Blue;
W;Jett; ;340;31;18;5; ;199;20%;10;3;Gamelanders Blue;
L;Jett; ;274;23;16;6; ;159;15%;6;1;Gamelanders Blue;
W;Raze; ;272;20;17;5; ;154;7%;6;4;Gamelanders Blue;
W;Jett; ;323;28;14;2; ;175;8%;6;4;Gamelanders Blue;
W;Jett; ;223;16;13;4; ;139;9%;2;3;Gamelanders Blue;
W;Jett; ;286;20;14;4; ;158;19%;10;2;Gamelanders Blue;
L;Raze; ;253;15;12;2; ;147;16%;2;1;Gamelanders Blue;
L;Jett; ;191;12;16;1; ;102;20%;2;2;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Raze; ;346;29;16;3; ;221;18%;5;2;Gamelanders Blue;
W;Raze; ;286;19;14;6; ;170;11%;1;2;Gamelanders Blue;
W;Jett; ;182;15;17;2; ;104;7%;1;1;Gamelanders Blue;
W;Raze; ;278;25;20;6; ;162;9%;3;0;Gamelanders Blue;
W;Raze; ;214;18;20;5; ;145;18%;2;6;Gamelanders Blue;
L;Raze; ;214;13;13;3; ;135;20%;5;0;Gamelanders Blue;
W;Raze; ;284;21;12;3; ;157;9%;3;3;Gamelanders Blue;
W;Raze; ;418;19;12;3; ;251;21%;7;0;Gamelanders Blue;
W;None;0;0;0;0;0;0;0;0;0;0;Gamelanders Blue;
W;Raze; ;300;26;17;1; ;174;10%;4;3;Gamelanders Blue;
