map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
L;Cypher;0.48;98;4;13;1;36%;69;38%;1;2;Valkyrie;
L;Sage;0.49;122;7;15;1;44%;75;17%;0;0;Valkyrie;
L;Sage;0.97;227;15;14;1;67%;134;31%;1;2;Team Reckaroo;
L;Astra;1.12;176;15;14;7;67%;124;30%;1;1;Team Reckaroo;
L;Viper;0.77;134;11;17;7;58%;89;26%;1;2;Team Reckaroo;
W;Viper;0.88;157;14;16;5;54%;115;24%;0;2;Team Reckaroo;
L;Viper;0.47;98;5;13;4;43%;44;7%;0;0;Team Reckaroo;
W;Astra;0.99;173;13;13;10;81%;120;19%;0;1;Team Reckaroo;
L;Astra;0.46;72;5;15;4;58%;43;30%;0;2;Team Reckaroo;
L;Astra;0.44;109;6;16;2;53%;71;20%;1;1;Team Reckaroo;
L;Astra;0.87;156;14;17;1;63%;100;34%;2;1;Team Reckaroo;
