map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Jett; ;225;18;11;3; ;163;33%;3;1;Notick;
W;Jett; ;245;18;8;2; ;155;32%;4;1;Notick;
L;Jett; ;284;22;15;2; ;214;22%;2;6;Notick;
L;Jett; ;247;21;19;3; ;124;20%;10;6;Notick;
W;Jett; ;393;20;4;3; ;228;23%;3;1;Notick;
W;Jett; ;236;19;15;2; ;138;31%;6;1;Notick;
W;Jett; ;285;22;11;2; ;167;29%;1;3;Notick;
W;Jett; ;291;24;16;5; ;176;21%;7;2;Notick;
L;Jett; ;173;12;20;2; ;98;18%;2;2;Notick;
L;Jett; ;281;26;18;1; ;209;20%;5;1;Notick;
W;Cypher; ;185;16;12;2; ;149;14%;2;0;Akatsuki;
W;Cypher; ;175;14;17;6; ;105;15%;1;1;Akatsuki;
L;Cypher; ;343;25;18;3; ;207;27%;5;0;Akatsuki;
L;Cypher; ;309;25;13;6; ;201;24%;4;5;Akatsuki;
W;Omen; ;252;15;6;5; ;153;13%;0;0;Akatsuki;
W;Omen; ;213;12;7;3; ;136;29%;0;1;Akatsuki;
L;Cypher; ;185;16;20;2; ;131;23%;4;3;Dire Wolves;
L;Cypher; ;115;8;14;6; ;74;7%;1;2;Dire Wolves;
W;Raze; ;306;20;10;8; ;193;19%;2;2;Dire Wolves;
W;Raze; ;298;21;10;4; ;244;26%;4;2;Dire Wolves;
L;Cypher; ;272;21;19;6; ;164;23%;4;6;Dire Wolves;
W;Reyna; ;297;21;10;6; ;177;11%;2;2;Dire Wolves;
W;Raze; ;388;20;8;3; ;239;28%;6;0;Dire Wolves;
W;Raze; ;289;17;11;7; ;175;23%;2;3;Dire Wolves;
W;Reyna; ;425;23;7;6; ;268;28%;3;0;Dire Wolves;
W;Reyna; ;231;21;16;1; ;125;24%;5;3;Dire Wolves;
W;Raze; ;298;22;15;2; ;180;22%;4;2;Dire Wolves;
L;Raze; ;241;14;17;4; ;159;12%;3;3;Dire Wolves;
W;Reyna; ;221;19;15;7; ;116;13%;1;4;Dire Wolves;
L;Cypher; ;201;16;18;6; ;125;29%;4;1;Dire Wolves;
W;Jett; ;308;24;16;4; ;189;18%;3;3;Wildcard Gaming;
W;Jett; ;318;22;13;3; ;188;18%;5;7;Wildcard Gaming;
W;Jett; ;235;15;10;3; ;118;13%;4;3;Wildcard Gaming;
W;Jett; ;148;7;8;1; ;69;10%;2;1;Wildcard Gaming;
L;Jett; ;192;10;14;1; ;125;18%;3;2;Wildcard Gaming;
W;Jett; ;219;15;14;3; ;180;18%;5;5;Wildcard Gaming;
W;Jett; ;325;18;4;4; ;193;6%;6;1;Wildcard Gaming;
L;Jett; ;234;16;19;9; ;149;15%;3;3;Wildcard Gaming;
W;Jett; ;244;15;9;7; ;155;14%;3;2;Wildcard Gaming;
W;Jett; ;296;22;15;1; ;165;14%;4;4;Wildcard Gaming;
W;Jett; ;297;18;10;2; ;172;13%;6;1;Wildcard Gaming;
W;Jett; ;270;22;14;3; ;166;17%;4;2;Wildcard Gaming;
L;Jett; ;274;16;14;4; ;146;16%;1;3;Wildcard Gaming;
W;Jett; ;186;13;16;5; ;194;14%;5;4;Wildcard Gaming;
L;Jett; ;215;11;14;3; ;112;22%;4;4;Wildcard Gaming;
L;Jett; ;182;13;14;2; ;93;21%;0;3;Wildcard Gaming;
W;Jett; ;317;23;9;2; ;235;24%;3;1;Wildcard Gaming;
L;Raze; ;257;14;18;10; ;178;20%;3;4;Wildcard Gaming;
L;Reyna;0.67;157;17;27;9;56%;106;17%;3;8;Wildcard Gaming;
