map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Breach; ;186;16;16;13; ;100;17%;2;3;Elecbossa;
W;Breach; ;166;12;15;15; ;105;16%;2;1;Elecbossa;
L;Breach; ;122;7;17;7; ;77;10%;2;0;Elecbossa;
L;Breach; ;202;17;18;9; ;112;19%;1;2;Elecbossa;
W;Breach; ;99;7;16;15; ;61;16%;0;3;Elecbossa;
W;Breach; ;222;15;15;19; ;117;20%;2;0;Elecbossa;
W;Killjoy; ;222;12;11;5; ;149;12%;4;0;NXL LIGAGAME;
L;Breach; ;83;2;14;3; ;34;0%;0;1;NXL LIGAGAME;
L;Breach; ;156;11;16;9; ;93;30%;0;2;NXL LIGAGAME;
W;Breach; ;245;13;7;9; ;150;16%;3;0;NXL LIGAGAME;
L;Killjoy; ;127;9;19;2; ;81;10%;2;1;NXL LIGAGAME;
W;None;0;0;0;0;0;0;0;0;0;0;NXL LIGAGAME;
W;Breach; ;293;18;9;7; ;182;18%;0;1;NXL LIGAGAME;
W;Breach; ;138;8;10;7; ;78;10%;0;1;NXL LIGAGAME;
W;Breach; ;193;15;10;3; ;108;35%;1;1;NXL LIGAGAME;
W;None;0;0;0;0;0;0;0;0;0;0;NXL LIGAGAME;
W;Breach; ;199;15;11;6; ;120;24%;1;0;NXL LIGAGAME;
W;Breach; ;174;14;18;9; ;123;20%;0;2;NXL LIGAGAME;
W;Breach; ;167;15;23;13; ;106;16%;2;5;NXL LIGAGAME;
W;Breach; ;132;9;10;7; ;71;32%;1;1;NXL LIGAGAME;
L;Breach; ;124;7;14;8; ;73;13%;1;1;NXL LIGAGAME;
L;Breach; ;181;10;15;3; ;112;25%;0;1;NXL LIGAGAME;
W;Breach; ;148;14;15;5; ;98;29%;1;1;NXL LIGAGAME;
W;Breach; ;184;11;9;10; ;92;28%;1;0;NXL LIGAGAME;
W;Breach; ;193;15;15;8; ;127;28%;4;2;NXL LIGAGAME;
L;Breach; ;111;4;15;6; ;82;12%;0;1;NXL LIGAGAME;
L;Breach; ;204;10;13;5; ;111;12%;1;2;NXL LIGAGAME;
W;Breach; ;162;10;14;14; ;108;17%;1;1;NXL LIGAGAME;
W;Breach; ;142;10;19;10; ;88;14%;0;1;NXL LIGAGAME;
W;Breach; ;249;18;17;11; ;154;14%;3;2;NXL LIGAGAME;
W;Phoenix; ;237;11;8;7; ;148;13%;3;1;NXL LIGAGAME;
W;Breach; ;153;10;11;6; ;105;21%;1;0;NXL LIGAGAME;
W;Breach; ;246;19;14;6; ;142;23%;3;1;NXL LIGAGAME;
L;Breach; ;151;8;16;2; ;90;10%;1;1;NXL LIGAGAME;
L;Breach; ;147;12;21;10; ;79;27%;1;3;NXL LIGAGAME;
W;Phoenix; ;151;11;14;5; ;113;20%;0;0;NXL LIGAGAME;
L;Breach; ;152;10;18;9; ;98;24%;1;4;NXL LIGAGAME;
W;Breach; ;140;9;11;8; ;157;21%;1;2;NXL LIGAGAME;
W;Breach; ;214;13;9;10; ;129;28%;0;0;NXL LIGAGAME;
L;Phoenix; ;302;23;16;9; ;190;25%;9;1;NXL LIGAGAME;
L;Breach; ;194;12;17;5; ;90;18%;1;2;NXL LIGAGAME;
W;Breach; ;145;15;22;6; ;88;16%;0;3;NXL LIGAGAME;
W;Sage; ;108;9;20;4; ;54;22%;1;8;NXL LIGAGAME;
L;Breach; ;73;3;16;5; ;53;28%;0;1;NXL LIGAGAME;
W;Breach; ;177;16;17;8; ;149;32%;2;1;NXL LIGAGAME;
L;Breach; ;150;12;16;7; ;88;26%;0;1;NXL LIGAGAME;
W;Sage; ;261;19;14;8; ;145;22%;4;1;NXL LIGAGAME;
