map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Team blue_mx;
W;None;0;0;0;0;0;0;0;0;0;0;Team blue_mx;
W;None;0;0;0;0;0;0;0;0;0;0;Team blue_mx;
L;None;0;0;0;0;0;0;0;0;0;0;Team blue_mx;
W;None;0;0;0;0;0;0;0;0;0;0;Team blue_mx;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
L;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
L;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;None;0;0;0;0;0;0;0;0;0;0;Estral Esports;
W;Cypher; ;177;15;16;5; ;158;32%;2;3;INFINITY;
W;Cypher; ;216;18;18;1; ;114;30%;3;4;INFINITY;
W;Cypher; ;207;16;9;1; ;118;48%;2;3;INFINITY;
W;Cypher; ;155;13;17;6; ;84;25%;3;5;INFINITY;
W;Cypher; ;197;13;7;3; ;126;27%;0;2;INFINITY;
L;Killjoy; ;188;15;15;7; ;125;12%;2;2;INFINITY;
W;Cypher; ;367;28;11;2; ;211;34%;3;1;INFINITY;
L;Raze; ;177;9;14;0; ;118;27%;1;1;INFINITY;
W;Viper; ;284;20;11;1; ;158;30%;2;1;INFINITY;
L;Cypher; ;109;6;15;1; ;59;12%;2;4;INFINITY;
W;Viper; ;106;6;8;5; ;83;18%;0;3;INFINITY;
W;Omen; ;162;12;12;4; ;169;20%;1;2;INFINITY;
W;Omen; ;200;13;7;6; ;169;23%;1;0;INFINITY;
W;Cypher; ;150;11;10;6; ;114;23%;2;0;INFINITY;
L;Omen; ;152;12;17;2; ;101;20%;2;0;INFINITY;
L;Viper; ;116;9;19;4; ;85;25%;1;1;INFINITY;
W;Omen; ;244;19;9;1; ;162;58%;0;0;INFINITY;
W;Omen; ;175;11;9;3; ;103;25%;1;1;INFINITY;
W;Omen; ;232;16;13;1; ;200;26%;1;1;INFINITY;
L;Viper; ;208;14;14;2; ;103;33%;0;1;INFINITY;
W;Omen; ;244;12;9;8; ;128;23%;2;0;INFINITY;
W;Viper; ;293;22;15;5; ;184;28%;4;0;INFINITY;
W;Omen; ;176;16;15;3; ;122;30%;1;2;INFINITY;
W;Omen; ;200;16;13;8; ;133;24%;3;2;INFINITY;
W;Omen; ;229;18;15;3; ;129;45%;2;2;INFINITY;
L;Omen; ;201;14;13;2; ;126;42%;1;0;INFINITY;
L;Omen; ;206;15;19;7; ;178;18%;4;0;INFINITY;
L;Viper; ;197;17;17;1; ;100;17%;1;4;INFINITY;
L;Omen; ;201;18;12;6; ;160;24%;3;2;INFINITY;
W;Omen; ;161;13;12;3; ;86;14%;0;4;INFINITY;
W;Omen; ;272;16;5;5; ;157;54%;3;1;INFINITY;
W;Omen; ;120;7;4;4; ;61;24%;2;1;INFINITY;
W;Omen; ;180;20;24;10; ;129;37%;2;2;INFINITY;
L;Viper; ;105;6;16;2; ;67;20%;0;2;INFINITY;
L;Omen; ;189;10;15;6; ;85;10%;1;2;INFINITY;
W;Cypher; ;183;14;12;6; ;178;27%;0;1;INFINITY;
W;Cypher; ;89;7;9;4; ;66;33%;0;2;INFINITY;
W;Cypher; ;203;13;11;8; ;131;21%;1;2;INFINITY;
L;Killjoy; ;194;13;12;3; ;339;21%;2;1;INFINITY;
W;Cypher; ;135;11;14;3; ;72;23%;0;2;INFINITY;
W;Killjoy; ;123;11;16;1; ;74;17%;2;3;INFINITY;
W;Cypher; ;240;15;11;5; ;144;31%;1;2;INFINITY;
W;Cypher; ;192;17;20;7; ;115;40%;2;2;INFINITY;
W;Killjoy; ;177;9;8;4; ;100;20%;1;1;INFINITY;
W;Cypher; ;122;9;12;6; ;74;31%;2;4;INFINITY;
W;Cypher; ;203;23;18;7; ;131;30%;2;2;INFINITY;
W;Killjoy; ;147;10;19;10; ;109;14%;0;5;INFINITY;
W;Killjoy; ;256;23;15;2; ;162;22%;2;2;INFINITY;
W;Cypher; ;161;10;10;2; ;146;26%;1;1;INFINITY;
W;Cypher; ;186;16;16;7; ;119;50%;4;4;INFINITY;
W;Cypher; ;209;16;14;6; ;133;28%;3;2;INFINITY;
L;Cypher; ;160;17;20;8; ;118;32%;2;2;INFINITY;
L;None;0;0;0;0;0;0;0;0;0;0;INFINITY;
W;Killjoy; ;173;10;9;6; ;131;18%;2;0;INFINITY;
W;Killjoy; ;205;17;15;5; ;119;23%;3;2;INFINITY;
W;Cypher; ;200;15;12;5; ;135;23%;1;0;INFINITY;
L;Cypher; ;199;15;15;4; ;182;33%;1;1;INFINITY;
L;Killjoy; ;164;10;15;7; ;103;16%;1;0;INFINITY;
W;Killjoy; ;190;14;13;1; ;119;29%;1;3;INFINITY;
W;Killjoy; ;104;6;10;1; ;55;21%;1;4;INFINITY;
W;Cypher; ;265;16;9;6; ;193;27%;3;0;INFINITY;
W;Killjoy; ;113;9;16;6; ;83;13%;3;1;INFINITY;
L;Killjoy; ;161;12;17;3; ;93;15%;0;3;INFINITY;
L;Sova; ;251;15;14;9; ;166;21%;1;1;INFINITY;
W;Killjoy; ;202;14;13;3; ;134;25%;2;2;INFINITY;
W;Cypher; ;98;10;21;2; ;58;32%;2;4;INFINITY;
L;Omen; ;150;13;19;3; ;93;18%;2;5;INFINITY;
W;Sova; ;179;13;16;7; ;110;33%;0;2;INFINITY;
L;Breach; ;199;10;15;6; ;109;22%;1;2;INFINITY;
W;Killjoy;1.02;174;13;9;1;65%;102;17%;1;3;INFINITY;
W;Killjoy;1.30;206;14;8;2;94%;151;37%;2;0;INFINITY;
W;Cypher;0.85;140;11;13;3;59%;87;22%;2;2;INFINITY;
W;Killjoy;0.88;127;9;11;3;74%;86;15%;0;3;INFINITY;
W;Killjoy;1.31;207;11;5;1;86%;142;34%;1;0;INFINITY;
W;Killjoy;1.33;260;17;8;2;88%;159;11%;2;0;INFINITY;
W;Cypher;0.72;149;11;14;2;63%;96;19%;3;2;INFINITY;
L;Killjoy;0.75;161;9;17;2;45%;112;24%;3;1;INFINITY;
W;Viper;0.86;180;21;20;6;73%;111;44%;2;3;INFINITY;
L;Viper;0.75;164;11;15;4;68%;96;27%;0;2;INFINITY;
W;Killjoy;0.82;141;12;16;1;42%;98;29%;2;1;INFINITY;
W;Viper;1.13;190;16;13;7;75%;159;43%;2;0;INFINITY;
W;Killjoy;0.81;129;7;11;2;63%;91;21%;1;0;INFINITY;
W;Viper;0.42;86;5;18;5;46%;68;21%;0;3;INFINITY;
W;Killjoy;0.99;220;17;13;4;70%;135;26%;1;3;INFINITY;
L;Killjoy;0.32;95;3;15;4;29%;83;19%;0;5;INFINITY;
W;Killjoy;1.23;257;17;12;1;79%;169;20%;3;2;INFINITY;
W;Killjoy;1.07;161;10;10;6;71%;96;12%;3;2;INFINITY;
L;Killjoy;0.85;211;16;15;2;73%;123;31%;2;2;INFINITY;
L;Cypher;0.37;85;7;16;1;47%;49;23%;0;4;INFINITY;
W;Viper;1.15;157;11;8;4;67%;102;46%;0;1;INFINITY;
L;Killjoy;0.35;87;4;11;0;43%;40;13%;0;1;INFINITY;
W;Killjoy;1.11;256;16;10;2;82%;158;28%;5;3;INFINITY;
W;Viper;0.81;198;16;20;8;65%;138;36%;3;1;INFINITY;
W;Viper;0.65;180;17;22;3;62%;108;29%;3;3;INFINITY;
L;Killjoy;0.61;157;12;20;4;67%;102;15%;1;4;INFINITY;
L;Killjoy;0.83;162;12;12;3;68%;105;23%;2;2;INFINITY;
W;Viper;1.32;228;15;8;5;79%;129;22%;3;1;INFINITY;
W;Killjoy;1.25;227;17;9;4;95%;144;18%;2;1;INFINITY;
W;Viper;1.28;252;19;12;9;83%;151;24%;1;3;INFINITY;
L;Killjoy;0.74;134;10;17;5;63%;97;19%;0;2;INFINITY;
W;Viper;0.92;181;13;16;10;71%;109;37%;2;0;INFINITY;
W;Viper;1.22;183;13;9;6;68%;114;29%;1;2;INFINITY;
W;Killjoy;0.99;153;11;12;4;75%;104;20%;1;4;INFINITY;
L;Killjoy;1.06;219;17;14;2;74%;146;33%;1;3;INFINITY;
L;Killjoy;0.40;130;6;14;1;50%;72;16%;0;1;INFINITY;
W;Viper;0.86;165;12;15;7;74%;104;26%;0;1;INFINITY;
