map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Killjoy; ;142;9;6;5; ;81;8%;1;1;100 Thieves;
W;Killjoy; ;259;18;12;6; ;160;13%;2;2;100 Thieves;
W;Killjoy; ;119;11;20;2; ;75;16%;1;6;100 Thieves;
L;Killjoy; ;235;13;14;2; ;145;16%;2;2;100 Thieves;
W;Killjoy; ;258;24;19;5; ;171;11%;2;4;100 Thieves;
W;Killjoy; ;246;14;12;3; ;139;21%;3;1;100 Thieves;
W;Killjoy; ;295;15;7;7; ;207;8%;4;2;100 Thieves;
L;Killjoy; ;201;11;14;6; ;126;11%;0;2;100 Thieves;
L;Killjoy; ;111;7;14;0; ;129;10%;3;2;100 Thieves;
W;Killjoy; ;249;15;12;9; ;169;13%;1;4;100 Thieves;
W;Killjoy; ;227;13;9;2; ;130;13%;2;2;100 Thieves;
L;Killjoy; ;279;17;15;5; ;165;16%;3;2;100 Thieves;
W;Killjoy; ;175;12;11;5; ;110;12%;1;0;100 Thieves;
L;Killjoy; ;188;11;18;7; ;136;10%;2;1;100 Thieves;
L;Killjoy; ;174;14;16;7; ;190;13%;1;1;100 Thieves;
W;Killjoy; ;187;11;8;3; ;139;11%;1;3;100 Thieves;
W;Killjoy; ;249;20;19;3; ;161;16%;1;0;100 Thieves;
W;Killjoy; ;294;21;13;3; ;169;19%;2;0;100 Thieves;
W;Killjoy; ;102;8;22;6; ;79;13%;1;3;100 Thieves;
W;Killjoy; ;142;8;13;8; ;116;13%;1;3;100 Thieves;
L;Killjoy; ;150;11;17;2; ;113;17%;1;2;100 Thieves;
W;Killjoy; ;283;22;14;8; ;181;20%;4;2;100 Thieves;
L;Killjoy; ;149;7;14;1; ;95;10%;0;2;100 Thieves;
L;Killjoy; ;236;17;15;8; ;160;20%;1;3;100 Thieves;
L;Killjoy; ;153;9;16;4; ;116;11%;2;0;100 Thieves;
W;Cypher; ;204;16;16;9; ;118;28%;4;1;100 Thieves;
W;Cypher; ;137;10;19;7; ;83;27%;2;4;100 Thieves;
W;Cypher; ;173;16;19;5; ;111;19%;1;1;100 Thieves;
L;Cypher; ;198;14;18;1; ;132;26%;2;5;100 Thieves;
W;Cypher; ;249;19;17;8; ;160;22%;3;1;100 Thieves;
W;Killjoy; ;206;18;17;5; ;165;19%;4;1;100 Thieves;
W;Cypher; ;184;14;18;8; ;127;24%;3;3;100 Thieves;
L;Killjoy; ;202;11;16;5; ;135;18%;1;4;100 Thieves;
W;Cypher; ;146;8;15;9; ;100;20%;0;5;100 Thieves;
W;Killjoy; ;370;16;7;4; ;265;17%;4;0;100 Thieves;
W;Killjoy; ;203;15;16;10; ;144;18%;2;5;100 Thieves;
W;Killjoy; ;246;16;12;6; ;164;20%;1;2;100 Thieves;
L;Cypher; ;165;12;15;0; ;95;11%;2;3;100 Thieves;
W;Killjoy; ;168;16;17;6; ;108;8%;2;1;100 Thieves;
L;Cypher; ;239;18;20;5; ;168;31%;2;1;100 Thieves;
W;Cypher; ;217;14;16;7; ;147;22%;6;1;100 Thieves;
W;Killjoy; ;296;16;5;1; ;153;18%;2;0;100 Thieves;
W;Killjoy; ;253;20;15;6; ;166;11%;3;3;100 Thieves;
L;Cypher; ;137;10;20;7; ;81;30%;3;3;100 Thieves;
W;Killjoy; ;175;9;7;4; ;103;10%;1;0;100 Thieves;
L;Cypher; ;215;19;20;6; ;144;14%;1;1;100 Thieves;
L;Killjoy; ;195;14;20;4; ;130;13%;2;3;100 Thieves;
W;Cypher; ;129;8;9;3; ;85;11%;1;2;100 Thieves;
W;Cypher; ;102;4;3;7; ;56;11%;2;1;100 Thieves;
W;Cypher; ;232;12;9;11; ;199;10%;1;0;100 Thieves;
W;Killjoy; ;234;18;13;6; ;137;20%;2;1;100 Thieves;
W;Cypher; ;169;13;12;6; ;98;25%;3;2;100 Thieves;
W;Killjoy; ;313;19;9;6; ;178;12%;3;2;100 Thieves;
W;Cypher; ;134;9;16;8; ;88;9%;1;4;100 Thieves;
W;Killjoy; ;266;14;9;10; ;175;9%;3;0;100 Thieves;
W;Killjoy; ;178;9;7;1; ;102;18%;2;2;100 Thieves;
W;Killjoy; ;286;24;12;0; ;166;28%;5;2;100 Thieves;
W;Killjoy; ;170;11;14;6; ;123;13%;2;2;100 Thieves;
L;Killjoy; ;250;18;18;4; ;150;18%;7;3;100 Thieves;
L;Cypher; ;230;16;16;4; ;147;17%;3;3;100 Thieves;
W;Cypher; ;205;18;21;11; ;115;22%;4;3;100 Thieves;
W;Killjoy; ;147;8;11;5; ;102;11%;2;4;100 Thieves;
L;Killjoy; ;212;13;15;2; ;135;29%;1;3;100 Thieves;
L;Cypher; ;146;6;14;4; ;105;13%;1;3;100 Thieves;
W;Cypher; ;241;26;25;12; ;139;16%;5;3;100 Thieves;
L;Cypher; ;228;15;18;3; ;138;18%;2;6;100 Thieves;
L;Killjoy; ;222;10;17;6; ;148;18%;6;1;100 Thieves;
W;Cypher; ;263;21;16;3; ;135;16%;5;2;100 Thieves;
L;Killjoy; ;257;10;14;0; ;150;16%;2;3;100 Thieves;
W;Killjoy; ;220;15;16;3; ;163;13%;1;2;100 Thieves;
W;Killjoy; ;253;16;11;1; ;128;24%;1;3;100 Thieves;
W;Killjoy; ;184;11;14;8; ;121;20%;2;4;100 Thieves;
W;Killjoy; ;184;22;19;6; ;113;18%;3;6;100 Thieves;
L;Cypher; ;138;9;15;3; ;132;19%;0;4;100 Thieves;
W;Cypher; ;164;11;9;4; ;89;22%;0;2;100 Thieves;
W;Killjoy; ;137;9;15;4; ;86;11%;0;5;100 Thieves;
W;Killjoy; ;329;16;6;4; ;203;17%;4;0;100 Thieves;
W;None;0;0;0;0;0;0;0;0;0;0;100 Thieves;
L;Killjoy; ;81;5;15;2; ;63;16%;1;3;100 Thieves;
L;Cypher; ;225;15;18;8; ;123;20%;2;4;100 Thieves;
W;Killjoy; ;229;23;18;4; ;137;17%;3;5;100 Thieves;
W;Cypher; ;190;13;15;4; ;127;21%;3;2;100 Thieves;
L;Killjoy; ;152;7;15;2; ;109;34%;1;5;100 Thieves;
L;Cypher; ;146;15;24;5; ;104;23%;2;7;100 Thieves;
L;Killjoy; ;180;12;14;5; ;130;11%;2;1;100 Thieves;
L;Killjoy; ;143;11;23;4; ;98;13%;2;3;100 Thieves;
W;Cypher;1.20;206;11;7;4;73%;124;28%;0;1;100 Thieves;
W;Astra;0.81;111;8;10;5;65%;67;27%;0;3;100 Thieves;
W;Killjoy;0.87;162;8;11;4;65%;117;16%;2;2;100 Thieves;
W;Cypher;1.34;179;12;7;6;94%;134;24%;1;0;100 Thieves;
W;Killjoy;1.17;208;17;11;3;85%;124;10%;4;4;100 Thieves;
W;Killjoy;1.13;216;11;8;5;86%;111;4%;2;1;100 Thieves;
W;Killjoy;0.98;187;13;11;2;83%;134;18%;4;4;100 Thieves;
W;Cypher;0.81;140;12;14;7;67%;68;26%;1;3;100 Thieves;
W;Killjoy;1.10;276;17;12;2;90%;173;30%;2;4;100 Thieves;
W;Cypher;1.25;256;21;16;5;82%;163;29%;5;1;100 Thieves;
W;Killjoy;1.06;210;17;16;3;70%;154;28%;2;4;100 Thieves;
W;Killjoy;0.58;165;9;16;5;74%;93;15%;1;4;100 Thieves;
W;Cypher;1.04;188;11;11;6;94%;112;26%;4;0;100 Thieves;
L;Killjoy;0.83;162;15;19;2;73%;117;24%;6;4;100 Thieves;
W;Cypher;0.92;176;8;10;12;82%;125;11%;1;4;100 Thieves;
W;Killjoy;1.07;229;22;17;0;64%;147;19%;3;3;100 Thieves;
L;Killjoy;0.87;160;13;18;6;71%;114;21%;1;6;100 Thieves;
W;Astra;1.06;189;16;14;3;83%;115;27%;1;0;100 Thieves;
W;Cypher;0.83;127;11;13;7;67%;80;14%;0;3;100 Thieves;
W;Killjoy;1.15;234;18;14;4;77%;159;15%;3;5;100 Thieves;
W;Killjoy;0.97;184;13;14;4;78%;128;20%;4;2;100 Thieves;
L;Cypher;0.88;210;16;18;5;58%;141;15%;4;7;100 Thieves;
W;Killjoy;1.55;329;18;10;3;88%;183;15%;5;1;100 Thieves;
L;Cypher;0.88;196;11;14;3;53%;122;18%;2;3;100 Thieves;
L;Cypher;0.64;130;10;19;10;63%;101;24%;1;3;100 Thieves;
W;Killjoy;0.90;146;11;12;2;71%;117;25%;1;1;100 Thieves;
L;Cypher;0.90;176;14;16;5;58%;125;16%;2;4;100 Thieves;
W;Skye;0.72;157;8;9;4;79%;101;21%;3;4;100 Thieves;
W;Killjoy;0.93;119;10;10;1;65%;77;15%;0;2;100 Thieves;
W;Skye;0.71;135;12;16;5;67%;85;33%;0;3;100 Thieves;
W;Killjoy;1.26;199;14;7;2;89%;120;26%;2;0;100 Thieves;
L;Killjoy;1.06;207;18;15;3;79%;127;16%;3;3;100 Thieves;
W;Killjoy;0.89;202;13;16;5;65%;109;17%;5;2;100 Thieves;
W;Cypher;0.72;123;6;14;6;68%;81;11%;2;1;100 Thieves;
L;Killjoy;1.07;240;18;17;2;64%;162;15%;3;2;100 Thieves;
W;Cypher; ; ;13;17;6; ; ; ; ; ;100 Thieves;
W;Killjoy;0.84;182;13;14;4;62%;107;14%;3;4;100 Thieves;
W;Killjoy;0.88;168;21;24;9;78%;115;15%;4;6;100 Thieves;
W;Cypher;0.91;212;14;12;2;50%;125;23%;1;3;100 Thieves;
W;Cypher;1.08;239;18;16;4;68%;139;20%;6;4;100 Thieves;
W;Killjoy;1.52;305;22;13;5;90%;192;31%;4;1;100 Thieves;
L;Cypher;0.92;163;16;17;4;62%;93;19%;2;4;100 Thieves;
W;Killjoy;0.46;121;7;16;3;53%;84;19%;2;5;100 Thieves;
L;Killjoy;0.97;260;20;19;3;65%;155;15%;5;2;100 Thieves;
L;Cypher;0.84;160;16;20;5;68%;96;18%;2;4;100 Thieves;
L;Skye;0.58;109;8;18;5;48%;67;19%;0;3;100 Thieves;
W;Kayo;1.15;193;12;12;18;79%;127;18%;1;1;100 Thieves;
W;Cypher;1.27;207;19;12;6;77%;128;16%;2;2;100 Thieves;
W;Kayo;1.34;225;19;15;18;75%;143;17%;2;2;100 Thieves;
W;Kayo;1.04;164;14;16;15;63%;106;18%;1;2;100 Thieves;
L;Kayo;0.46;115;5;14;3;53%;65;31%;1;3;100 Thieves;
L;Kayo;1.02;214;15;15;5;67%;145;22%;2;6;100 Thieves;
L;Kayo;1.03;175;11;14;11;89%;98;19%;1;2;100 Thieves;
W;Cypher;1.20;252;19;15;10;74%;168;25%;4;1;100 Thieves;
W;Kayo;0.95;204;17;16;8;74%;127;26%;3;3;100 Thieves;
L;Killjoy;0.30;76;4;18;3;48%;48;37%;1;5;100 Thieves;
W;Kayo;1.38;239;15;10;16;94%;152;12%;2;1;100 Thieves;
L;Jett;0.84;220;20;22;2;67%;125;24%;6;4;100 Thieves;
W;Cypher;0.94;198;15;15;3;58%;112;17%;3;4;100 Thieves;
L;Kayo;0.95;231;13;16;9;74%;139;15%;2;3;100 Thieves;
L;Kayo;0.75;189;9;15;8;61%;109;5%;2;3;100 Thieves;
W;Kayo;1.41;248;15;10;8;81%;153;24%;3;3;100 Thieves;
W;Killjoy;1.01;176;12;13;2;84%;127;25%;2;1;100 Thieves;
L;Kayo;0.43;111;6;16;3;61%;83;18%;0;4;100 Thieves;
W;Killjoy;0.80;208;16;20;4;58%;135;27%;1;2;100 Thieves;
W;Kayo;0.84;151;12;17;10;78%;99;12%;0;3;100 Thieves;
L;Killjoy;0.77;173;11;19;7;64%;124;17%;1;1;100 Thieves;
W;Killjoy;0.87;131;11;12;1;52%;90;20%;2;1;100 Thieves;
W;Viper;1.28;213;19;14;14;69%;146;26%;1;3;100 Thieves;
L;Killjoy;0.77;187;9;15;4;50%;127;21%;1;4;100 Thieves;
L;Killjoy;0.71;143;9;16;4;48%;102;21%;0;2;100 Thieves;
