map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;None;0;0;0;0;0;0;0;0;0;0;Velocity Gaming;
W;None;0;0;0;0;0;0;0;0;0;0;Velocity Gaming;
W;Cypher; ;249;14;9;6; ;132;22%;1;2;Velocity Gaming;
W;Cypher; ;195;11;7;4; ;120;32%;3;0;Velocity Gaming;
W;Cypher; ;174;15;17;7; ;114;24%;2;4;Velocity Gaming;
W;Cypher; ;196;15;10;1; ;120;56%;3;0;Velocity Gaming;
W;Cypher; ;335;24;12;3; ;213;25%;2;2;Velocity Gaming;
W;Cypher; ;117;8;15;5; ;71;15%;1;2;Velocity Gaming;
W;Cypher; ;154;8;6;3; ;91;16%;1;0;Velocity Gaming;
W;Cypher; ;244;18;14;4; ;153;33%;3;1;Velocity Gaming;
W;Cypher; ;156;9;9;4; ;110;26%;1;1;Velocity Gaming;
W;Cypher; ;202;13;14;3; ;121;23%;1;3;Velocity Gaming;
W;Cypher; ;181;11;11;5; ;121;23%;2;1;Velocity Gaming;
L;Cypher; ;178;15;20;4; ;122;26%;3;2;Velocity Gaming;
L;Cypher; ;204;19;19;4; ;130;28%;1;4;Velocity Gaming;
W;Cypher; ;176;14;14;3; ;114;35%;1;2;Velocity Gaming;
L;Cypher; ;156;10;16;4; ;96;17%;1;4;Velocity Gaming;
W;Cypher; ;162;12;15;4; ;97;20%;2;1;Velocity Gaming;
L;Cypher; ;191;14;19;6; ;138;30%;0;1;Velocity Gaming;
W;Cypher; ;169;12;13;4; ;106;16%;0;2;Velocity Gaming;
W;Cypher; ;233;18;14;7; ;133;29%;3;1;Velocity Gaming;
L;Cypher; ;159;10;15;2; ;110;36%;1;1;Velocity Gaming;
W;Cypher; ;177;10;8;7; ;103;21%;2;1;Velocity Gaming;
L;Cypher; ;141;12;18;7; ;80;22%;1;4;Velocity Gaming;
W;Cypher; ;196;13;9;8; ;133;26%;1;1;Velocity Gaming;
W;Cypher; ;172;12;11;4; ;85;53%;4;0;Velocity Gaming;
W;Cypher; ;103;9;15;5; ;71;31%;0;3;Velocity Gaming;
W;Cypher; ;215;14;15;4; ;128;21%;2;1;Velocity Gaming;
W;Brimstone;1.00;188;19;18;7;77%;125;26%;4;3;Team Mahi;
W;Omen;1.01;175;13;12;8;70%;110;22%;2;1;Team Mahi;
W;Omen;0.79;188;12;16;4;70%;111;20%;2;2;Team Mahi;
W;Cypher;1.44;301;20;9;6;88%;183;33%;3;0;Velocity Gaming;
W;Viper;1.26;264;19;13;6;75%;160;24%;3;2;Velocity Gaming;
L;Cypher;0.86;179;12;14;3;53%;98;26%;2;0;Velocity Gaming;
W;Killjoy;0.99;204;13;12;2;72%;113;25%;0;2;Velocity Gaming;
W;Killjoy;1.14;248;17;12;2;80%;146;24%;1;1;Velocity Gaming;
W;Killjoy;1.08;193;14;13;3;75%;119;14%;1;3;Velocity Gaming;
L;Viper;1.12;227;17;17;9;70%;144;26%;5;3;Velocity Gaming;
L;Killjoy;0.91;167;13;18;8;71%;111;21%;1;1;Velocity Gaming;
W;Killjoy;1.37;292;18;12;5;83%;181;28%;4;1;Velocity Gaming;
W;Killjoy;1.21;338;21;15;5;83%;194;14%;3;1;Velocity Gaming;
W;Killjoy;1.82;294;16;4;2;93%;153;28%;1;2;Velocity Gaming;
L;Killjoy;0.64;158;10;16;1;67%;104;18%;2;1;Velocity Gaming;
W;Killjoy;1.25;282;19;11;2;89%;164;31%;3;0;Velocity Gaming;
L;Killjoy;0.73;139;12;16;2;63%;91;23%;0;2;Velocity Gaming;
W;Viper;0.85;115;7;14;6;58%;78;26%;2;2;Velocity Gaming;
W;Killjoy;1.23;254;20;13;1;68%;164;27%;5;3;Velocity Gaming;
W;Killjoy;1.20;231;15;9;5;78%;138;23%;1;1;Velocity Gaming;
W;Viper;0.93;163;12;12;2;58%;102;22%;1;1;Velocity Gaming;
L;Killjoy;0.71;56;2;14;3;80%;36;24%;1;1;Velocity Gaming;
W;Killjoy;1.51;317;18;10;5;94%;200;22%;6;2;Velocity Gaming;
L;Viper;0.69;161;13;16;2;62%;92;10%;2;0;Velocity Gaming;
