map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Raze; ;413;23;8;5; ;255;26%;2;2;TopHard Esports;
W;Jett; ;216;15;10;3; ;135;27%;2;1;TopHard Esports;
L;Jett; ;186;14;16;5; ;158;21%;3;4;TopHard Esports;
L;Jett; ;233;17;16;2; ;143;16%;2;4;TopHard Esports;
W;Jett; ;246;18;12;3; ;148;25%;4;0;LDM Esports;
W;Jett; ;264;16;8;4; ;127;18%;4;2;LDM Esports;
W;Jett; ;283;26;18;6; ;165;12%;4;2;LDM Esports;
W;Jett; ;279;19;13;4; ;166;23%;4;2;LDM Esports;
W;Jett; ;264;22;16;3; ;135;19%;6;4;LDM Esports;
W;Jett; ;313;21;13;6; ;176;13%;4;2;LDM Esports;
L;Jett; ;137;7;18;5; ;90;11%;3;4;LDM Esports;
L;Jett; ;182;13;18;5; ;123;26%;1;1;LDM Esports;
L;Jett; ;236;18;17;5; ;141;25%;6;2;LDM Esports;
L;Jett; ;154;12;18;3; ;82;11%;3;4;LDM Esports;
L;Jett; ;276;28;19;12; ;206;17%;4;1;LDM Esports;
W;Jett; ;379;27;10;4; ;186;13%;6;0;LDM Esports;
W;Jett; ;279;19;10;2; ;165;20%;2;2;LDM Esports;
W;Reyna; ;308;17;7;4; ;185;22%;3;1;LDM Esports;
W;Reyna; ;169;9;12;8; ;111;10%;0;3;LDM Esports;
L;Jett; ;219;15;13;3; ;138;15%;3;4;LDM Esports;
W;Jett; ;286;22;13;4; ;164;19%;5;2;LDM Esports;
W;Jett; ;408;20;3;2; ;224;24%;6;1;LDM Esports;
W;Reyna; ;283;14;6;3; ;157;6%;3;0;LDM Esports;
W;Jett; ;255;18;10;4; ;175;13%;3;2;LDM Esports;
W;Jett; ;352;23;8;3; ;189;9%;4;1;LDM Esports;
L;Reyna; ;224;17;19;6; ;121;13%;6;3;LDM Esports;
L;Phoenix; ;197;11;15;4; ;175;21%;2;2;LDM Esports;
L;Reyna; ;164;13;18;9; ;104;20%;4;3;LDM Esports;
W;Jett; ;480;24;4;2; ;291;37%;4;1;LDM Esports;
W;Jett; ;216;13;9;0; ;120;14%;4;3;LDM Esports;
L;Jett; ;242;13;14;1; ;134;18%;3;5;LDM Esports;
W;Jett; ;162;10;13;6; ;125;10%;2;2;LDM Esports;
L;Jett; ;181;11;15;1; ;88;27%;3;6;LDM Esports;
L;Jett; ;214;15;18;5; ;141;12%;5;0;LDM Esports;
W;Jett; ;259;16;14;6; ;134;17%;8;4;LDM Esports;
W;Jett; ;203;13;11;5; ;143;15%;2;3;LDM Esports;
W;Jett; ;341;27;16;7; ;184;16%;7;2;LDM Esports;
L;Jett; ;165;10;17;4; ;101;11%;4;1;LDM Esports;
W;Jett; ;330;19;10;3; ;163;19%;6;2;LDM Esports;
L;Jett; ;243;18;16;6; ;155;22%;5;4;LDM Esports;
L;Jett; ;298;24;18;4; ;177;15%;6;5;LDM Esports;
W;Jett; ;364;25;15;1; ;177;19%;5;4;LDM Esports;
W;Jett; ;183;12;16;8; ;116;12%;5;4;LDM Esports;
W;Jett; ;319;31;18;9; ;209;15%;6;3;LDM Esports;
W;Jett; ;174;11;15;5; ;117;16%;5;3;LDM Esports;
L;Jett; ;237;22;21;7; ;149;12%;6;5;LDM Esports;
L;Jett; ;158;9;16;6; ;144;7%;2;6;LDM Esports;
W;Jett; ;309;17;7;6; ;171;17%;3;2;LDM Esports;
W;Jett; ;346;25;8;2; ;177;7%;4;3;LDM Esports;
L;Jett; ;225;14;18;5; ;148;14%;4;3;LDM Esports;
L;Jett; ;125;6;17;6; ;84;6%;3;5;LDM Esports;
W;Jett; ;296;28;19;4; ;149;13%;7;4;LDM Esports;
W;Jett; ;261;36;34;7; ;152;14%;10;8;LDM Esports;
W;Phoenix; ;296;17;14;10; ;185;19%;3;0;LDM Esports;
W;Jett; ;278;24;22;7; ;149;19%;9;8;LDM Esports;
W;Jett; ;328;24;17;4; ;193;22%;4;6;LDM Esports;
W;Jett; ;283;16;12;3; ;168;20%;5;1;LDM Esports;
W;Phoenix; ;224;16;16;7; ;143;26%;1;2;Six Karma;
L;Jett; ;203;17;17;2; ;118;9%;6;5;Six Karma;
W;Jett; ;369;23;7;2; ;218;19%;5;1;Six Karma;
L;Breach; ;228;18;18;8; ;124;28%;6;4;Six Karma;
W;Jett; ;326;24;15;8; ;224;13%;4;8;Six Karma;
W;Sova; ;224;13;16;9; ;131;14%;3;1;Six Karma;
W;Sage; ;176;14;16;11; ;184;18%;2;4;Six Karma;
L;Cypher; ;164;13;18;8; ;91;14%;2;2;Six Karma;
W;Breach; ;259;16;10;12; ;137;32%;3;1;Six Karma;
W;Jett; ;341;22;13;11; ;215;21%;6;3;Six Karma;
W;Phoenix; ;200;15;15;10; ;127;21%;4;4;Six Karma;
L;Jett; ;265;16;15;5; ;167;19%;4;4;Six Karma;
L;Jett; ;192;14;20;3; ;128;12%;2;6;Six Karma;
W;Jett; ;267;15;12;5; ;181;16%;7;1;Six Karma;
L;Jett;0.65;151;10;19;6;57%;94;7%;4;3;Six Karma;
W;Jett;1.77;362;19;7;2;93%;204;20%;7;1;Six Karma;
W;Phoenix;1.40;302;21;14;8;86%;180;18%;3;3;Six Karma;
W;Jett;1.26;304;24;17;6;78%;183;14%;10;4;Six Karma;
W;Phoenix;1.28;246;15;9;7;83%;153;16%;2;2;Six Karma;
