map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Cypher; ;203;20;18;10; ;115;18%;2;2;Sk8tr Boyz;
L;Cypher; ;176;14;16;4; ;116;23%;3;1;Sk8tr Boyz;
L;Cypher; ;177;11;18;3; ;117;16%;1;0;Sk8tr Boyz;
W;Cypher; ;233;15;14;7; ;165;27%;0;1;down bad;
W;Cypher; ;188;19;22;4; ;123;25%;2;5;down bad;
L;Cypher; ;177;13;18;7; ;111;15%;1;3;down bad;
W;Cypher; ;240;15;12;7; ;149;17%;1;2;down bad;
L;Cypher; ;259;17;15;8; ;157;18%;7;1;down bad;
W;Killjoy; ;271;19;11;6; ;224;25%;4;2;down bad;
W;Cypher; ;204;15;16;8; ;118;9%;1;3;down bad;
W;Killjoy; ;230;24;21;5; ;153;20%;4;1;down bad;
L;Cypher; ;160;6;14;5; ;119;35%;0;1;down bad;
L;Cypher; ;146;14;16;8; ;101;23%;0;1;down bad;
L;Killjoy; ;164;13;16;3; ;108;13%;1;4;down bad;
L;Cypher; ;114;7;18;5; ;66;15%;2;1;down bad;
L;Killjoy; ;209;16;18;6; ;133;15%;2;2;down bad;
W;Omen; ;255;20;11;4; ;133;24%;2;1;Up Bad;
L;Omen; ;243;16;14;7; ;156;29%;2;2;Up Bad;
W;Killjoy; ;147;11;9;0; ;85;26%;1;2;PUGSTARS;
L;Cypher; ;169;10;16;4; ;109;18%;2;3;PUGSTARS;
L;Killjoy; ;76;4;15;2; ;59;9%;0;3;PUGSTARS;
W;Cypher; ;207;16;16;5; ;106;29%;3;2;PUGSTARS;
W;Cypher; ;196;11;7;8; ;104;13%;3;0;PUGSTARS;
L;Sage; ;199;14;14;3; ;114;30%;0;0;PUGSTARS;
W;Cypher; ;242;17;14;6; ;157;25%;2;3;PUGSTARS;
L;Cypher; ;105;6;17;5; ;82;21%;3;3;PUGSTARS;
W;Cypher; ;256;26;23;5; ;145;24%;8;0;PUGSTARS;
W;Cypher; ;206;19;18;4; ;115;37%;2;2;PUGSTARS;
W;Cypher; ;157;14;14;4; ;89;26%;0;3;PUGSTARS;
W;Cypher; ;224;16;15;8; ;155;29%;2;3;PUGSTARS;
L;Cypher; ;186;15;19;4; ;106;20%;3;3;PUGSTARS;
L;Cypher; ;163;7;14;2; ;95;17%;0;2;PUGSTARS;
L;Cypher;1.07;205;20;19;7;79%;132;26%;4;2;PUGSTARS;
W;Cypher;1.23;210;14;8;4;83%;121;11%;2;0;PUGSTARS;
L;Cypher;0.51;109;8;17;4;64%;58;17%;1;1;PUGSTARS;
L;Cypher;0.79;153;9;15;7;61%;112;29%;2;2;PUGSTARS;
W;Cypher;1.32;217;11;7;7;100%;168;33%;1;1;SoaR;
L;Cypher;0.72;165;15;20;6;46%;107;22%;1;2;SoaR;
L;Killjoy;0.76;169;12;16;2;68%;117;16%;2;0;SoaR;
W;Cypher;0.89;105;8;12;8;78%;85;14%;0;3;SoaR;
W;Cypher;1.31;213;17;11;7;70%;167;35%;3;3;SoaR;
W;Killjoy;0.88;151;13;16;6;54%;109;27%;0;3;SoaR;
W;Cypher;2.03;347;15;3;9;100%;230;22%;3;0;SoaR;
L;Sage;0.70;108;9;16;8;67%;68;29%;1;2;SoaR;
L;Killjoy;1.03;257;17;16;3;68%;164;25%;1;5;SoaR;
W;Cypher;1.14;213;14;12;7;83%;113;21%;2;1;SoaR;
W;Cypher;0.85;116;7;12;8;85%;81;17%;2;1;SoaR;
W;None;0;0;0;0;0;0;0;0;0;0;SoaR;
W;Killjoy;1.18;216;13;9;5;89%;149;24%;3;2;SoaR;
W;Cypher;0.83;158;15;17;6;69%;106;25%;1;4;SoaR;
L;Killjoy;0.95;192;16;15;3;58%;124;18%;2;4;SoaR;
L;Cypher;0.55;132;10;15;1;63%;77;30%;2;4;SoaR;
W;Killjoy;1.02;185;19;16;4;68%;120;19%;0;0;SoaR;
W;Sage;1.30;250;20;13;14;70%;142;15%;3;2;SoaR;
W;Cypher;1.27;202;14;8;4;76%;135;33%;1;2;SoaR;
W;Sage;0.99;121;10;11;16;83%;71;25%;1;1;SoaR;
L;Cypher;0.62;179;9;17;6;61%;110;20%;0;3;SoaR;
W;Killjoy;1.57;223;15;6;3;83%;147;15%;2;0;SoaR;
L;Cypher;0.79;190;14;16;5;71%;117;16%;1;4;SoaR;
W;Cypher;1.02;183;15;18;13;81%;120;21%;0;0;SoaR;
W;Sage;1.63;247;18;8;9;89%;135;19%;5;0;SoaR;
L;Cypher;0.34;84;5;14;2;59%;57;24%;0;5;SoaR;
W;Cypher;1.10;219;19;18;9;73%;153;18%;1;1;SoaR;
