map_result; agent; rating; acs; kills; deaths; assists; kast; adr; hs_percent; fk; fd; team;
W;Sova; ;295;23;14;6; ;188;27%;4;3;Kingsmen;
L;Sage; ;129;10;18;5; ;77;24%;1;4;Kingsmen;
L;Sova; ;93;5;14;3; ;58;28%;1;2;Kingsmen;
L;Sage; ;174;12;16;5; ;104;29%;1;4;Kingsmen;
W;Sova; ;196;13;14;8; ;143;18%;1;2;Kingsmen;
W;Sova; ;192;17;11;6; ;122;36%;1;1;Kingsmen;
L;Sova; ;191;14;17;3; ;108;33%;5;6;Kingsmen;
L;Raze; ;181;13;15;2; ;108;16%;3;2;Kingsmen;
L;Sova; ;160;9;16;6; ;109;9%;1;3;Kingsmen;
L;Raze; ;246;13;15;3; ;148;18%;2;2;Kingsmen;
L;Raze; ;205;13;16;7; ;137;19%;4;3;Kingsmen;
W;Killjoy; ;178;16;14;6; ;105;12%;1;4;Kingsmen;
L;Killjoy; ;150;10;16;2; ;163;17%;1;3;Kingsmen;
L;Cypher; ;152;5;12;0; ;105;13%;0;3;Kingsmen;
W;Cypher; ;198;17;15;3; ;166;38%;2;2;Kingsmen;
W;Killjoy; ;275;16;10;8; ;169;17%;1;2;Kingsmen;
W;Killjoy; ;180;11;9;5; ;96;22%;2;0;Kingsmen;
W;Killjoy; ;219;20;14;5; ;139;18%;1;0;Kingsmen;
W;Killjoy; ;258;14;9;10; ;161;17%;0;0;Kingsmen;
W;Killjoy; ;267;17;6;3; ;175;22%;2;1;Kingsmen;
L;Killjoy; ;230;18;18;6; ;140;25%;2;3;Kingsmen;
W;Killjoy; ;175;9;9;7; ;119;22%;2;3;Kingsmen;
W;Cypher; ;182;11;12;7; ;116;27%;2;1;Kingsmen;
L;Killjoy; ;161;10;16;4; ;90;13%;1;3;Kingsmen;
W;Killjoy; ;203;11;9;2; ;142;26%;1;1;Kingsmen;
L;Killjoy; ;210;17;18;8; ;144;28%;2;2;Kingsmen;
W;Cypher; ;193;14;11;8; ;123;46%;2;0;Kingsmen;
W;Killjoy; ;271;24;11;3; ;175;23%;2;1;Kingsmen;
W;Killjoy; ;308;14;11;6; ;176;17%;3;2;Kingsmen;
W;Killjoy; ;203;17;16;5; ;137;23%;3;2;Kingsmen;
L;Killjoy; ;144;8;15;2; ;105;23%;0;3;Kingsmen;
L;Killjoy; ;177;13;14;4; ;109;16%;1;0;Kingsmen;
L;Cypher; ;168;12;14;6; ;95;29%;2;3;Kingsmen;
W;Cypher; ;349;21;11;8; ;219;16%;3;0;Kingsmen;
W;Killjoy; ;213;17;17;5; ;133;13%;2;1;Kingsmen;
W;Cypher; ;230;16;15;8; ;154;16%;1;3;Kingsmen;
W;Killjoy; ;197;15;16;6; ;128;16%;3;3;Kingsmen;
L;Cypher; ;203;17;22;7; ;139;20%;0;4;Kingsmen;
