starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Obsidian Esports;Haven;AERIS;Melside;CyberFocus;crab1k;s3mig0d;fiendw0w;11:13;False;-;Friday, May 22nd, 6:00 PM CEST;Absolute Masters;url.net;
Attack;W;Obsidian Esports;Bind;AERIS;Melside;CyberFocus;crab1k;s3mig0d;fiendw0w;13:10;False;-;Friday, May 22nd, 6:00 PM CEST;Absolute Masters;url.net;
Attack;L;Obsidian Esports;Split;AERIS;Melside;CyberFocus;crab1k;s3mig0d;fiendw0w;7:13;False;-;Friday, May 22nd, 6:00 PM CEST;Absolute Masters;url.net;
None;None;BegripGaming;None;None;Player B1;Player B2;Player B3;Player B4;Player B5;0:0;False;00:00;Friday, June 19th, 6:00 PM CEST;Absolute Masters;None;
Attack;L;FABRIKEN;Bind;Decider;Melside;Sunset;fiendw0w;RAILWAY;crab1k;10:13;False;-;Monday, June 29th, 6:45 PM CEST;Rise of Titans;url.net;
Defense;W;MUTANTS;Haven;MUTANTS;Sadovnik;crab1k;MushroomY;fiendw0w;Insider;13:6;False;40:16;Saturday, August 22nd, 1:10 PM CEST;24cyber ORCs Cup Weekly;https://youtu.be/WUhmy0qT82E;
Attack;L;MUTANTS;Bind;MUTANTS;Sadovnik;crab1k;MushroomY;fiendw0w;Insider;10:13;False;45:01;Saturday, August 22nd, 1:10 PM CEST;24cyber ORCs Cup Weekly;https://youtu.be/WUhmy0qT82E?t=293;
Defense;W;MUTANTS;Ascent;MUTANTS;Sadovnik;crab1k;MushroomY;fiendw0w;Insider;13:7;False;38:12;Saturday, August 22nd, 1:10 PM CEST;24cyber ORCs Cup Weekly;https://youtu.be/WUhmy0qT82E?t=3075;
Attack;L;DPE;Haven;DPE;Insider;crab1k;fiendw0w;MushroomY;Sadovnik;8:13;False;43:04;Sunday, August 23rd, 1:00 PM CEST;24cyber ORCs Cup Weekly;https://youtu.be/H5WBuVWL1Sk;
Attack;L;DPE;Bind;DPE;Insider;crab1k;fiendw0w;MushroomY;Sadovnik;7:13;False;36:39;Sunday, August 23rd, 1:00 PM CEST;24cyber ORCs Cup Weekly;https://youtu.be/H5WBuVWL1Sk?t=298;
Attack;W;KABAHbl;Ascent;Decider;Sadovnik;crab1k;MushroomY;fiendw0w;Insider;13:11;False;48:49;Sunday, August 30th, 5:00 PM CEST;GLX Elite Series;url.net;
Attack;L;Entropiq;Haven;Entropiq;MushroomY;crab1k;Insider;Sadovnik;fiendw0w;6:13;False;38:46;Sunday, August 30th, 6:00 PM CEST;GLX Elite Series;url.net;
Defense;L;Entropiq;Ascent;Entropiq;MushroomY;crab1k;Insider;Sadovnik;fiendw0w;6:13;False;36:50;Sunday, August 30th, 6:00 PM CEST;GLX Elite Series;url.net;
Attack;L;Opportunists;Haven;Decider;crab1k;Insider;Sadovnik;MushroomY;fiendw0w;6:13;False;35:09;Sunday, September 6th, 4:00 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/733143182?t=0h15m18s;
Defense;L;ROX TEAM;Ascent;Decider;0nuqtive;Hunts;Sadovnik;SmartSeven;DoubleHowl;6:13;False;33:25;Monday, October 5th, 4:00 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761353108?t=0h20m29s;
Attack;L;BIG;Split;Decider;SmartSeven;Sadovnik;DoubleHowl;Hunts;0nuqtive;8:13;False;43:31;Monday, October 5th, 5:35 PM CEST;GLX Elite Series;https://www.twitch.tv/videos/761353108?t=1h25m21s;
