starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Entropiq Bravo;Split;Decider;Horcus;ease;Othax;Chechuu;heavnn;6:13;False;36:02;Monday, October 19th, 7:15 PM CEST;NGL Open Cup;url.net;
Defense;W;Cream Real Betis;Bind;Decider;heavnn;Othax;Horcus;Chechuu;ease;13:7;False;44:22;Wednesday, October 21st, 7:00 PM CEST;LVP Genesis Cup Viento;https://www.twitch.tv/videos/777260632?t=1h49m43s;
Attack;L;ex-Giants Gaming;Haven;Decider;heavnn;Othax;Horcus;Chechuu;ease;4:13;False;30:40;Wednesday, October 21st, 8:10 PM CEST;LVP Genesis Cup Viento;https://www.twitch.tv/videos/777260632?t=2h56m0s;
Defense;L;need more DM;Haven;Decider;Chechuu;Horcus;heavnn;Othax;ease;0:13;False;28:35;Wednesday, October 21st, 10:15 PM CEST;LVP Genesis Cup Viento;https://www.twitch.tv/videos/777260632?t=4h58m54s;
Attack;W;Entropiq;Haven;Decider;Horcus;heavnn;ease;Othax;Chechuu;13:10;False;40:54;Thursday, November 12th, 5:00 PM CET;First Strike: Europe;url.net;
Attack;L;Kamil Klein new chapter;Haven;Decider;heavnn;Othax;Horcus;Chechuu;ease;10:13;False;42:50;Thursday, November 12th, 6:10 PM CET;First Strike: Europe;url.net;
Defense;L;Dawn of Stars;Ascent;Decider;Othax;Chechuu;Horcus;heavnn;ease;0:13;False;24:43;Monday, November 16th, 6:00 PM CET;First Strike: Europe;url.net;
Attack;L;All Day Long;Bind;Decider;ease;Chechuu;Horcus;heavnn;Othax;6:13;False;37:51;Thursday, November 19th, 5:00 PM CET;First Strike: Europe;url.net;
Defense;L;Cream Real Betis;Haven;Decider;Othax;ease;Horcus;heavnn;Chechuu;5:13;False;35:03;Tuesday, November 24th, 7:00 PM CET;LVP Genesis Cup Sombras;https://www.twitch.tv/videos/814216861?t=1h48m39s;
Attack;L;Axsor;Haven;Decider;Horcus;ease;Othax;Chechuu;heavnn;10:13;False;40:12;Tuesday, November 24th, 9:00 PM CET;LVP Genesis Cup Sombras;https://www.twitch.tv/videos/814216861?t=3h42m32s;
Defense;W;need more DM;Haven;Decider;Horcus;heavnn;Othax;ease;Chechuu;13:10;False;43:55;Wednesday, December 2nd, 7:00 PM CET;LVP Genesis Cup Radiants;https://www.twitch.tv/videos/823170104?t=1h55m8s;
Defense;L;UCAM Esports Club;Bind;Decider;Horcus;ease;heavnn;Othax;Chechuu;6:13;False;35:35;Wednesday, December 2nd, 8:00 PM CET;LVP Genesis Cup Radiants;https://www.twitch.tv/videos/823170104?t=2h52m18s;
Attack;L;need more DM;Haven;Decider;Horcus;ease;Othax;Chechuu;heavnn;8:13;False;38:31;Wednesday, December 2nd, 10:00 PM CET;LVP Genesis Cup Radiants;https://www.twitch.tv/videos/823170104?t=4h46m28s;
Defense;W;Grow uP eSports;Ascent;Grow uP eSports;heavnn;Othax;ease;Chechuu;Horcus;13:3;False;27:11;Saturday, December 19th, 5:00 PM CET;Valorant Fast!;url.net;
Attack;W;Grow uP eSports;Haven;Grow uP eSports;heavnn;Othax;ease;Chechuu;Horcus;13:3;False;25:39;Saturday, December 19th, 5:00 PM CET;Valorant Fast!;url.net;
Attack;W;Eazy One Gaming;Ascent;Eazy One Gaming;Horcus;heavnn;Othax;Chechuu;ease;13:5;False;33:41;Saturday, December 19th, 7:30 PM CET;Valorant Fast!;url.net;
Defense;L;Eazy One Gaming;TBD;Eazy One Gaming;Horcus;heavnn;Othax;Chechuu;ease;0:0;False;-;Saturday, December 19th, 7:30 PM CET;Valorant Fast!;url.net;
Attack;W;FTW Esports;Ascent;Arctic;ease;Horcus;Othax;heavnn;Chechuu;13:8;False;44:31;Sunday, December 20th, 7:00 PM CET;Valorant Fast!;https://www.twitch.tv/videos/844195680?t=0h31m57s;
Defense;W;FTW Esports;Bind;Arctic;ease;Horcus;Othax;heavnn;Chechuu;13:3;False;28:01;Sunday, December 20th, 7:00 PM CET;Valorant Fast!;https://www.twitch.tv/videos/844195680?t=0h31m57s;
Attack;W;Team Queso;Haven;Team Queso;heavnn;Chechuu;Horcus;Othax;ease;13:6;False;34:22;Tuesday, December 22nd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/846566091?t=0h7m58s;
Defense;W;Team Queso;Bind;Team Queso;heavnn;Chechuu;Horcus;Othax;ease;13:11;False;44:31;Tuesday, December 22nd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/846566091?t=0h7m58s;
Attack;W;FTW Esports;Bind;Arctic;Horcus;Othax;heavnn;ease;Chechuu;13:8;False;43:27;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
Defense;L;FTW Esports;Ascent;Arctic;Horcus;Othax;heavnn;ease;Chechuu;6:13;False;36:04;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
Defense;L;FTW Esports;Split;Arctic;Horcus;Othax;heavnn;ease;Chechuu;4:13;False;31:22;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
