starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;L;FUT Esports;Split;Beşiktaş Esports;tugkanZ;ARGENT;foiz;tmhMM;nisay;3:13;False;30:31;Thursday, December 3rd, 2:00 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/824068508?t=02h29m28s;
Attack;L;FUT Esports;Ascent;Beşiktaş Esports;tugkanZ;ARGENT;foiz;tmhMM;nisay;6:13;False;39:53;Thursday, December 3rd, 2:00 PM CET;First Strike: Turkey;https://www.twitch.tv/videos/824068508?t=02h29m28s;
Defense;L;Anatolia Esports;Haven;Beşiktaş Esports;ARGENT;foiz;tmhMM;nisay;tugkanZ;5:13;False;35:25;Friday, December 4th, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/825192425?t=00h06m22s;
Attack;L;Anatolia Esports;Bind;Beşiktaş Esports;ARGENT;foiz;tmhMM;nisay;tugkanZ;10:13;False;48:43;Friday, December 4th, 11:00 AM CET;First Strike: Turkey;https://www.twitch.tv/videos/825164291?t=0h19m8s;
Defense;L;Crew Esports;Ascent;Decider;nisay;tugkanZ;tmhMM;foiz;ARGENT;14:16;True;1:01:35;Thursday, December 17th, 4:00 PM CET;Elite Invitational;url.net;
Defense;L;RARE Esports;Bind;Decider;nisay;foiz;tmhMM;tugkanZ;ARGENT;11:13;False;44:11;Thursday, December 17th, 6:15 PM CET;Elite Invitational;https://www.twitch.tv/videos/840491411?t=2h29m28s;
Defense;L;İstanbul Wildcats;Bind;Beşiktaş Esports;nisay;Viresse;Brasco;foiz;tugkanZ;3:13;False;32:14;Wednesday, January 13th, 7:00 PM CET;Open Fire;url.net;
Attack;W;İstanbul Wildcats;Split;Beşiktaş Esports;nisay;Viresse;Brasco;foiz;tugkanZ;13:11;False;46:41;Wednesday, January 13th, 7:00 PM CET;Open Fire;url.net;
Attack;L;İstanbul Wildcats;Haven;Beşiktaş Esports;nisay;Viresse;Brasco;foiz;tugkanZ;7:13;False;37:48;Wednesday, January 13th, 7:00 PM CET;Open Fire;url.net;
Attack;W;Gamax Esports;Ascent;Decider;nisay;foiz;Brasco;Viresse;tugkanZ;13:2;False;26:07;Wednesday, January 20th, 8:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;Badmental Badgame;Split;Decider;nisay;Brasco;Viresse;foiz;tugkanZ;15:13;True;46:52;Wednesday, January 20th, 9:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;KnockOut Esports;Bind;Decider;nisay;Viresse;Brasco;tugkanZ;foiz;13:2;False;22:43;Wednesday, January 20th, 10:00 PM CET;VERSUS LEGENDS;url.net;
Attack;L;Tale Quale;Haven;Beşiktaş Esports;nisay;tugkanZ;foiz;Viresse;Brasco;11:13;False;48:34;Friday, January 22nd, 10:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;Tale Quale;Split;Decider;nisay;tugkanZ;foiz;Viresse;Brasco;13:4;False;27:01;Friday, January 22nd, 10:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;Finest;Split;Beşiktaş Esports;nisay;Brasco;Viresse;tugkanZ;foiz;13:3;False;30:49;Sunday, January 24th, 6:25 PM CET;VERSUS LEGENDS;url.net;
Attack;L;Finest;Bind;Beşiktaş Esports;nisay;Brasco;Viresse;tugkanZ;foiz;4:13;False;30:56;Sunday, January 24th, 6:25 PM CET;VERSUS LEGENDS;url.net;
Defense;L;Finest;Haven;Beşiktaş Esports;nisay;Brasco;Viresse;tugkanZ;foiz;7:13;False;36:25;Sunday, January 24th, 6:25 PM CET;VERSUS LEGENDS;url.net;
Defense;W;eSuba;Split;eSuba;nisay;Viresse;tugkanZ;Brasco;foiz;13:5;False;31:19;Sunday, January 24th, 8:30 PM CET;VERSUS LEGENDS;url.net;
Attack;W;eSuba;Haven;eSuba;nisay;Viresse;tugkanZ;Brasco;foiz;13:6;False;35:08;Sunday, January 24th, 8:30 PM CET;VERSUS LEGENDS;url.net;
Defense;L;Galakticos;Haven;Galakticos;daNN;MrFaliN;m4rco;Noffe;vlt;2:13;False;25:07;Thursday, March 4th, 4:00 PM CET;Champions Tour Turkey Stage 1: Challengers 3;https://www.twitch.tv/videos/936572838?t=1h1m31s;
Attack;W;Galakticos;Bind;Beşiktaş Esports;daNN;MrFaliN;m4rco;Noffe;vlt;13:3;False;25:36;Thursday, March 4th, 4:00 PM CET;Champions Tour Turkey Stage 1: Challengers 3;https://www.twitch.tv/videos/936572838?t=1h1m31s;
