starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;hej patrik;Bind;CISFAITH;SimonD4rk;Duno;yuudai;falltw;pashapain666;13:10;False;45:19;Saturday, January 16th, 7:00 PM CET;LVP Rising Series #1;url.net;
Defense;W;hej patrik;Ascent;CISFAITH;SimonD4rk;Duno;yuudai;falltw;pashapain666;13:10;False;45:22;Saturday, January 16th, 7:00 PM CET;LVP Rising Series #1;url.net;
Attack;W;BEDEL;Icebox;Decider;SimonD4rk;falltw;Duno;yuudai;pashapain666;13:5;False;31:33;Wednesday, January 20th, 8:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;Plore Gaming;Ascent;Decider;falltw;SimonD4rk;Duno;yuudai;pashapain666;13:1;False;21:16;Wednesday, January 20th, 9:00 PM CET;VERSUS LEGENDS;url.net;
Attack;W;STAGA;Split;Decider;falltw;Duno;SimonD4rk;pashapain666;yuudai;13:6;False;34:31;Wednesday, January 20th, 10:00 PM CET;VERSUS LEGENDS;url.net;
Defense;W;M1X;Split;Decider;pashapain666;falltw;Duno;SimonD4rk;yuudai;13:4;False;34:01;Thursday, January 21st, 7:00 PM CET;LVP Rising Series #1;https://www.twitch.tv/videos/882322745?t=1h42m5s;
Defense;W;Cream Real Betis;Split;Decider;SimonD4rk;yuudai;falltw;pashapain666;Duno;13:9;False;44:59;Thursday, January 21st, 8:00 PM CET;LVP Rising Series #1;url.net;
Defense;W;eSuba;Split;eSuba;falltw;yuudai;pashapain666;SimonD4rk;Duno;13:9;False;41:37;Saturday, January 23rd, 10:00 PM CET;VERSUS LEGENDS;url.net;
Attack;L;eSuba;Haven;Decider;falltw;yuudai;pashapain666;SimonD4rk;Duno;5:13;False;38:08;Saturday, January 23rd, 10:00 PM CET;VERSUS LEGENDS;url.net;
None;None;TooManyQuestions;None;None;Player A1;Player A2;Player A3;Player A4;Player A5;0:0;False;00:00;Tuesday, January 26th, 8:00 PM CET;LVP Rising Series #1;None;
Attack;L;forZe;Bind;CISFAITH;Duno;SimonD4rk;falltw;pashapain666;yuudai;8:13;False;43:44;Thursday, January 28th, 6:00 PM CET;LVP Rising Series #1;https://www.twitch.tv/videos/891401210?t=0h43m32s;
Defense;L;forZe;Icebox;forZe;Duno;SimonD4rk;falltw;pashapain666;yuudai;5:13;False;39:18;Thursday, January 28th, 6:00 PM CET;LVP Rising Series #1;https://www.twitch.tv/videos/891401210?t=0h43m32s;
Attack;W;Vengeance;Bind;CISFAITH;yuudai;SimonD4rk;pashapain666;Duno;falltw;13:6;False;38:58;Friday, February 12th, 6:00 PM CET;Champions Tour CIS Stage 1: Challengers 1;https://www.twitch.tv/videos/911017250?t=03h05m47s;
Defense;W;Vengeance;Ascent;Vengeance;yuudai;SimonD4rk;pashapain666;Duno;falltw;13:7;False;39:05;Friday, February 12th, 6:00 PM CET;Champions Tour CIS Stage 1: Challengers 1;https://www.twitch.tv/videos/911017250?t=03h05m47s;
Defense;L;One Breath Gaming;Icebox;One Breath Gaming;SimonD4rk;yuudai;Duno;pashapain666;falltw;1:13;False;27:02;Sunday, February 14th, 5:00 PM CET;Champions Tour CIS Stage 1: Challengers 1;https://www.twitch.tv/videos/913783204?t=3h5m5s;
Defense;L;One Breath Gaming;Ascent;CISFAITH;SimonD4rk;yuudai;Duno;pashapain666;falltw;5:13;False;33:13;Sunday, February 14th, 5:00 PM CET;Champions Tour CIS Stage 1: Challengers 1;https://www.twitch.tv/videos/913783204?t=3h5m5s;
Attack;W;iPon Esport;Bind;iPon Esport;SimonD4rk;Duno;falltw;yuudai;pashapain666;13:9;False;43:50;Sunday, February 21st, 2:00 PM CET;Nicecactus New Year Trophy;https://www.twitch.tv/videos/922897065?t=0h26m56s;
Defense;W;iPon Esport;Ascent;iPon Esport;SimonD4rk;Duno;falltw;yuudai;pashapain666;13:9;False;40:51;Sunday, February 21st, 2:00 PM CET;Nicecactus New Year Trophy;https://www.twitch.tv/videos/922897065?t=0h26m56s;
Defense;L;forZe;Split;CISFAITH;Duno;pashapain666;falltw;SimonD4rk;yuudai;10:13;False;46:17;Sunday, February 21st, 5:00 PM CET;Nicecactus New Year Trophy;https://www.twitch.tv/videos/922897065?t=03h02m18s;
Attack;L;forZe;Bind;CISFAITH;Duno;pashapain666;falltw;SimonD4rk;yuudai;5:13;False;35:36;Sunday, February 21st, 5:00 PM CET;Nicecactus New Year Trophy;https://www.twitch.tv/videos/922897065?t=03h02m18s;
