starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Sangal Esports;Split;Sangal Esports;daNN;Magnitude;KiX;m4rco;JeyywB;9:13;False;47:31;Thursday, November 5th, 3:00 PM CET;First Strike: Turkey;url.net;
Defense;L;Sangal Esports;Bind;Sangal Esports;daNN;Magnitude;KiX;m4rco;JeyywB;3:13;False;28:51;Thursday, November 5th, 3:00 PM CET;First Strike: Turkey;url.net;
Attack;L;Anatolia Esports;Split;Anatolia Esports;daNN;Magnitude;KiX;m4rco;JeyywB;6:13;False;34:19;Friday, November 6th, 3:00 PM CET;First Strike: Turkey;url.net;
Defense;L;Anatolia Esports;Ascent;Anatolia Esports;daNN;Magnitude;KiX;m4rco;JeyywB;12:14;True;45:11;Friday, November 6th, 3:00 PM CET;First Strike: Turkey;url.net;
Attack;W;Beşiktaş Esports;Ascent;Decider;daNN;m4rco;MrFaliN;Magnitude;W1cked;16:14;True;1:01:35;Thursday, December 17th, 4:00 PM CET;Elite Invitational;url.net;
Attack;W;Sangal Esports;Haven;Decider;m4rco;daNN;Magnitude;MrFaliN;W1cked;13:10;False;44:14;Thursday, December 17th, 5:10 PM CET;Elite Invitational;url.net;
Attack;L;Anatolia Esports;Ascent;Anatolia Esports;W1cked;m4rco;MrFaliN;Magnitude;daNN;8:13;False;33:43;Wednesday, December 23rd, 5:00 PM CET;Elite Invitational;url.net;
Defense;L;Anatolia Esports;Split;Anatolia Esports;W1cked;m4rco;MrFaliN;Magnitude;daNN;8:13;False;38:02;Wednesday, December 23rd, 5:00 PM CET;Elite Invitational;url.net;
Defense;L;RED5;Icebox;Crew Esports;Magnitude;MrFaliN;W1cked;m4rco;daNN;12:14;True;44:40;Saturday, January 2nd, 12:00 PM CET;Arko Men Tournament;url.net;
Attack;L;RED5;Bind;Crew Esports;Magnitude;MrFaliN;W1cked;m4rco;daNN;9:13;False;40:18;Saturday, January 2nd, 12:00 PM CET;Arko Men Tournament;url.net;
Attack;L;OtherSide;Icebox;OtherSide;MrFaliN;daNN;Magnitude;W1cked;m4rco;2:13;False;26:54;Saturday, January 2nd, 2:00 PM CET;Arko Men Tournament;url.net;
Defense;L;OtherSide;Haven;OtherSide;MrFaliN;daNN;Magnitude;W1cked;m4rco;7:13;False;33:36;Saturday, January 2nd, 2:00 PM CET;Arko Men Tournament;url.net;
