starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Time In;Haven;DREAMLAND;Jerk;Harmon;KP;leak;d1msumboi;0:13;False;21:20;Saturday, October 24th, 10:30 PM CEST;Nerd Street Gamers October Monthly;https://www.twitch.tv/videos/780500410?t=3h53m42s;
Defense;L;Time In;Ascent;DREAMLAND;Jerk;Harmon;KP;leak;d1msumboi;2:13;False;24:31;Saturday, October 24th, 10:30 PM CEST;Nerd Street Gamers October Monthly;https://www.twitch.tv/videos/780500410?t=3h53m42s;
Attack;L;Knights;Bind;Knights;leak;Jerk;d1msumboi;KP;FIN;9:13;False;39:53;Thursday, November 12th, 2:00 AM CET;First Strike: North America;url.net;
Defense;L;Knights;Split;Knights;leak;Jerk;d1msumboi;KP;FIN;6:13;False;34:48;Thursday, November 12th, 2:00 AM CET;First Strike: North America;url.net;
Attack;W;ex-Serenity;Bind;DREAMLAND;jawgemo;Jerk;Rejante;KP;d1msumboi;13:8;False;32:20;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Attack;L;ex-Serenity;Haven;DREAMLAND;jawgemo;Jerk;Rejante;KP;d1msumboi;5:13;False;32:43;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Attack;L;ex-Serenity;Ascent;DREAMLAND;jawgemo;Jerk;Rejante;KP;d1msumboi;7:13;False;34:23;Saturday, November 28th, 11:00 PM CET;Nerd Street Gamers November Monthly;https://www.twitch.tv/videos/818854800?t=2h54m10s;
Defense;W;PROJEKT RADIANT;Bind;Decider;jawgemo;KP;Rejante;Jerk;Elevate;13:10;False;49:23;Saturday, December 26th, 7:00 PM CET;Nerd Street Gamers December Monthly;https://www.twitch.tv/videos/850571073?t=0h24m18s;
Defense;L;Elysium;Icebox;DREAMLAND;Elevate;Jerk;Rejante;jawgemo;KP;4:13;False;29:24;Saturday, December 26th, 8:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;W;Elysium;Split;DREAMLAND;Elevate;Jerk;Rejante;jawgemo;KP;13:5;False;32:20;Saturday, December 26th, 8:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Attack;L;Elysium;Bind;DREAMLAND;Elevate;Jerk;Rejante;jawgemo;KP;13:15;True;56:16;Saturday, December 26th, 8:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Attack;L;PROJEKT RADIANT;Split;PROJEKT RADIANT;jawgemo;KP;Jerk;Rejante;Elevate;13:15;True;52:17;Saturday, December 26th, 11:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;L;PROJEKT RADIANT;Ascent;PROJEKT RADIANT;jawgemo;KP;Jerk;Rejante;Elevate;4:13;False;32:40;Saturday, December 26th, 11:00 PM CET;Nerd Street Gamers December Monthly;url.net;
Defense;L;Headshot Percentage;Split;Decider;jawgemo;KP;Elevate;Jerk;Nosyy;14:16;True;1:01:41;Monday, December 28th, 3:00 AM CET;Valorant Sunday Showdown #36;url.net;
Defense;W;Serenity;Bind;DREAMLAND;Jerk;Rejante;KP;jawgemo;Elevate;13:11;False;46:10;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/858945712?t=0h21m52s;
Attack;L;Serenity;Icebox;DREAMLAND;Jerk;Rejante;KP;jawgemo;Elevate;5:13;False;33:46;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/858945712?t=0h21m52s;
Attack;L;Serenity;Ascent;DREAMLAND;Jerk;Rejante;KP;jawgemo;Elevate;9:13;False;42:50;Saturday, January 2nd, 9:00 PM CET;Serenity Invitational;https://www.twitch.tv/videos/858945712?t=0h21m52s;
Defense;W;Elysium;Ascent;Decider;Jerk;Rejante;Elevate;jawgemo;KP;17:15;True;1:02:38;Monday, January 4th, 3:00 AM CET;Valorant Sunday Showdown #37;url.net;
Attack;L;Roosters;Bind;Decider;Rejante;jawgemo;Elevate;Jerk;KP;5:13;False;36:28;Monday, January 4th, 4:00 AM CET;Valorant Sunday Showdown #37;url.net;
Defense;W;Cloud9 White;Ascent;Cloud9 White;jawgemo;Jerk;MARIO;KP;Rejante;13:10;False;46:21;Friday, January 15th, 10:00 PM CET;Super League Arena;url.net;
Attack;W;Cloud9 White;Split;Cloud9 White;jawgemo;Jerk;MARIO;KP;Rejante;13:2;False;26:25;Friday, January 15th, 10:00 PM CET;Super League Arena;url.net;
Attack;W;Prism Esports;Split;DREAMLAND;Jerk;MARIO;jawgemo;Rejante;KP;13:9;False;43:48;Thursday, January 21st, 8:00 PM CET;Super League Arena;https://www.twitch.tv/videos/882496352?t=0h19m38s;
Defense;L;Prism Esports;Bind;DREAMLAND;Jerk;MARIO;jawgemo;Rejante;KP;5:13;False;32:23;Thursday, January 21st, 8:00 PM CET;Super League Arena;https://www.twitch.tv/videos/882496352?t=0h19m38s;
