starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;PN Crew;Ascent;Damaru Gaming;ThinZ;Moonlight;Slumber;clover;GaDaFi;13:8;False;39:34;Wednesday, July 21st, 1:30 PM CEST;Valorant Conquerors Championship;url.net;
Attack;W;PN Crew;Bind;Damaru Gaming;ThinZ;Moonlight;Slumber;clover;GaDaFi;13:7;False;37:01;Wednesday, July 21st, 1:30 PM CEST;Valorant Conquerors Championship;url.net;
Attack;W;Team Legion;Bind;Damaru Gaming;ThinZ;GaDaFi;Slumber;clover;Moonlight;13:6;False;39:58;Thursday, July 22nd, 11:00 AM CEST;Valorant Conquerors Championship;url.net;
Defense;W;Team Legion;Icebox;Damaru Gaming;ThinZ;GaDaFi;Slumber;clover;Moonlight;13:10;False;41:15;Thursday, July 22nd, 11:00 AM CEST;Valorant Conquerors Championship;url.net;
Attack;L;Team Legion;Haven;Damaru Gaming;ThinZ;GaDaFi;Slumber;clover;Moonlight;7:13;False;36:36;Thursday, July 22nd, 11:00 AM CEST;Valorant Conquerors Championship;url.net;
Defense;W;Team Legion;Ascent;Damaru Gaming;ThinZ;GaDaFi;Slumber;clover;Moonlight;13:6;False;39:56;Thursday, July 22nd, 11:00 AM CEST;Valorant Conquerors Championship;url.net;
Attack;L;Global Esports;Bind;Global Esports;Moonlight;GaDaFi;ThinZ;V3NAND1;Slumber;3:13;False;26:13;Friday, August 20th, 2:00 PM CEST;Valorant Conquerors Championship;url.net;
Defense;L;Global Esports;Split;Global Esports;Moonlight;GaDaFi;ThinZ;V3NAND1;Slumber;6:13;False;32:17;Friday, August 20th, 2:00 PM CEST;Valorant Conquerors Championship;url.net;
Defense;L;Salt Esports;Split;Salt Esports;Moonlight;GaDaFi;ThinZ;V3NAND1;Slumber;13:15;True;1:10:49;Saturday, August 21st, 12:45 PM CEST;Valorant Conquerors Championship;url.net;
Defense;L;Salt Esports;Bind;Salt Esports;Moonlight;GaDaFi;ThinZ;V3NAND1;Slumber;6:13;False;36:05;Saturday, August 21st, 12:45 PM CEST;Valorant Conquerors Championship;url.net;
