starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Genuine Gaming;Ascent;Demon;Maple;SWERL;signed;ferg;gazR;13:3;False;26:51;Friday, February 12th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/910843132?t=0h6m25s;
Attack;W;Genuine Gaming;Split;Demon;Maple;SWERL;signed;ferg;gazR;13:5;False;30:21;Friday, February 12th, 9:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/910843132?t=0h6m25s;
Defense;W;OverPalaStrike;Icebox;Demon;Maple;ferg;SWERL;signed;gazR;13:8;False;38:03;Saturday, February 13th, 3:00 AM CET;Oceania Tour: Stage 01;url.net;
Attack;W;OverPalaStrike;Split;Demon;Maple;ferg;SWERL;signed;gazR;13:9;False;38:56;Saturday, February 13th, 3:00 AM CET;Oceania Tour: Stage 01;url.net;
Defense;W;Mindfreak;Bind;Demon;ferg;SWERL;Maple;signed;gazR;13:6;False;34:29;Saturday, February 13th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/911913662?t=2h42m11s;
Attack;W;Mindfreak;Ascent;Demon;ferg;SWERL;Maple;signed;gazR;13:10;False;41:43;Saturday, February 13th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/911913662?t=2h42m11s;
Defense;W;Wildcard Gaming;Haven;Wildcard Gaming;Maple;ferg;signed;SWERL;gazR;13:10;False;50:36;Sunday, February 14th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/913485133?t=0h26m51s;
Attack;L;Wildcard Gaming;Ascent;Demon;Maple;ferg;signed;SWERL;gazR;5:13;False;38:44;Sunday, February 14th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/913485133?t=0h26m51s;
Defense;L;Wildcard Gaming;Split;Demon;Maple;ferg;signed;SWERL;gazR;8:13;False;44:04;Sunday, February 14th, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/913485133?t=0h26m51s;
Defense;L;OverPalaStrike;Haven;OverPalaStrike;Maple;gazR;ferg;SWERL;signed;0:0;False;-;Friday, February 19th, 9:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/919978024?t=0h59m29s;
Attack;W;OverPalaStrike;Bind;Demon;Maple;gazR;ferg;SWERL;signed;13:4;False;32:36;Friday, February 19th, 9:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/919978024?t=0h59m29s;
Defense;W;OverPalaStrike;Split;OverPalaStrike;Maple;gazR;ferg;SWERL;signed;13:6;False;33:08;Friday, February 19th, 9:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/919978024?t=0h59m29s;
Defense;W;Dire Wolves;Bind;Demon;SWERL;Maple;signed;ferg;gazR;13:3;False;27:32;Saturday, February 20th, 3:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/921021886?t=0h46m14s;
Attack;W;Dire Wolves;Haven;Dire Wolves;SWERL;Maple;signed;ferg;gazR;13:11;False;43:00;Saturday, February 20th, 3:00 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/921021886?t=0h46m14s;
Defense;L;ORDER;Haven;ORDER;signed;SWERL;ferg;gazR;Maple;8:13;False;43:41;Sunday, February 21st, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/922579050?t=0h34m44s;
Attack;L;ORDER;Bind;Demon;signed;SWERL;ferg;gazR;Maple;6:13;False;35:29;Sunday, February 21st, 5:30 AM CET;Oceania Tour: Stage 01;https://www.twitch.tv/videos/922579050?t=0h34m44s;
