starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;Prima Esport;Split;Edelweiss Esports;GatsH;PetitSkel;MateliaN;TiduS;mikee;13:7;False;39:50;Tuesday, February 16th, 10:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;L;Prima Esport;Haven;Edelweiss Esports;GatsH;PetitSkel;MateliaN;TiduS;mikee;11:13;False;50:35;Tuesday, February 16th, 10:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Attack;W;Prima Esport;Ascent;Edelweiss Esports;GatsH;PetitSkel;MateliaN;TiduS;mikee;13:3;False;35:01;Tuesday, February 16th, 10:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;W;Yendez;Ascent;Yendez;PetitSkel;mikee;MateliaN;GatsH;TiduS;13:9;False;56:32;Wednesday, February 17th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Attack;L;Yendez;Split;Yendez;PetitSkel;mikee;MateliaN;GatsH;TiduS;6:13;False;41:11;Wednesday, February 17th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;W;Yendez;Haven;Yendez;PetitSkel;mikee;MateliaN;GatsH;TiduS;13:2;False;33:41;Wednesday, February 17th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;L;FNATIC;Haven;Edelweiss Esports;GatsH;TiduS;mikee;MateliaN;PetitSkel;11:13;False;49:53;Wednesday, February 17th, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;L;FNATIC;Bind;Edelweiss Esports;GatsH;TiduS;mikee;MateliaN;PetitSkel;6:13;False;38:14;Wednesday, February 17th, 9:30 PM CET;Champions Tour Europe Stage 1: Challengers 2;url.net;
Defense;L;Rix.GG Thunder;Bind;Edelweiss Esports;MateliaN;PetitSkel;GatsH;mikee;TiduS;11:13;False;46:30;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Attack;W;Rix.GG Thunder;Split;Edelweiss Esports;MateliaN;PetitSkel;GatsH;mikee;TiduS;13:9;False;43:55;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Attack;L;Rix.GG Thunder;Ascent;Edelweiss Esports;MateliaN;PetitSkel;GatsH;mikee;TiduS;8:13;False;44:36;Saturday, February 27th, 3:00 PM CET;epic32 Online;https://www.twitch.tv/videos/930287720?t=3h20m38s;
Attack;W;indepeNdent;Haven;Edelweiss Esports;TiduS;mikee;PetitSkel;KONEQT;GatsH;13:1;False;27:09;Tuesday, March 2nd, 7:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Defense;W;indepeNdent;Bind;Edelweiss Esports;TiduS;mikee;PetitSkel;KONEQT;GatsH;13:8;False;42:23;Tuesday, March 2nd, 7:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;W;SAW;Haven;Edelweiss Esports;GatsH;PetitSkel;TiduS;KONEQT;mikee;14:12;True;55:10;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Defense;L;SAW;Bind;Edelweiss Esports;GatsH;PetitSkel;TiduS;KONEQT;mikee;5:13;False;37:13;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Attack;L;SAW;Ascent;Edelweiss Esports;GatsH;PetitSkel;TiduS;KONEQT;mikee;6:13;False;41:11;Wednesday, March 3rd, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 3;url.net;
Defense;L;Acend;Haven;Edelweiss Esports;GatsH;mikee;TiduS;KONEQT;PetitSkel;1:13;False;25:23;Saturday, April 10th, 7:00 PM CEST;Champions Tour Europe Stage 2: Challengers 2;https://www.twitch.tv/videos/982529663?t=01h26m37s;
Defense;L;Acend;Bind;Edelweiss Esports;GatsH;mikee;TiduS;KONEQT;PetitSkel;5:13;False;31:56;Saturday, April 10th, 7:00 PM CEST;Champions Tour Europe Stage 2: Challengers 2;https://www.twitch.tv/videos/982529663?t=01h26m37s;
