starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;W;MROrgless;Ascent;MROrgless;Temperature;ALEKSANDAR;potter;Osias;clawdia;13:11;False;45:29;Thursday, January 28th, 1:00 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Defense;W;MROrgless;Split;MROrgless;Temperature;ALEKSANDAR;potter;Osias;clawdia;13:9;False;39:30;Thursday, January 28th, 1:00 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;L;Serenity;Haven;Serenity;clawdia;ALEKSANDAR;Temperature;Osias;potter;6:13;False;35:26;Thursday, January 28th, 3:30 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Defense;L;Serenity;Split;Serenity;clawdia;ALEKSANDAR;Temperature;Osias;potter;11:13;False;44:13;Thursday, January 28th, 3:30 AM CET;Champions Tour North America Stage 1: Challengers 1;url.net;
Attack;L;beastcoast;Ascent;Evil Geniuses;Osias;potter;ALEKSANDAR;Temperature;clawdia;6:13;False;37:24;Friday, February 12th, 2:30 AM CET;Champions Tour North America Stage 1: Challengers 2;url.net;
Defense;L;beastcoast;Icebox;Evil Geniuses;Osias;potter;ALEKSANDAR;Temperature;clawdia;11:13;False;43:31;Friday, February 12th, 2:30 AM CET;Champions Tour North America Stage 1: Challengers 2;url.net;
Defense;W;Aqua;Icebox;Aqua;ALEKSANDAR;Temperature;potter;clawdia;Osias;13:6;False;38:37;Friday, February 26th, 12:00 AM CET;Champions Tour North America Stage 1: Challengers 3;url.net;
Defense;W;Aqua;Haven;Aqua;ALEKSANDAR;Temperature;potter;clawdia;Osias;13:3;False;25:05;Friday, February 26th, 12:00 AM CET;Champions Tour North America Stage 1: Challengers 3;url.net;
Defense;L;Project;Ascent;Project;ALEKSANDAR;potter;Temperature;clawdia;Osias;12:14;True;46:01;Friday, February 26th, 2:30 AM CET;Champions Tour North America Stage 1: Challengers 3;url.net;
Defense;W;Project;Split;Project;ALEKSANDAR;potter;Temperature;clawdia;Osias;15:13;True;52:47;Friday, February 26th, 2:30 AM CET;Champions Tour North America Stage 1: Challengers 3;url.net;
Attack;W;Project;Icebox;Project;ALEKSANDAR;potter;Temperature;clawdia;Osias;13:7;False;39:02;Friday, February 26th, 2:30 AM CET;Champions Tour North America Stage 1: Challengers 3;url.net;
Attack;L;Renegades;Haven;Evil Geniuses;Temperature;clawdia;potter;ALEKSANDAR;Osias;1:13;False;23:56;Saturday, February 27th, 12:00 AM CET;Champions Tour North America Stage 1: Challengers 3;https://www.twitch.tv/videos/929624494?t=0h39m49s;
Defense;L;Renegades;Ascent;Renegades;Temperature;clawdia;potter;ALEKSANDAR;Osias;10:13;False;46:36;Saturday, February 27th, 12:00 AM CET;Champions Tour North America Stage 1: Challengers 3;https://www.twitch.tv/videos/929624494?t=0h39m49s;
Attack;L;Version1;Ascent;Evil Geniuses;Temperature;potter;Osias;ALEKSANDAR;clawdia;1:13;False;22:47;Saturday, March 27th, 7:00 PM CET;Nerd Street Gamers March Monthly;url.net;
Defense;L;Version1;Icebox;Evil Geniuses;Temperature;potter;Osias;ALEKSANDAR;clawdia;5:13;False;29:54;Saturday, March 27th, 7:00 PM CET;Nerd Street Gamers March Monthly;url.net;
Attack;L;PUGSTARS;Ascent;Evil Geniuses;Osias;clawdia;potter;ALEKSANDAR;Temperature;11:13;False;43:40;Sunday, March 28th, 12:00 AM CET;Nerd Street Gamers March Monthly;url.net;
Defense;L;PUGSTARS;Haven;Evil Geniuses;Osias;clawdia;potter;ALEKSANDAR;Temperature;7:13;False;33:00;Sunday, March 28th, 12:00 AM CET;Nerd Street Gamers March Monthly;url.net;
Defense;W;VIRTUOSO;Ascent;Decider;potter;Temperature;ALEKSANDAR;Osias;clawdia;13:8;False;39:23;Monday, April 5th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Attack;W;Time In;Icebox;Decider;Temperature;clawdia;ALEKSANDAR;Osias;potter;13:6;False;37:09;Tuesday, April 6th, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Defense;W;Last Round Save;Haven;Last Round Save;Osias;clawdia;Temperature;potter;ALEKSANDAR;13:11;False;45:44;Tuesday, April 6th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Attack;L;Last Round Save;Icebox;Evil Geniuses;Osias;clawdia;Temperature;potter;ALEKSANDAR;9:13;False;40:05;Tuesday, April 6th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Defense;W;Last Round Save;Ascent;Last Round Save;Osias;clawdia;Temperature;potter;ALEKSANDAR;13:5;False;33:53;Tuesday, April 6th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Attack;L;ez5;Icebox;Evil Geniuses;ALEKSANDAR;clawdia;potter;Osias;Temperature;6:13;False;36:58;Tuesday, April 6th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Defense;L;ez5;Ascent;Evil Geniuses;ALEKSANDAR;clawdia;potter;Osias;Temperature;6:13;False;36:02;Tuesday, April 6th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 1;url.net;
Attack;L;OOKERS;Split;Evil Geniuses;Temperature;Osias;ALEKSANDAR;potter;clawdia;8:13;False;39:37;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
Defense;L;OOKERS;Ascent;OOKERS;Temperature;Osias;ALEKSANDAR;potter;clawdia;11:13;False;46:37;Tuesday, April 13th, 2:30 AM CEST;Nerd Street Gamers Summer Championship - Open 2;url.net;
Attack;L;Noble;Ascent;Evil Geniuses;Osias;ALEKSANDAR;Temperature;potter;clawdia;4:13;False;31:57;Saturday, April 17th, 12:00 AM CEST;Champions Tour North America Stage 2: Challengers 2;https://www.twitch.tv/videos/990017184?t=0h39m32s;
Defense;L;Noble;Split;Noble;Osias;ALEKSANDAR;Temperature;potter;clawdia;6:13;False;33:39;Saturday, April 17th, 12:00 AM CEST;Champions Tour North America Stage 2: Challengers 2;https://www.twitch.tv/videos/990017184?t=0h39m32s;
Attack;L;Decisive;Ascent;Evil Geniuses;ALEKSANDAR;clawdia;Temperature;Osias;potter;1:13;False;24:24;Tuesday, April 20th, 2:10 AM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Defense;W;Decisive;Icebox;Decisive;ALEKSANDAR;clawdia;Temperature;Osias;potter;13:9;False;42:55;Tuesday, April 20th, 2:10 AM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Attack;W;Decisive;Split;Evil Geniuses;ALEKSANDAR;clawdia;Temperature;Osias;potter;13:5;False;30:29;Tuesday, April 20th, 2:10 AM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Attack;W;HEAD HUNTERS;Ascent;Evil Geniuses;ALEKSANDAR;Temperature;Osias;potter;clawdia;13:5;False;39:05;Tuesday, April 20th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Defense;L;HEAD HUNTERS;Haven;HEAD HUNTERS;ALEKSANDAR;Temperature;Osias;potter;clawdia;4:13;False;32:56;Tuesday, April 20th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Attack;W;HEAD HUNTERS;Icebox;HEAD HUNTERS;ALEKSANDAR;Temperature;Osias;potter;clawdia;13:4;False;34:40;Tuesday, April 20th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 3;url.net;
Defense;L;Renegades;Icebox;Evil Geniuses;ALEKSANDAR;potter;Temperature;Osias;clawdia;6:13;False;39:38;Wednesday, April 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship - Open 3;https://www.twitch.tv/videos/994729915?t=3h3m32s;
Defense;L;Renegades;Haven;Renegades;ALEKSANDAR;potter;Temperature;Osias;clawdia;4:13;False;28:40;Wednesday, April 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship - Open 3;https://www.twitch.tv/videos/994729915?t=3h3m32s;
Attack;W;Able Esports;Icebox;Decider;Temperature;BRANTED;roca;pho;potter;13:8;False;38:09;Monday, June 28th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1070531158?t=0h29m1s;
Attack;L;Noble;Icebox;Evil Geniuses;Temperature;BRANTED;pho;roca;potter;7:13;False;35:16;Monday, June 28th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1070531158?t=1h21m29s;
Defense;L;Noble;Breeze;Evil Geniuses;Temperature;BRANTED;pho;roca;potter;9:13;False;40:13;Monday, June 28th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1070531158?t=1h21m29s;
Defense;W;RAIJIN;Ascent;RAIJIN;roca;BRANTED;pho;Temperature;potter;13:2;False;22:10;Tuesday, June 29th, 1:45 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Defense;W;RAIJIN;Bind;RAIJIN;roca;BRANTED;pho;Temperature;potter;13:2;False;27:45;Tuesday, June 29th, 1:45 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Attack;L;Resonate;Ascent;Evil Geniuses;roca;pho;BRANTED;Temperature;potter;5:13;False;33:59;Tuesday, June 29th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Defense;W;Resonate;Breeze;Evil Geniuses;roca;pho;BRANTED;Temperature;potter;13:6;False;26:47;Tuesday, June 29th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Attack;W;Resonate;Icebox;Evil Geniuses;roca;pho;BRANTED;Temperature;potter;13:6;False;31:41;Tuesday, June 29th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Defense;W;VIRTUOSO;Icebox;VIRTUOSO;pho;Temperature;BRANTED;roca;potter;13:6;False;37:58;Tuesday, June 29th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Attack;W;VIRTUOSO;Bind;VIRTUOSO;pho;Temperature;BRANTED;roca;potter;13:4;False;37:31;Tuesday, June 29th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Defense;L;VIRTUOSO;Ascent;VIRTUOSO;pho;Temperature;BRANTED;roca;potter;7:13;False;42:46;Tuesday, June 29th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - June Qualifier;url.net;
Defense;L;ez5;Bind;ez5;BRANTED;Temperature;pho;potter;roca;2:13;False;26:53;Wednesday, June 30th, 1:50 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1071581762?t=3h38m43s;
Defense;W;ez5;Icebox;Evil Geniuses;BRANTED;Temperature;pho;potter;roca;14:12;True;47:42;Wednesday, June 30th, 1:50 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1071581762?t=3h38m43s;
Attack;L;ez5;Ascent;Evil Geniuses;BRANTED;Temperature;pho;potter;roca;4:13;False;34:13;Wednesday, June 30th, 1:50 AM CEST;Nerd Street Gamers Summer Championship - June Qualifier;https://www.twitch.tv/videos/1071581762?t=3h38m43s;
Attack;W;Sewercats;Ascent;Sewercats;BRANTED;pho;Temperature;roca;potter;13:9;False;39:15;Thursday, July 1st, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;W;Sewercats;Bind;Sewercats;BRANTED;pho;Temperature;roca;potter;13:3;False;31:26;Thursday, July 1st, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;W;Bewds Retirement Home;Breeze;Bewds Retirement Home;pho;roca;BRANTED;potter;Temperature;13:11;False;44:00;Friday, July 2nd, 1:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;W;Bewds Retirement Home;Ascent;Bewds Retirement Home;pho;roca;BRANTED;potter;Temperature;13:6;False;38:25;Friday, July 2nd, 1:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Attack;L;Sentinels;Icebox;Evil Geniuses;Temperature;BRANTED;roca;pho;potter;10:13;False;38:18;Friday, July 2nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Defense;L;Sentinels;Haven;Sentinels;Temperature;BRANTED;roca;pho;potter;6:13;False;29:53;Friday, July 2nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Attack;W;HorizonGG;Icebox;Decider;Temperature;BRANTED;roca;pho;potter;13:7;False;35:15;Monday, July 5th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 10;url.net;
Defense;L;SoaR;Ascent;Decider;BRANTED;Temperature;roca;pho;potter;9:13;False;40:44;Tuesday, July 6th, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 10;url.net;
Attack;W;Immortals;Icebox;Evil Geniuses;BRANTED;pho;roca;potter;Temperature;13:4;False;30:03;Tuesday, July 6th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 10;url.net;
Defense;W;Immortals;Ascent;Evil Geniuses;BRANTED;pho;roca;potter;Temperature;13:9;False;38:50;Tuesday, July 6th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 10;url.net;
Attack;L;Resonate;Ascent;Resonate;pho;Temperature;roca;potter;BRANTED;8:13;False;37:01;Tuesday, July 6th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 10;https://www.twitch.tv/videos/1078683477?t=0h22m56s;
Defense;L;Resonate;Haven;Resonate;pho;Temperature;roca;potter;BRANTED;6:13;False;34:34;Tuesday, July 6th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 10;https://www.twitch.tv/videos/1078683477?t=0h22m56s;
Attack;W;Zelos;Bind;Decider;roca;pho;BRANTED;Temperature;potter;13:2;False;30:50;Monday, July 12th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Attack;W;BASILISK;Icebox;Decider;BRANTED;Temperature;roca;pho;potter;13:10;False;38:46;Tuesday, July 13th, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Defense;W;Resonate;Ascent;Resonate;BRANTED;Temperature;potter;pho;roca;13:5;False;30:36;Tuesday, July 13th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Attack;L;Resonate;Icebox;Resonate;BRANTED;Temperature;potter;pho;roca;11:13;False;52:26;Tuesday, July 13th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Defense;W;Resonate;Breeze;Resonate;BRANTED;Temperature;potter;pho;roca;13:10;False;34:05;Tuesday, July 13th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Attack;L;Knights;Breeze;Evil Geniuses;Temperature;pho;potter;roca;BRANTED;6:13;False;35:56;Tuesday, July 13th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Defense;L;Knights;Bind;Evil Geniuses;Temperature;pho;potter;roca;BRANTED;3:13;False;30:53;Tuesday, July 13th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 11;url.net;
Attack;W;Team Volpid;Split;Team Volpid;Temperature;roca;BRANTED;pho;potter;13:8;False;38:19;Thursday, July 22nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 2;url.net;
Defense;W;Team Volpid;Ascent;Team Volpid;Temperature;roca;BRANTED;pho;potter;13:3;False;29:37;Thursday, July 22nd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 2;url.net;
Defense;L;Complexity;Icebox;Evil Geniuses;potter;Temperature;pho;BRANTED;roca;4:13;False;30:54;Friday, July 23rd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1095951780?t=0h20m42s;
Attack;L;Complexity;Split;Evil Geniuses;potter;Temperature;pho;BRANTED;roca;6:13;False;36:54;Friday, July 23rd, 11:00 PM CEST;Champions Tour North America Stage 3: Challengers 2;https://www.twitch.tv/videos/1095951780?t=0h20m42s;
Attack;W;Big Baller Brand;Split;Decider;BRANTED;pho;potter;Temperature;roca;13:11;False;46:03;Monday, July 26th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - July Qualifier;url.net;
Defense;W;BASILISK;Ascent;BASILISK;roca;pho;Temperature;potter;BRANTED;15:13;True;54:27;Tuesday, July 27th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - July Qualifier;url.net;
Attack;W;BASILISK;Icebox;BASILISK;roca;pho;Temperature;potter;BRANTED;15:13;True;50:20;Tuesday, July 27th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - July Qualifier;url.net;
Defense;L;Teal Seam;Icebox;Evil Geniuses;Temperature;pho;BRANTED;potter;roca;9:13;False;1:03:45;Tuesday, July 27th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - July Qualifier;https://www.twitch.tv/videos/1099928562?t=0h53m38s;
Attack;L;Teal Seam;Split;Evil Geniuses;Temperature;pho;BRANTED;potter;roca;5:13;False;32:52;Tuesday, July 27th, 10:00 PM CEST;Nerd Street Gamers Summer Championship - July Qualifier;https://www.twitch.tv/videos/1099928562?t=0h53m38s;
Defense;W;Big Baller Brand;Icebox;Big Baller Brand;roca;Temperature;Boostio;BRANTED;pho;13:11;False;42:43;Thursday, August 19th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;Big Baller Brand;Ascent;Big Baller Brand;roca;Temperature;Boostio;BRANTED;pho;13:8;False;39:59;Thursday, August 19th, 9:00 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;NRG Esports;Icebox;Evil Geniuses;roca;Boostio;Temperature;BRANTED;pho;13:11;False;44:03;Thursday, August 19th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;L;NRG Esports;Bind;Evil Geniuses;roca;Boostio;Temperature;BRANTED;pho;6:13;False;34:22;Thursday, August 19th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;L;NRG Esports;Haven;Evil Geniuses;roca;Boostio;Temperature;BRANTED;pho;10:13;False;42:33;Thursday, August 19th, 11:30 PM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;W;YFP Gaming;Ascent;YFP Gaming;roca;Boostio;BRANTED;Temperature;pho;13:6;False;35:28;Friday, August 20th, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;YFP Gaming;Icebox;YFP Gaming;roca;Boostio;BRANTED;Temperature;pho;13:6;False;32:03;Friday, August 20th, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
Attack;W;Pioneers;Ascent;Evil Geniuses;Temperature;Boostio;roca;pho;BRANTED;13:2;False;32:14;Saturday, August 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;W;Pioneers;Haven;Evil Geniuses;Temperature;Boostio;roca;pho;BRANTED;13:8;False;39:18;Saturday, August 21st, 1:30 AM CEST;Nerd Street Gamers Summer Championship;url.net;
Defense;W;Built By Gamers;Haven;Evil Geniuses;roca;BRANTED;Boostio;pho;Temperature;13:11;False;46:43;Saturday, August 21st, 11:45 PM CEST;Nerd Street Gamers Summer Championship;https://www.twitch.tv/videos/1125314486?t=3h19m47s;
Attack;L;Built By Gamers;Ascent;Evil Geniuses;roca;BRANTED;Boostio;pho;Temperature;9:13;False;44:55;Saturday, August 21st, 11:45 PM CEST;Nerd Street Gamers Summer Championship;https://www.twitch.tv/videos/1125314486?t=3h19m47s;
Attack;W;Built By Gamers;Icebox;Evil Geniuses;roca;BRANTED;Boostio;pho;Temperature;17:15;True;1:05:17;Saturday, August 21st, 11:45 PM CEST;Nerd Street Gamers Summer Championship;https://www.twitch.tv/videos/1125314486?t=3h19m47s;
Defense;W;Cloud9;Split;Evil Geniuses;roca;Boostio;pho;Temperature;BRANTED;13:11;False;50:17;Sunday, August 22nd, 3:05 AM CEST;Nerd Street Gamers Summer Championship;https://www.twitch.tv/videos/1125314486?t=6h39m42s;
