starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Cloud9;Haven;Exotic;Kyzie;Blakers;JSauls;Shifty;Agr0;9:13;False;42:10;Tuesday, October 27th, 12:00 AM CET;First Strike: North America;https://www.twitch.tv/videos/782825405?t=1h13m53s;
Defense;L;Cloud9;Ascent;Exotic;Kyzie;Blakers;JSauls;Shifty;Agr0;0:13;False;21:32;Tuesday, October 27th, 12:00 AM CET;First Strike: North America;https://www.twitch.tv/videos/782825405?t=1h13m53s;
Attack;L;Envy;Bind;Exotic;FireBallOps;TonyV;Shifty;Carbyn;Agr0;4:13;False;27:08;Friday, April 2nd, 2:45 AM CEST;Champions Tour North America Stage 2: Challengers 1;url.net;
Defense;L;Envy;Ascent;Exotic;FireBallOps;TonyV;Shifty;Carbyn;Agr0;4:13;False;27:28;Friday, April 2nd, 2:45 AM CEST;Champions Tour North America Stage 2: Challengers 1;url.net;
Defense;L;BASILISK;Haven;Decider;FireBallOps;Shifty;Carbyn;TonyV;Agr0;3:13;False;28:51;Wednesday, April 21st, 8:00 PM CEST;Knights Monthly Gauntlet: April;url.net;
Defense;L;Insight;Bind;Insight;FireBallOps;TonyV;Agr0;Carbyn;Shifty;4:13;False;30:09;Tuesday, May 4th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 4;url.net;
Attack;W;Insight;Ascent;Insight;FireBallOps;TonyV;Agr0;Carbyn;Shifty;13:6;False;34:54;Tuesday, May 4th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 4;url.net;
Defense;L;Insight;Split;Insight;FireBallOps;TonyV;Agr0;Carbyn;Shifty;10:13;False;44:36;Tuesday, May 4th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 4;url.net;
Defense;L;Noble;Ascent;Decider;FireBallOps;Carbyn;TonyV;Shifty;Agr0;3:13;False;31:29;Saturday, May 15th, 8:00 PM CEST;Knights Monthly Gauntlet: May;url.net;
Defense;L;BASILISK;Haven;Exotic;Carbyn;FireBallOps;TonyV;Agr0;Shifty;11:13;False;46:48;Tuesday, May 18th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 6;url.net;
Attack;L;BASILISK;Ascent;Exotic;Carbyn;FireBallOps;TonyV;Agr0;Shifty;11:13;False;44:06;Tuesday, May 18th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 6;url.net;
Defense;L;Gen.G;Haven;Exotic;FireBallOps;Carbyn;Agr0;TonyV;Shifty;3:13;False;30:34;Friday, July 2nd, 1:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Attack;L;Gen.G;Bind;Exotic;FireBallOps;Carbyn;Agr0;TonyV;Shifty;1:13;False;22:53;Friday, July 2nd, 1:00 AM CEST;Champions Tour North America Stage 3: Challengers 1;url.net;
Attack;L;Cloud9;Ascent;Exotic;Carbyn;TonyV;FireBallOps;Shifty;Agr0;4:13;False;25:41;Tuesday, August 10th, 1:15 AM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
Attack;L;Cloud9;Icebox;Exotic;Carbyn;TonyV;FireBallOps;Shifty;Agr0;2:13;False;22:53;Tuesday, August 10th, 1:15 AM CEST;Nerd Street Gamers Summer Championship - Last Chance Qualifier;url.net;
