starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;CYCLOPS athlete gaming;Ascent;Decider;SylFy;Fisker;shinohara;TENSAI;Noki;12:14;True;-;Thursday, August 20th, 3:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/715889785?t=4h18m14s;
Attack;W;Sengoku Gaming;Split;Decider;Fisker;shinohara;TENSAI;Noki;SylFy;13:11;False;47:15;Thursday, August 27th, 12:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/722916401?t=0h33m7s;
Defense;W;DeToNator;Haven;DeToNator;Fisker;TENSAI;SylFy;shinohara;Retloff;13:3;False;34:34;Monday, August 31st, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/726967104?t=0h9m39s;
Attack;W;DeToNator;Ascent;FAV gaming;Fisker;TENSAI;SylFy;shinohara;Retloff;13:6;False;46:26;Monday, August 31st, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/726967104?t=0h9m39s;
Defense;L;Connect Gaming;Ascent;Decider;Fisker;SylFy;TENSAI;shinohara;Retloff;10:13;False;42:44;Thursday, September 3rd, 3:35 PM CEST;Mildom Masters;https://www.twitch.tv/videos/729939436?t=4h11m10s;
Attack;L;SunSister Rapid;Haven;FAV gaming;TENSAI;Fisker;SylFy;Noki;shinohara;7:13;False;42:39;Wednesday, September 9th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/735874057?t=0h39m24s;
Attack;W;SunSister Rapid;Ascent;FAV gaming;TENSAI;Fisker;SylFy;Noki;shinohara;13:9;False;40:40;Wednesday, September 9th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/735874057?t=0h39m24s;
Attack;L;SunSister Rapid;Split;FAV gaming;TENSAI;Fisker;SylFy;Noki;shinohara;1:13;False;27:12;Wednesday, September 9th, 12:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;https://www.twitch.tv/videos/735874057?t=0h39m24s;
Attack;W;AVALON Gaming;Ascent;AVALON Gaming;Fisker;shinohara;TENSAI;Noki;SylFy;13:2;False;32:42;Thursday, September 10th, 8:00 AM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;W;AVALON Gaming;Haven;AVALON Gaming;Fisker;shinohara;TENSAI;Noki;SylFy;13:11;False;47:52;Thursday, September 10th, 8:00 AM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Defense;W;SunSister Rapid;Split;Decider;Fisker;SylFy;shinohara;TENSAI;Noki;13:5;False;34:59;Thursday, September 10th, 2:20 PM CEST;Mildom Masters;https://www.twitch.tv/videos/736823906?t=2h55m1s;
Attack;L;Crazy Raccoon;Haven;FAV gaming;Fisker;TENSAI;Noki;SylFy;shinohara;9:13;False;44:57;Tuesday, September 15th, 1:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;W;Crazy Raccoon;Ascent;FAV gaming;Fisker;TENSAI;Noki;SylFy;shinohara;13:9;False;45:34;Tuesday, September 15th, 1:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;L;Crazy Raccoon;Split;FAV gaming;Fisker;TENSAI;Noki;SylFy;shinohara;10:13;False;40:12;Tuesday, September 15th, 1:00 PM CEST;A.W. EXTREME MASTERS Pro Invitational;url.net;
Attack;L;Absolute JUPITER;Ascent;Decider;Fisker;shinohara;TENSAI;SylFy;Noki;7:13;False;37:53;Wednesday, September 23rd, 12:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/749541585?t=0h31m55s;
Defense;W;SCARZ;Ascent;Decider;Fisker;TENSAI;shinohara;SylFy;Noki;13:9;False;39:08;Thursday, September 24th, 1:10 PM CEST;Mildom Masters;https://www.twitch.tv/videos/750499823?t=1h44m33s;
Attack;W;REJECT;Split;Decider;TENSAI;Fisker;Noki;SylFy;shinohara;13:5;False;28:59;Thursday, October 1st, 12:00 PM CEST;Mildom Masters;https://www.twitch.tv/videos/757295292?t=0h33m19s;
Attack;L;Sengoku Gaming;Ascent;FAV gaming;Fisker;TENSAI;shinohara;Noki;SylFy;7:13;False;34:16;Thursday, October 8th, 1:15 PM CEST;Mildom Masters;https://www.twitch.tv/videos/764081558?t=1h50m19s;
Defense;W;Sengoku Gaming;Bind;Sengoku Gaming;Fisker;TENSAI;shinohara;Noki;SylFy;16:14;True;52:42;Thursday, October 8th, 1:15 PM CEST;Mildom Masters;https://www.twitch.tv/videos/764081558?t=1h50m19s;
Attack;L;Sengoku Gaming;Split;FAV gaming;Fisker;TENSAI;shinohara;Noki;SylFy;9:13;False;48:55;Thursday, October 8th, 1:15 PM CEST;Mildom Masters;https://www.twitch.tv/videos/764081558?t=1h50m19s;
Attack;W;CYCLOPS athlete gaming;Haven;Decider;Minty;SylFy;TENSAI;Chocol4tE;Fisker;13:7;False;35:12;Saturday, November 14th, 2:15 PM CET;First Strike: Japan;https://www.twitch.tv/videos/802426133?t=8h7m31s;
Defense;W;FIRST Gaming;Haven;FAV gaming;Fisker;Minty;Chocol4tE;TENSAI;SylFy;13:6;False;29:21;Sunday, November 15th, 11:10 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=8h39m9s;
Defense;L;FIRST Gaming;Split;FAV gaming;Fisker;Minty;Chocol4tE;TENSAI;SylFy;6:13;False;40:10;Sunday, November 15th, 11:10 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=8h39m9s;
Attack;W;FIRST Gaming;Ascent;FAV gaming;Fisker;Minty;Chocol4tE;TENSAI;SylFy;13:8;False;40:30;Sunday, November 15th, 11:10 AM CET;First Strike: Japan;https://www.twitch.tv/videos/803475797?t=8h39m9s;
Attack;L;DetonatioN FocusMe;Ascent;FAV gaming;Fisker;SylFy;Minty;TENSAI;Chocol4tE;11:13;False;50:25;Friday, December 4th, 10:30 AM CET;First Strike: Japan;https://youtu.be/UFrvBAtA48E?t=11800;
Defense;L;DetonatioN FocusMe;Bind;FAV gaming;Fisker;SylFy;Minty;TENSAI;Chocol4tE;8:13;False;46:21;Friday, December 4th, 10:30 AM CET;First Strike: Japan;https://youtu.be/UFrvBAtA48E?t=11800;
Attack;W;Connect Gaming;Bind;Decider;Minty;Fisker;Chocol4tE;SylFy;TENSAI;13:11;False;49:53;Tuesday, December 8th, 11:00 AM CET;UTAGE Season 2;url.net;
Defense;W;BlackBird Ignis;Haven;FAV gaming;TENSAI;Fisker;SylFy;Chocol4tE;Minty;13:2;False;26:42;Tuesday, December 8th, 12:30 PM CET;UTAGE Season 2;url.net;
