starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Defense;W;Take Flyte;Icebox;Decider;jmoh;fiziq;oderus;scourge;skuba;13:4;False;29:08;Tuesday, June 8th, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Defense;W;Cosmic Divide;Icebox;Cosmic Divide;skuba;fiziq;jmoh;scourge;oderus;13:8;False;38:03;Tuesday, June 8th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Attack;L;Cosmic Divide;Ascent;Cosmic Divide;skuba;fiziq;jmoh;scourge;oderus;4:13;False;29:54;Tuesday, June 8th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Defense;W;Cosmic Divide;Bind;Cosmic Divide;skuba;fiziq;jmoh;scourge;oderus;13:11;False;49:05;Tuesday, June 8th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Defense;W;Soniqs;Haven;Soniqs;fiziq;scourge;jmoh;oderus;skuba;13:9;False;43:38;Tuesday, June 8th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Attack;W;Soniqs;Icebox;FPL-C;fiziq;scourge;jmoh;oderus;skuba;13:7;False;38:56;Tuesday, June 8th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 7;url.net;
Defense;L;OOKERS;Bind;OOKERS;oderus;skuba;jmoh;fiziq;scourge;10:13;False;45:47;Wednesday, June 9th, 1:25 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=2h46m40s;
Attack;W;OOKERS;Ascent;FPL-C;oderus;skuba;jmoh;fiziq;scourge;13:8;False;38:24;Wednesday, June 9th, 1:25 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=2h46m40s;
Defense;W;OOKERS;Split;OOKERS;oderus;skuba;jmoh;fiziq;scourge;13:6;False;36:47;Wednesday, June 9th, 1:25 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=2h46m40s;
Defense;L;Built By Gamers;Ascent;Built By Gamers;jmoh;oderus;fiziq;skuba;scourge;8:13;False;40:00;Wednesday, June 9th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=5h30m16s;
Attack;W;Built By Gamers;Icebox;FPL-C;jmoh;oderus;fiziq;skuba;scourge;13:10;False;40:33;Wednesday, June 9th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=5h30m16s;
Defense;L;Built By Gamers;Bind;Built By Gamers;jmoh;oderus;fiziq;skuba;scourge;14:16;True;54:38;Wednesday, June 9th, 4:00 AM CEST;Nerd Street Gamers Summer Championship - Open 7;https://www.twitch.tv/videos/1050106135?t=5h30m16s;
Defense;W;Party Stool;Icebox;Decider;fiziq;jmoh;skuba;scourge;oderus;13:3;False;28:20;Monday, June 14th, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 8;url.net;
Defense;L;VIRTUOSO;Icebox;Decider;scourge;skuba;jmoh;fiziq;oderus;7:13;False;35:40;Tuesday, June 15th, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 8;url.net;
Defense;L;Ghost Gaming;Bind;FPL-C;jmoh;oderus;skuba;fiziq;scourge;9:13;False;43:30;Tuesday, June 15th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 8;url.net;
Attack;W;Ghost Gaming;Ascent;FPL-C;jmoh;oderus;skuba;fiziq;scourge;13:5;False;36:36;Tuesday, June 15th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 8;url.net;
Defense;L;Ghost Gaming;Split;FPL-C;jmoh;oderus;skuba;fiziq;scourge;13:15;True;56:29;Tuesday, June 15th, 2:00 AM CEST;Nerd Street Gamers Summer Championship - Open 8;url.net;
Attack;W;Chariot;Bind;Decider;oderus;scourge;skuba;jmoh;fiziq;13:5;False;29:25;Monday, June 21st, 11:00 PM CEST;Nerd Street Gamers Summer Championship - Open 9;url.net;
Attack;W;Icons;Bind;Decider;jmoh;scourge;oderus;skuba;fiziq;13:6;False;32:43;Tuesday, June 22nd, 12:00 AM CEST;Nerd Street Gamers Summer Championship - Open 9;url.net;
Defense;W;SoaR;Ascent;SoaR;fiziq;scourge;jmoh;skuba;oderus;13:11;False;40:44;Tuesday, June 22nd, 2:15 AM CEST;Nerd Street Gamers Summer Championship - Open 9;url.net;
