starting_side; map_result; opposing_team_name; map_name; map_pick; player1; player2; player3; player4; player5; scoreline; overtime;match_length; date_of_match; event_name; vod_link;
Attack;L;Bunkergg;Ascent;Decider;Ds;KenzmPs;TurlinNole;jannyXD;VTaguT;9:13;False;46:41;Thursday, November 19th, 5:00 PM CET;First Strike: Europe;url.net;
Attack;W;Eazy One Gaming;Ascent;Eazy One Gaming;jannyXD;KenzmPs;VTaguT;TurlinNole;Ds;13:8;False;45:20;Tuesday, December 8th, 10:00 PM CET;Valorant Master Series;https://www.twitch.tv/videos/830121109?t=3h15m57s;
Attack;L;Eazy One Gaming;Haven;Eazy One Gaming;jannyXD;KenzmPs;VTaguT;TurlinNole;Ds;6:13;False;34:53;Tuesday, December 8th, 10:00 PM CET;Valorant Master Series;https://www.twitch.tv/videos/830121109?t=3h15m57s;
Defense;W;Eazy One Gaming;Bind;Eazy One Gaming;jannyXD;KenzmPs;VTaguT;TurlinNole;Ds;13:1;False;26:14;Tuesday, December 8th, 10:00 PM CET;Valorant Master Series;https://www.twitch.tv/videos/830121109?t=3h15m57s;
Attack;L;Team Heretics;Ascent;Decider;Ds;KenzmPs;TurlinNole;jannyXD;VTaguT;1:13;False;22:33;Saturday, December 12th, 5:00 PM CET;Valorant Master Series;https://www.twitch.tv/videos/834694104?t=3h40m54s;
Attack;L;Wygers;Bind;Decider;TurlinNole;Ds;jannyXD;VTaguT;KenzmPs;6:13;False;37:36;Saturday, December 12th, 6:00 PM CET;Valorant Master Series;url.net;
Defense;W;PHARAONS;Split;PHARAONS;TurlinNole;jannyXD;VTaguT;Ds;KenzmPs;13:3;False;28:43;Saturday, December 19th, 5:00 PM CET;Valorant Fast!;url.net;
Attack;W;PHARAONS;Ascent;PHARAONS;TurlinNole;jannyXD;VTaguT;Ds;KenzmPs;13:10;False;43:03;Saturday, December 19th, 5:00 PM CET;Valorant Fast!;url.net;
Defense;W;Gamerbots;Bind;Gamerbots;jannyXD;VTaguT;TurlinNole;Ds;KenzmPs;13:10;False;42:33;Saturday, December 19th, 7:30 PM CET;Valorant Fast!;url.net;
Attack;W;Gamerbots;Ascent;Gamerbots;jannyXD;VTaguT;TurlinNole;Ds;KenzmPs;13:9;False;39:51;Saturday, December 19th, 7:30 PM CET;Valorant Fast!;url.net;
Defense;L;Arctic;Ascent;Arctic;jannyXD;TurlinNole;Ds;VTaguT;KenzmPs;8:13;False;44:31;Sunday, December 20th, 7:00 PM CET;Valorant Fast!;https://www.twitch.tv/videos/844195680?t=0h31m57s;
Attack;L;Arctic;Bind;Arctic;jannyXD;TurlinNole;Ds;VTaguT;KenzmPs;3:13;False;28:01;Sunday, December 20th, 7:00 PM CET;Valorant Fast!;https://www.twitch.tv/videos/844195680?t=0h31m57s;
Defense;W;ehehxd;Bind;FTW Esports;jannyXD;VTaguT;KenzmPs;TurlinNole;Ds;13:7;False;37:06;Monday, December 21st, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/845388638?t=0h44m47s;
Attack;L;ehehxd;Ascent;FTW Esports;jannyXD;VTaguT;KenzmPs;TurlinNole;Ds;6:13;False;36:54;Monday, December 21st, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/845388638?t=0h44m47s;
Attack;W;ehehxd;Split;FTW Esports;jannyXD;VTaguT;KenzmPs;TurlinNole;Ds;14:12;True;55:58;Monday, December 21st, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/845388638?t=0h44m47s;
Defense;L;Arctic;Bind;Arctic;jannyXD;VTaguT;TurlinNole;KenzmPs;Ds;8:13;False;43:27;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
Attack;W;Arctic;Ascent;Arctic;jannyXD;VTaguT;TurlinNole;KenzmPs;Ds;13:6;False;36:04;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
Attack;W;Arctic;Split;Arctic;jannyXD;VTaguT;TurlinNole;KenzmPs;Ds;13:4;False;31:22;Wednesday, December 23rd, 9:00 PM CET;Legion Defiance Christmas Cup;https://www.twitch.tv/videos/847639716?t=1h8m39s;
Defense;W;Aqualix;Icebox;Decider;VTaguT;jannyXD;Fizzy;Ds;KenzmPs;13:2;False;27:44;Wednesday, January 20th, 8:00 PM CET;VERSUS LEGENDS;url.net;
Attack;W;IC9;Haven;Decider;jannyXD;Ds;Fizzy;VTaguT;KenzmPs;13:8;False;33:57;Wednesday, January 20th, 10:00 PM CET;VERSUS LEGENDS;url.net;
Attack;W;Quickmath;Ascent;Decider;jannyXD;Fizzy;Ds;VTaguT;KenzmPs;13:8;False;59:30;Saturday, January 23rd, 3:15 PM CET;Red Bull Home Ground;url.net;
Attack;W;Zero Zone;Bind;Decider;VTaguT;Fizzy;jannyXD;Ds;KenzmPs;13:4;False;37:56;Saturday, January 23rd, 4:45 PM CET;Red Bull Home Ground;url.net;
Attack;L;Wave Esports;Bind;Decider;jannyXD;Ds;VTaguT;Fizzy;KenzmPs;5:13;False;32:56;Saturday, January 23rd, 6:00 PM CET;Red Bull Home Ground;url.net;
Defense;L;Anatolia Esports;Bind;Anatolia Esports;Ds;Fizzy;VTaguT;jannyXD;KenzmPs;3:13;False;28:51;Saturday, January 23rd, 8:00 PM CET;VERSUS LEGENDS;url.net;
Attack;L;Anatolia Esports;Ascent;Anatolia Esports;Ds;Fizzy;VTaguT;jannyXD;KenzmPs;7:13;False;34:37;Saturday, January 23rd, 8:00 PM CET;VERSUS LEGENDS;url.net;
Attack;L;unsigned;Ascent;FTW Esports;VTaguT;Ds;Fizzy;jannyXD;KenzmPs;7:13;False;45:55;Friday, February 5th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 1;url.net;
Defense;L;unsigned;Icebox;FTW Esports;VTaguT;Ds;Fizzy;jannyXD;KenzmPs;3:13;False;29:28;Friday, February 5th, 6:00 PM CET;Champions Tour Europe Stage 1: Challengers 1;url.net;
Defense;L;HSDIRR;Haven;FTW Esports;jannyXD;Fizzy;KenzmPs;VTaguT;Ds;11:13;False;46:15;Thursday, February 25th, 7:00 PM CET;VERSUS LEGENDS II;url.net;
Defense;L;HSDIRR;Ascent;FTW Esports;jannyXD;Fizzy;KenzmPs;VTaguT;Ds;9:13;False;38:47;Thursday, February 25th, 7:00 PM CET;VERSUS LEGENDS II;url.net;
Attack;W;Prophecy ESC;Ascent;Prophecy ESC;jannyXD;Ds;KenzmPs;VTaguT;Fizzy;13:6;False;36:34;Saturday, February 27th, 7:00 PM CET;Nicecactus February Trophy;url.net;
Defense;L;Prophecy ESC;Bind;Prophecy ESC;jannyXD;Ds;KenzmPs;VTaguT;Fizzy;5:13;False;32:11;Saturday, February 27th, 7:00 PM CET;Nicecactus February Trophy;url.net;
Defense;W;Prophecy ESC;Haven;Prophecy ESC;jannyXD;Ds;KenzmPs;VTaguT;Fizzy;13:9;False;43:16;Saturday, February 27th, 7:00 PM CET;Nicecactus February Trophy;url.net;
Defense;W;Winfinity;Haven;FTW Esports;jannyXD;Fizzy;KenzmPs;Ds;VTaguT;13:2;False;25:12;Saturday, February 27th, 10:30 PM CET;Nicecactus February Trophy;url.net;
Attack;W;Winfinity;Ascent;FTW Esports;jannyXD;Fizzy;KenzmPs;Ds;VTaguT;13:11;False;44:11;Saturday, February 27th, 10:30 PM CET;Nicecactus February Trophy;url.net;
Attack;W;DOODAY;Split;FTW Esports;KenzmPs;Fizzy;VTaguT;jannyXD;Ds;13:4;False;29:52;Saturday, March 27th, 2:30 PM CET;Nicecactus February Trophy;url.net;
Attack;W;DOODAY;Haven;DOODAY;KenzmPs;Fizzy;VTaguT;jannyXD;Ds;13:5;False;32:18;Saturday, March 27th, 2:30 PM CET;Nicecactus February Trophy;url.net;
Defense;L;One Breath Gaming;Ascent;One Breath Gaming;Ds;Fizzy;jannyXD;VTaguT;KenzmPs;10:13;False;46:42;Saturday, March 27th, 4:45 PM CET;Nicecactus February Trophy;https://www.twitch.tv/videos/965170778?t=0h12m8s;
Attack;L;One Breath Gaming;Split;FTW Esports;Ds;Fizzy;jannyXD;VTaguT;KenzmPs;7:13;False;35:02;Saturday, March 27th, 4:45 PM CET;Nicecactus February Trophy;https://www.twitch.tv/videos/965170778?t=0h12m8s;
Defense;L;KLATWA;Split;KLATWA;jannyXD;Ds;VTaguT;Fizzy;KenzmPs;8:13;False;39:07;Wednesday, March 31st, 8:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Attack;W;KLATWA;Ascent;KLATWA;jannyXD;Ds;VTaguT;Fizzy;KenzmPs;13:11;False;47:49;Wednesday, March 31st, 8:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Defense;L;KLATWA;Bind;KLATWA;jannyXD;Ds;VTaguT;Fizzy;KenzmPs;10:13;False;44:52;Wednesday, March 31st, 8:00 PM CEST;Champions Tour Europe Stage 2: Challengers 1;url.net;
Defense;L;Tarren Mill;Split;FTW Esports;VTaguT;jannyXD;Fizzy;KenzmPs;Ds;7:13;False;39:42;Sunday, April 25th, 5:10 PM CEST;Nicecactus March Trophy;url.net;
Attack;L;Tarren Mill;Ascent;FTW Esports;VTaguT;jannyXD;Fizzy;KenzmPs;Ds;9:13;False;42:31;Sunday, April 25th, 5:10 PM CEST;Nicecactus March Trophy;url.net;
None;None;Aim.Attack;None;None;Ds;KenzmPs;VTaguT;jannyXD;gmA;0:0;False;00:00;Friday, June 11th, 7:15 PM CEST;Circuito de Elite - Round #1;None;
Attack;L;Team Singularity;Bind;Decider;jannyXD;KenzmPs;gmA;Ds;VTaguT;9:13;False;44:48;Friday, June 11th, 10:25 PM CEST;Circuito de Elite - Round #1;https://www.twitch.tv/videos/1052981277?t=3h31m4s;
Defense;L;Cream Real Betis;Bind;FTW Esports;Ds;jannyXD;KenzmPs;gmA;LionClaw;1:13;False;26:20;Wednesday, July 21st, 8:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1093593152?t=00h29m07s;
Attack;W;Cream Real Betis;Ascent;FTW Esports;Ds;jannyXD;KenzmPs;gmA;LionClaw;13:10;False;47:12;Wednesday, July 21st, 8:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1093593152?t=00h29m07s;
Defense;L;Cream Real Betis;Haven;FTW Esports;Ds;jannyXD;KenzmPs;gmA;LionClaw;8:13;False;37:48;Wednesday, July 21st, 8:00 PM CEST;Champions Tour Europe Stage 3: Challengers 2;https://www.twitch.tv/videos/1093593152?t=00h29m07s;
Attack;W;123TAP;Bind;Decider;jannyXD;Ds;gmA;LionClaw;KenzmPs;13:8;False;46:31;Wednesday, August 4th, 7:00 PM CEST;Circuito de Elite - Round #2;https://www.twitch.tv/videos/1107929106?t=01h04m34s;
Defense;L;KASTIRALIS;Icebox;KASTIRALIS;jannyXD;LionClaw;Ds;gmA;KenzmPs;7:13;False;34:50;Sunday, August 8th, 9:45 PM CEST;Circuito de Elite - Round #2;url.net;
Attack;L;KASTIRALIS;Bind;KASTIRALIS;jannyXD;LionClaw;Ds;gmA;KenzmPs;7:13;False;46:33;Sunday, August 8th, 9:45 PM CEST;Circuito de Elite - Round #2;url.net;
